packet id 001 loss!!!
packet id 002 delay: 35920
packet id 003 delay: 24920
packet id 004 delay: 63920
packet id 005 delay: 21448
packet id 006 delay: 37448
packet id 007 delay: 24920
packet id 008 delay: 53392
packet id 009 delay: 102920
packet id 010 delay: 172336
packet id 011 delay: 24920
packet id 012 delay: 852072
packet id 013 delay: 46920
packet id 014 delay: 342736
packet id 015 delay: 29448
packet id 016 delay: 86720
packet id 017 delay: 74200
packet id 018 delay: 65920
packet id 019 delay: 190280
packet id 020 delay: 21448
packet id 021 delay: 85920
packet id 022 delay: 24920
packet id 023 loss!!!
packet id 024 delay: 35920
packet id 025 delay: 40216
packet id 026 delay: 377472
packet id 027 delay: 34920
packet id 028 delay: 457312
packet id 029 delay: 76920
packet id 030 delay: 149128
packet id 031 delay: 38920
packet id 032 delay: 614608
packet id 033 delay: 24920
packet id 034 delay: 36448
packet id 035 delay: 37920
packet id 036 delay: 48920
packet id 037 delay: 191936
packet id 038 delay: 24920
packet id 039 delay: 82488
packet id 040 delay: 21448
packet id 041 delay: 21448
packet id 042 delay: 65448
packet id 043 delay: 731888
packet id 044 delay: 71448
packet id 045 delay: 99448
packet id 046 delay: 60920
packet id 047 delay: 96448
packet id 048 delay: 36448
packet id 049 delay: 2325528
packet id 050 delay: 50880
packet id 051 delay: 1117536
packet id 052 delay: 81920
packet id 053 delay: 83920
packet id 054 delay: 24920
packet id 055 delay: 39920
packet id 056 delay: 39920
packet id 057 loss!!!
packet id 058 delay: 24920
packet id 059 delay: 36448
packet id 060 delay: 39736
packet id 061 delay: 1108608
packet id 062 delay: 24920
packet id 063 delay: 39920
packet id 064 delay: 939328
packet id 065 delay: 115920
packet id 066 delay: 120920
packet id 067 delay: 25920
packet id 068 delay: 66920
packet id 069 delay: 24920
packet id 070 delay: 85656
packet id 071 delay: 1013712
packet id 072 delay: 36448
packet id 073 delay: 118920
packet id 074 delay: 49128
packet id 075 delay: 242848
packet id 076 delay: 111712
packet id 077 delay: 99448
packet id 078 delay: 27920
packet id 079 delay: 35448
packet id 080 delay: 24920
packet id 081 delay: 65920
packet id 082 delay: 53920
packet id 083 delay: 44864
packet id 084 delay: 40920
packet id 085 delay: 30920
packet id 086 delay: 100072
packet id 087 delay: 1477968
packet id 088 delay: 24920
packet id 089 delay: 43920
packet id 090 delay: 39920
packet id 091 delay: 36920
packet id 092 delay: 41920
packet id 093 delay: 101600
packet id 094 delay: 76656
packet id 095 delay: 35448
packet id 096 delay: 435896
packet id 097 delay: 222960
packet id 098 delay: 105920
packet id 099 delay: 44296
packet id 100 delay: 24920
packet id 101 delay: 24920
packet id 102 delay: 21448
packet id 103 delay: 338000
packet id 104 delay: 21448
packet id 105 delay: 95448
packet id 106 delay: 53920
packet id 107 delay: 84920
packet id 108 delay: 89920
packet id 109 delay: 104920
packet id 110 delay: 146464
packet id 111 delay: 109392
packet id 112 delay: 108904
packet id 113 delay: 3402720
packet id 114 delay: 63920
packet id 115 delay: 68920
packet id 116 delay: 250696
packet id 117 delay: 48920
packet id 118 delay: 51920
packet id 119 delay: 241824
packet id 120 delay: 122920
packet id 121 delay: 37184
packet id 122 delay: 129488
packet id 123 delay: 120920
packet id 124 delay: 88920
packet id 125 delay: 73920
packet id 126 delay: 116864
packet id 127 delay: 82448
packet id 128 delay: 39920
packet id 129 delay: 153280
packet id 130 delay: 29920
packet id 131 delay: 24920
packet id 132 delay: 24920
packet id 133 delay: 238408
packet id 134 delay: 258808
packet id 135 delay: 51920
packet id 136 delay: 104280
packet id 137 delay: 223960
packet id 138 delay: 551752
packet id 139 delay: 116448
packet id 140 delay: 42656
packet id 141 delay: 58448
packet id 142 delay: 1771392
packet id 143 loss!!!
packet id 144 delay: 33920
packet id 145 delay: 210224
packet id 146 delay: 50664
packet id 147 delay: 68448
packet id 148 delay: 24920
packet id 149 delay: 103768
packet id 150 delay: 157072
packet id 151 delay: 80920
packet id 152 delay: 34368
packet id 153 delay: 21448
packet id 154 delay: 58920
packet id 155 delay: 24920
packet id 156 delay: 77920
packet id 157 delay: 63448
packet id 158 delay: 71336
packet id 159 delay: 116584
packet id 160 delay: 81920
packet id 161 delay: 2126816
packet id 162 delay: 637792
packet id 163 delay: 36448
packet id 164 delay: 63392
packet id 165 delay: 374472
packet id 166 delay: 97920
packet id 167 delay: 122920
packet id 168 delay: 884032
packet id 169 delay: 481176
packet id 170 delay: 70200
packet id 171 delay: 174752
packet id 172 delay: 207080
packet id 173 delay: 73920
packet id 174 delay: 72920
packet id 175 delay: 321016
packet id 176 delay: 1156120
packet id 177 delay: 96920
packet id 178 delay: 92920
packet id 179 delay: 24920
packet id 180 delay: 107240
packet id 181 delay: 55656
packet id 182 delay: 50824
packet id 183 delay: 68920
packet id 184 delay: 760376
