NODE2	<AVG delay: 185699 us>	< Energy: 73357740320>	<PRR: 98.100 %>	<Collision ratio: 23.000 %>
NODE3	<AVG delay: 587954 us>	< Energy: 76318072480>	<PRR: 93.400 %>	<Collision ratio: 35.100 %>
NODE4	<AVG delay: 912202 us>	< Energy: 75688192800>	<PRR: 90.300 %>	<Collision ratio: 42.300 %>
NODE5	<AVG delay: 1086596 us>	< Energy: 75105420720>	<PRR: 86.900 %>	<Collision ratio: 32.900 %>
NODE6	<AVG delay: 1157091 us>	< Energy: 74370949120>	<PRR: 84.000 %>	<Collision ratio: 20.800 %>
NODE7	<AVG delay: 297629 us>	< Energy: 73547555840>	<PRR: 96.800 %>	<Collision ratio: 37.200 %>
NODE8	<AVG delay: 721274 us>	< Energy: 75707734400>	<PRR: 92.800 %>	<Collision ratio: 66.200 %>
NODE9	<AVG delay: 1645702 us>	< Energy: 75064434240>	<PRR: 89.300 %>	<Collision ratio: 106.200 %>
NODE10	<AVG delay: 1968477 us>	< Energy: 74549587520>	<PRR: 81.000 %>	<Collision ratio: 61.400 %>
NODE11	<AVG delay: 2388482 us>	< Energy: 73957911920>	<PRR: 78.400 %>	<Collision ratio: 66.000 %>
NODE12	<AVG delay: 1453476 us>	< Energy: 73835013280>	<PRR: 82.900 %>	<Collision ratio: 29.800 %>
NODE13	<AVG delay: 776119 us>	< Energy: 80343268240>	<PRR: 92.800 %>	<Collision ratio: 45.700 %>
NODE14	<AVG delay: 2201982 us>	< Energy: 76068742480>	<PRR: 90.200 %>	<Collision ratio: 167.200 %>
NODE15	<AVG delay: 2549685 us>	< Energy: 75440419680>	<PRR: 81.300 %>	<Collision ratio: 55.600 %>
NODE16	<AVG delay: 2938429 us>	< Energy: 73302316640>	<PRR: 79.100 %>	<Collision ratio: 59.300 %>
NODE17	<AVG delay: 2607802 us>	< Energy: 73327819120>	<PRR: 76.400 %>	<Collision ratio: 41.500 %>
NODE18	<AVG delay: 1515071 us>	< Energy: 73180031680>	<PRR: 83.000 %>	<Collision ratio: 26.100 %>
NODE19	<AVG delay: 1228969 us>	< Energy: 75329993280>	<PRR: 87.700 %>	<Collision ratio: 68.800 %>
NODE20	<AVG delay: 1619364 us>	< Energy: 73249139520>	<PRR: 83.500 %>	<Collision ratio: 59.900 %>
NODE21	<AVG delay: 2579765 us>	< Energy: 71922941760>	<PRR: 75.600 %>	<Collision ratio: 51.500 %>
NODE22	<AVG delay: 2954343 us>	< Energy: 72603444560>	<PRR: 71.600 %>	<Collision ratio: 35.200 %>
NODE23	<AVG delay: 2545474 us>	< Energy: 72547118080>	<PRR: 70.500 %>	<Collision ratio: 33.400 %>
NODE24	<AVG delay: 1695642 us>	< Energy: 72495823760>	<PRR: 78.700 %>	<Collision ratio: 21.900 %>
NODE25	<AVG delay: 1380481 us>	< Energy: 71795212800>	<PRR: 80.900 %>	<Collision ratio: 37.300 %>
NODE26	<AVG delay: 1498538 us>	< Energy: 72526175920>	<PRR: 81.200 %>	<Collision ratio: 18.700 %>
NODE27	<AVG delay: 2742765 us>	< Energy: 71194462720>	<PRR: 73.200 %>	<Collision ratio: 36.800 %>
NODE28	<AVG delay: 2969501 us>	< Energy: 71881848160>	<PRR: 71.500 %>	<Collision ratio: 24.300 %>
NODE29	<AVG delay: 2812133 us>	< Energy: 71866702880>	<PRR: 71.500 %>	<Collision ratio: 28.200 %>
NODE30	<AVG delay: 1815582 us>	< Energy: 71831747440>	<PRR: 77.000 %>	<Collision ratio: 17.700 %>
NODE31	<AVG delay: 1432331 us>	< Energy: 71107032720>	<PRR: 74.100 %>	<Collision ratio: 22.300 %>
NODE32	<AVG delay: 1659218 us>	< Energy: 71830217840>	<PRR: 76.800 %>	<Collision ratio: 12.800 %>
NODE33	<AVG delay: 1808168 us>	< Energy: 71158956880>	<PRR: 78.400 %>	<Collision ratio: 15.400 %>
NODE34	<AVG delay: 3323881 us>	< Energy: 71161921840>	<PRR: 68.000 %>	<Collision ratio: 17.200 %>
NODE35	<AVG delay: 2812409 us>	< Energy: 71138876320>	<PRR: 70.200 %>	<Collision ratio: 18.000 %>
NODE36	<AVG delay: 1975168 us>	< Energy: 71135735600>	<PRR: 78.800 %>	<Collision ratio: 14.800 %>
