NODE2	<AVG delay: 80880 us>	< Energy: 12461300080>	<PRR: 98.400 %>	<Collision ratio: 3.600 %>
NODE3	<AVG delay: 196738 us>	< Energy: 10854320160>	<PRR: 97.800 %>	<Collision ratio: 31.300 %>
NODE4	<AVG delay: 206700 us>	< Energy: 12267966000>	<PRR: 97.900 %>	<Collision ratio: 31.500 %>
NODE5	<AVG delay: 318789 us>	< Energy: 10863325360>	<PRR: 97.100 %>	<Collision ratio: 47.500 %>
NODE6	<AVG delay: 462642 us>	< Energy: 13140188080>	<PRR: 98.200 %>	<Collision ratio: 55.600 %>
NODE7	<AVG delay: 509120 us>	< Energy: 15844481200>	<PRR: 98.500 %>	<Collision ratio: 50.700 %>
NODE8	<AVG delay: 472403 us>	< Energy: 10993363680>	<PRR: 95.800 %>	<Collision ratio: 89.300 %>
NODE9	<AVG delay: 785399 us>	< Energy: 13659746720>	<PRR: 97.500 %>	<Collision ratio: 77.900 %>
NODE10	<AVG delay: 570262 us>	< Energy: 11097888880>	<PRR: 94.700 %>	<Collision ratio: 106.600 %>
NODE11	<AVG delay: 945874 us>	< Energy: 11493122080>	<PRR: 93.700 %>	<Collision ratio: 113.600 %>
NODE12	<AVG delay: 1127283 us>	< Energy: 14681518560>	<PRR: 94.500 %>	<Collision ratio: 94.000 %>
NODE13	<AVG delay: 933007 us>	< Energy: 11105388000>	<PRR: 93.000 %>	<Collision ratio: 89.600 %>
NODE14	<AVG delay: 939201 us>	< Energy: 11145797600>	<PRR: 93.200 %>	<Collision ratio: 81.600 %>
NODE15	<AVG delay: 1463936 us>	< Energy: 10981749120>	<PRR: 91.900 %>	<Collision ratio: 62.300 %>
NODE16	<AVG delay: 1508555 us>	< Energy: 12904240320>	<PRR: 93.700 %>	<Collision ratio: 56.200 %>
