packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 144360
packet id 005 delay: 3445192
packet id 006 delay: 132080
packet id 007 delay: 1098880
packet id 008 delay: 1263264
packet id 009 delay: 44520
packet id 010 delay: 41520
packet id 011 delay: 2474992
packet id 012 delay: 97520
packet id 013 delay: 125200
packet id 014 delay: 324040
packet id 015 delay: 3769376
packet id 016 loss!!!
packet id 017 delay: 129480
packet id 018 loss!!!
packet id 019 delay: 112520
packet id 020 delay: 3160152
packet id 021 delay: 53520
packet id 022 delay: 93520
packet id 023 delay: 121520
packet id 024 delay: 76520
packet id 025 delay: 55520
packet id 026 delay: 67520
packet id 027 delay: 59520
packet id 028 delay: 88520
packet id 029 delay: 299000
packet id 030 delay: 401760
packet id 031 delay: 123880
packet id 032 delay: 41520
packet id 033 delay: 1177520
packet id 034 delay: 53520
packet id 035 delay: 495720
packet id 036 delay: 42520
packet id 037 delay: 996800
packet id 038 delay: 103520
packet id 039 delay: 210480
packet id 040 delay: 41520
packet id 041 delay: 117520
packet id 042 delay: 103360
packet id 043 delay: 629880
packet id 044 delay: 42520
packet id 045 delay: 246560
packet id 046 delay: 110520
packet id 047 delay: 59520
packet id 048 delay: 98520
packet id 049 delay: 119520
packet id 050 delay: 818056
packet id 051 delay: 98520
packet id 052 delay: 91520
packet id 053 delay: 202880
packet id 054 delay: 41520
packet id 055 delay: 117144
packet id 056 delay: 107520
packet id 057 delay: 72520
packet id 058 delay: 110520
packet id 059 delay: 133520
packet id 060 delay: 686064
packet id 061 delay: 110520
packet id 062 delay: 237520
packet id 063 delay: 45520
packet id 064 delay: 47520
packet id 065 delay: 63520
packet id 066 delay: 142520
packet id 067 delay: 41520
packet id 068 delay: 90520
packet id 069 delay: 388680
packet id 070 delay: 360240
packet id 071 delay: 60200
packet id 072 delay: 85520
packet id 073 delay: 90520
packet id 074 delay: 73520
packet id 075 delay: 120520
packet id 076 delay: 56520
packet id 077 delay: 41520
packet id 078 delay: 303880
packet id 079 delay: 96520
packet id 080 delay: 41520
packet id 081 delay: 41520
packet id 082 delay: 299880
packet id 083 delay: 41040
packet id 084 delay: 128520
packet id 085 delay: 41520
packet id 086 delay: 62520
packet id 087 delay: 162640
packet id 088 delay: 63520
packet id 089 delay: 43520
packet id 090 delay: 102520
packet id 091 delay: 71520
packet id 092 delay: 111600
packet id 093 delay: 126520
packet id 094 delay: 67720
packet id 095 delay: 106480
packet id 096 delay: 41520
packet id 097 loss!!!
packet id 098 delay: 135520
packet id 099 delay: 80520
packet id 100 delay: 101360
packet id 101 delay: 101840
packet id 102 delay: 125520
packet id 103 delay: 132480
packet id 104 delay: 136000
packet id 105 delay: 42520
packet id 106 delay: 81520
packet id 107 delay: 71520
packet id 108 delay: 91520
packet id 109 delay: 41520
packet id 110 delay: 236720
packet id 111 delay: 139520
packet id 112 delay: 65520
packet id 113 delay: 402240
packet id 114 delay: 72520
packet id 115 delay: 133520
packet id 116 delay: 624600
packet id 117 delay: 65200
packet id 118 delay: 140520
packet id 119 delay: 64520
packet id 120 delay: 41520
packet id 121 delay: 41520
packet id 122 delay: 91520
packet id 123 delay: 111520
packet id 124 delay: 42520
packet id 125 delay: 876000
packet id 126 delay: 418200
packet id 127 delay: 1006000
packet id 128 delay: 41520
packet id 129 delay: 63520
packet id 130 delay: 124520
packet id 131 delay: 2164248
packet id 132 delay: 41520
packet id 133 delay: 41520
packet id 134 delay: 459240
packet id 135 delay: 1971480
packet id 136 delay: 237480
packet id 137 delay: 74520
packet id 138 delay: 41520
packet id 139 delay: 241240
packet id 140 delay: 103520
packet id 141 delay: 124520
packet id 142 delay: 41520
packet id 143 delay: 102520
packet id 144 delay: 116520
packet id 145 delay: 117920
packet id 146 delay: 183520
packet id 147 delay: 279520
packet id 148 delay: 41520
packet id 149 delay: 68520
packet id 150 delay: 99520
packet id 151 delay: 109520
packet id 152 delay: 105520
packet id 153 delay: 41520
packet id 154 delay: 113520
packet id 155 delay: 117520
packet id 156 delay: 139520
packet id 157 delay: 41520
packet id 158 delay: 584640
packet id 159 delay: 93520
packet id 160 delay: 41520
packet id 161 delay: 102520
packet id 162 delay: 85680
packet id 163 delay: 133520
packet id 164 delay: 181400
packet id 165 delay: 64520
packet id 166 delay: 75720
packet id 167 delay: 53240
packet id 168 delay: 67520
packet id 169 delay: 41520
packet id 170 delay: 356880
packet id 171 delay: 41520
packet id 172 delay: 57520
packet id 173 delay: 121520
packet id 174 delay: 1233240
packet id 175 delay: 80520
packet id 176 delay: 41520
packet id 177 delay: 41520
packet id 178 delay: 41520
packet id 179 delay: 110520
packet id 180 delay: 56520
packet id 181 delay: 979240
packet id 182 delay: 184600
packet id 183 delay: 41520
packet id 184 delay: 40840
packet id 185 delay: 131520
packet id 186 delay: 425880
packet id 187 delay: 74520
packet id 188 delay: 41520
packet id 189 delay: 41520
packet id 190 delay: 707800
packet id 191 delay: 116520
packet id 192 delay: 123520
packet id 193 delay: 73520
packet id 194 delay: 101520
packet id 195 delay: 99520
packet id 196 delay: 50520
packet id 197 delay: 92520
packet id 198 delay: 42520
packet id 199 delay: 123520
packet id 200 delay: 41520
packet id 201 delay: 41520
packet id 202 delay: 63520
packet id 203 delay: 1284960
packet id 204 delay: 60520
packet id 205 delay: 102520
packet id 206 delay: 130520
packet id 207 delay: 124520
packet id 208 delay: 41520
packet id 209 delay: 63960
packet id 210 delay: 125360
packet id 211 delay: 76520
packet id 212 delay: 51520
packet id 213 delay: 421520
packet id 214 delay: 115520
packet id 215 delay: 94520
packet id 216 delay: 61520
packet id 217 delay: 41520
packet id 218 delay: 63520
packet id 219 delay: 2002360
packet id 220 delay: 72520
packet id 221 delay: 66520
packet id 222 delay: 133520
packet id 223 delay: 80520
packet id 224 delay: 1221880
packet id 225 delay: 41520
packet id 226 delay: 92040
packet id 227 delay: 71520
packet id 228 delay: 491680
packet id 229 delay: 41520
packet id 230 delay: 112680
packet id 231 delay: 76040
packet id 232 delay: 102520
packet id 233 delay: 657480
packet id 234 delay: 86520
packet id 235 delay: 133520
packet id 236 delay: 607520
packet id 237 delay: 73520
packet id 238 delay: 974920
