MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 12480000
MONITORED: % | ON: 16.92% | TX: 0.12% | RX: 0.21% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 149841120
MONITORED: % | ON: 16.91% | TX: 0.45% | RX: 0.73% | INT: 0.03% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 572802160
MONITORED: % | ON: 22.77% | TX: 1.17% | RX: 1.44% | INT: 0.08% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 1444293040
MONITORED: % | ON: 23.20% | TX: 1.37% | RX: 1.33% | INT: 0.08% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 2268528080
MONITORED: % | ON: 22.68% | TX: 1.37% | RX: 1.24% | INT: 0.08% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3050507120
MONITORED: % | ON: 21.94% | TX: 1.32% | RX: 1.16% | INT: 0.07% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3835439760
MONITORED: % | ON: 21.61% | TX: 1.33% | RX: 1.09% | INT: 0.07% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 4620624880
MONITORED: % | ON: 21.56% | TX: 1.35% | RX: 1.07% | INT: 0.07% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5435338320
MONITORED: % | ON: 21.35% | TX: 1.35% | RX: 1.04% | INT: 0.07% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6215234320
MONITORED: % | ON: 21.19% | TX: 1.35% | RX: 1.01% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7036426000
MONITORED: % | ON: 21.02% | TX: 1.33% | RX: 0.99% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7819899360
MONITORED: % | ON: 20.86% | TX: 1.34% | RX: 0.97% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 8617181040
MONITORED: % | ON: 20.94% | TX: 1.35% | RX: 0.97% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 9401040320
MONITORED: % | ON: 20.82% | TX: 1.36% | RX: 0.95% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 10199562160
MONITORED: % | ON: 20.82% | TX: 1.35% | RX: 0.95% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 10973458000
MONITORED: % | ON: 20.74% | TX: 1.35% | RX: 0.93% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 11767080560
MONITORED: % | ON: 20.65% | TX: 1.34% | RX: 0.92% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 12269579680
MONITORED: % | ON: 20.69% | TX: 1.35% | RX: 0.93% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 12808594560
MONITORED: % | ON: 20.70% | TX: 1.35% | RX: 0.92% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 13620756000
MONITORED: % | ON: 20.52% | TX: 1.34% | RX: 0.91% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 14411236160
MONITORED: % | ON: 20.54% | TX: 1.34% | RX: 0.91% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 15191483520
MONITORED: % | ON: 20.52% | TX: 1.34% | RX: 0.91% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 15983803200
MONITORED: % | ON: 20.44% | TX: 1.33% | RX: 0.90% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 16788807200
MONITORED: % | ON: 20.44% | TX: 1.33% | RX: 0.90% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 17580344720
MONITORED: % | ON: 20.40% | TX: 1.33% | RX: 0.90% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 18371019680
MONITORED: % | ON: 20.30% | TX: 1.32% | RX: 0.89% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 19161986640
MONITORED: % | ON: 20.25% | TX: 1.32% | RX: 0.89% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 19973551840
MONITORED: % | ON: 20.23% | TX: 1.32% | RX: 0.89% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 20745183760
MONITORED: % | ON: 20.23% | TX: 1.32% | RX: 0.89% | INT: 0.06% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 21557984480
MONITORED: % | ON: 20.24% | TX: 1.32% | RX: 0.89% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 22322112320
MONITORED: % | ON: 20.22% | TX: 1.32% | RX: 0.89% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 23129416880
MONITORED: % | ON: 20.21% | TX: 1.32% | RX: 0.88% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 23876612800
MONITORED: % | ON: 20.19% | TX: 1.32% | RX: 0.88% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 24263872240
MONITORED: % | ON: 20.17% | TX: 1.32% | RX: 0.88% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 24944837440
MONITORED: % | ON: 20.15% | TX: 1.32% | RX: 0.88% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 25757544560
MONITORED: % | ON: 20.17% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 26554107520
MONITORED: % | ON: 20.17% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 27381718480
MONITORED: % | ON: 20.18% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 28168134160
MONITORED: % | ON: 20.20% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 28992216240
MONITORED: % | ON: 20.25% | TX: 1.34% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 29793902480
MONITORED: % | ON: 20.21% | TX: 1.34% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 30567397040
MONITORED: % | ON: 20.22% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 31379864000
MONITORED: % | ON: 20.19% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 32165051840
MONITORED: % | ON: 20.20% | TX: 1.34% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 32977279200
MONITORED: % | ON: 20.17% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 33780937360
MONITORED: % | ON: 20.16% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 34573743440
MONITORED: % | ON: 20.15% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 35367974240
MONITORED: % | ON: 20.14% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 36170971440
MONITORED: % | ON: 20.11% | TX: 1.33% | RX: 0.86% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 36445292400
MONITORED: % | ON: 20.12% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 37250536960
MONITORED: % | ON: 20.12% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 38030081120
MONITORED: % | ON: 20.11% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 38830664080
MONITORED: % | ON: 20.10% | TX: 1.33% | RX: 0.86% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 39636585920
MONITORED: % | ON: 20.11% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 40434835600
MONITORED: % | ON: 20.09% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 41210460880
MONITORED: % | ON: 20.08% | TX: 1.33% | RX: 0.87% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 42007587920
MONITORED: % | ON: 20.07% | TX: 1.33% | RX: 0.86% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 42765001440
MONITORED: % | ON: 20.06% | TX: 1.33% | RX: 0.86% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 43549596480
MONITORED: % | ON: 20.05% | TX: 1.33% | RX: 0.86% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 44360400800
MONITORED: % | ON: 20.04% | TX: 1.33% | RX: 0.86% | INT: 0.05% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 45160492320
