NODE2	<AVG delay: 6989225 us>	< Energy: 14014663200>	<PRR: 84.100 %>	<Collision ratio: 1336.600 %>
NODE3	<AVG delay: 14583338 us>	< Energy: 15145326960>	<PRR: 32.700 %>	<Collision ratio: 2424.100 %>
NODE4	<AVG delay: 41264450 us>	< Energy: 11579298160>	<PRR: 32.300 %>	<Collision ratio: 2974.400 %>
NODE5	<AVG delay: 1305585 us>	< Energy: 12451383360>	<PRR: 93.300 %>	<Collision ratio: 281.800 %>
NODE6	<AVG delay: 66419414 us>	< Energy: 10322173840>	<PRR: 16.900 %>	<Collision ratio: 1960.700 %>
NODE7	<AVG delay: 61138312 us>	< Energy: 12935416000>	<PRR: 6.300 %>	<Collision ratio: 2327.100 %>
NODE8	<AVG delay: 9247343 us>	< Energy: 10390145520>	<PRR: 61.700 %>	<Collision ratio: 1233.000 %>
NODE9	<AVG delay: 43620035 us>	< Energy: 11144848000>	<PRR: 23.400 %>	<Collision ratio: 2451.200 %>
NODE10	<AVG delay: 1468506 us>	< Energy: 9138353760>	<PRR: 87.200 %>	<Collision ratio: 379.900 %>
NODE11	<AVG delay: 631988 us>	< Energy: 7682539520>	<PRR: 93.000 %>	<Collision ratio: 171.200 %>
NODE12	<AVG delay: 9516703 us>	< Energy: 10200897600>	<PRR: 59.100 %>	<Collision ratio: 1270.600 %>
NODE13	<AVG delay: 166303 us>	< Energy: 7075389840>	<PRR: 93.600 %>	<Collision ratio: 63.600 %>
NODE14	<AVG delay: 72299877 us>	< Energy: 14063904160>	<PRR: 16.000 %>	<Collision ratio: 5706.000 %>
NODE15	<AVG delay: 2928383 us>	< Energy: 9783742400>	<PRR: 91.900 %>	<Collision ratio: 730.300 %>
NODE16	<AVG delay: 53492833 us>	< Energy: 13456252640>	<PRR: 32.900 %>	<Collision ratio: 7846.900 %>
NODE17	<AVG delay: 74241385 us>	< Energy: 13222005120>	<PRR: 9.600 %>	<Collision ratio: 6530.300 %>
NODE18	<AVG delay: 525267 us>	< Energy: 8116838400>	<PRR: 92.500 %>	<Collision ratio: 155.500 %>
NODE19	<AVG delay: 1670197 us>	< Energy: 9182591440>	<PRR: 85.500 %>	<Collision ratio: 399.500 %>
NODE20	<AVG delay: 87222513 us>	< Energy: 12305181840>	<PRR: 8.000 %>	<Collision ratio: 3739.200 %>
NODE21	<AVG delay: 43515735 us>	< Energy: 15223944560>	<PRR: 34.300 %>	<Collision ratio: 4234.200 %>
NODE22	<AVG delay: 43168676 us>	< Energy: 12525080960>	<PRR: 15.200 %>	<Collision ratio: 4457.000 %>
NODE23	<AVG delay: 1202446 us>	< Energy: 8929984240>	<PRR: 89.300 %>	<Collision ratio: 362.800 %>
NODE24	<AVG delay: 72049286 us>	< Energy: 15933777040>	<PRR: 34.600 %>	<Collision ratio: 5751.800 %>
NODE25	<AVG delay: 1292726 us>	< Energy: 8788755120>	<PRR: 88.800 %>	<Collision ratio: 336.100 %>
NODE26	<AVG delay: 17263796 us>	< Energy: 13551995440>	<PRR: 19.100 %>	<Collision ratio: 2630.200 %>
NODE27	<AVG delay: 50044999 us>	< Energy: 13575344240>	<PRR: 13.900 %>	<Collision ratio: 6135.800 %>
NODE28	<AVG delay: 18201258 us>	< Energy: 15414103520>	<PRR: 43.400 %>	<Collision ratio: 2138.300 %>
NODE29	<AVG delay: 21621794 us>	< Energy: 12026007520>	<PRR: 72.100 %>	<Collision ratio: 3360.600 %>
NODE30	<AVG delay: 72675303 us>	< Energy: 12949227600>	<PRR: 12.100 %>	<Collision ratio: 6243.700 %>
NODE31	<AVG delay: 746994 us>	< Energy: 7891709440>	<PRR: 87.600 %>	<Collision ratio: 217.900 %>
NODE32	<AVG delay: 12096664 us>	< Energy: 11411363200>	<PRR: 55.900 %>	<Collision ratio: 2553.700 %>
NODE33	<AVG delay: 11964613 us>	< Energy: 10940465360>	<PRR: 76.900 %>	<Collision ratio: 1936.900 %>
NODE34	<AVG delay: 57636077 us>	< Energy: 10119038400>	<PRR: 22.000 %>	<Collision ratio: 1787.700 %>
NODE35	<AVG delay: 48468277 us>	< Energy: 13297276000>	<PRR: 12.900 %>	<Collision ratio: 6348.200 %>
