MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 16880000
MONITORED: % | ON: 4.68% | TX: 0.03% | RX: 0.00% | INT: 0.00% | ONL: 47.64% | TXL: 1.46% | RXL: 16.51% | INTL: 3.97% | Energy: 141191280
MONITORED: % | ON: 1.95% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 42.91% | TXL: 1.82% | RXL: 14.93% | INTL: 4.14% | Energy: 426069840
MONITORED: % | ON: 1.42% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 38.39% | TXL: 1.64% | RXL: 13.15% | INTL: 3.88% | Energy: 622205040
MONITORED: % | ON: 1.21% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 35.60% | TXL: 1.40% | RXL: 12.25% | INTL: 3.67% | Energy: 823440640
MONITORED: % | ON: 1.09% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 34.04% | TXL: 1.19% | RXL: 11.79% | INTL: 3.52% | Energy: 1014742800
MONITORED: % | ON: 0.98% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 33.00% | TXL: 1.21% | RXL: 11.41% | INTL: 3.46% | Energy: 1211700960
MONITORED: % | ON: 0.94% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 32.76% | TXL: 1.23% | RXL: 11.43% | INTL: 3.39% | Energy: 1430471600
MONITORED: % | ON: 0.93% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 33.08% | TXL: 1.27% | RXL: 11.66% | INTL: 3.48% | Energy: 1683445840
MONITORED: % | ON: 0.93% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 32.97% | TXL: 1.28% | RXL: 11.66% | INTL: 3.51% | Energy: 1912376640
MONITORED: % | ON: 1.12% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 33.07% | TXL: 1.35% | RXL: 11.61% | INTL: 3.63% | Energy: 2168411680
MONITORED: % | ON: 1.05% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 32.47% | TXL: 1.43% | RXL: 11.30% | INTL: 3.56% | Energy: 2362434560
MONITORED: % | ON: 1.02% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 32.36% | TXL: 1.49% | RXL: 11.21% | INTL: 3.62% | Energy: 2582085360
MONITORED: % | ON: 0.98% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 32.21% | TXL: 1.61% | RXL: 11.01% | INTL: 3.60% | Energy: 2800335680
MONITORED: % | ON: 0.95% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 32.15% | TXL: 1.64% | RXL: 10.97% | INTL: 3.55% | Energy: 3028341840
MONITORED: % | ON: 0.99% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 32.73% | TXL: 1.70% | RXL: 11.17% | INTL: 3.67% | Energy: 3325829200
