MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6760000
MONITORED: % | ON: 57.48% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 61.56% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7000000
MONITORED: % | ON: 35.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 41.33% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7360000
MONITORED: % | ON: 2.60% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 49.88% | TXL: 1.14% | RXL: 20.22% | INTL: 4.73% | Energy: 180320960
MONITORED: % | ON: 1.43% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 42.60% | TXL: 1.69% | RXL: 15.61% | INTL: 5.29% | Energy: 440099760
MONITORED: % | ON: 1.15% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 39.17% | TXL: 1.83% | RXL: 13.93% | INTL: 4.65% | Energy: 665235840
MONITORED: % | ON: 1.03% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 38.03% | TXL: 1.80% | RXL: 13.49% | INTL: 4.54% | Energy: 902249040
MONITORED: % | ON: 0.98% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 37.01% | TXL: 1.93% | RXL: 12.87% | INTL: 4.22% | Energy: 1125259680
MONITORED: % | ON: 0.90% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 35.58% | TXL: 1.83% | RXL: 12.39% | INTL: 3.92% | Energy: 1338296160
MONITORED: % | ON: 0.87% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 35.21% | TXL: 1.69% | RXL: 12.34% | INTL: 3.90% | Energy: 1564762880
MONITORED: % | ON: 0.86% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 35.14% | TXL: 1.63% | RXL: 12.44% | INTL: 3.91% | Energy: 1810952080
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 35.05% | TXL: 1.58% | RXL: 12.47% | INTL: 3.92% | Energy: 2055839840
MONITORED: % | ON: 0.80% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 34.70% | TXL: 1.67% | RXL: 12.22% | INTL: 3.93% | Energy: 2280610000
MONITORED: % | ON: 0.77% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 33.56% | TXL: 1.63% | RXL: 11.78% | INTL: 3.81% | Energy: 2442250800
MONITORED: % | ON: 0.74% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 32.74% | TXL: 1.56% | RXL: 11.45% | INTL: 3.78% | Energy: 2618098400
MONITORED: % | ON: 0.72% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 31.95% | TXL: 1.50% | RXL: 11.15% | INTL: 3.72% | Energy: 2776891360
