MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 12480000
MONITORED: % | ON: 85.71% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 87.09% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 15120000
MONITORED: % | ON: 3.74% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 49.09% | TXL: 0.74% | RXL: 18.82% | INTL: 4.91% | Energy: 180821600
MONITORED: % | ON: 1.84% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 41.54% | TXL: 1.06% | RXL: 15.13% | INTL: 5.12% | Energy: 430626800
MONITORED: % | ON: 1.37% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 38.38% | TXL: 1.03% | RXL: 13.63% | INTL: 4.62% | Energy: 649629680
MONITORED: % | ON: 1.18% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 36.09% | TXL: 1.28% | RXL: 12.70% | INTL: 4.29% | Energy: 855774320
MONITORED: % | ON: 1.07% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 34.78% | TXL: 1.17% | RXL: 12.26% | INTL: 4.04% | Energy: 1052374960
MONITORED: % | ON: 1.14% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 33.46% | TXL: 1.39% | RXL: 11.58% | INTL: 3.97% | Energy: 1263121680
MONITORED: % | ON: 1.09% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 33.39% | TXL: 1.60% | RXL: 11.49% | INTL: 3.99% | Energy: 1494861760
MONITORED: % | ON: 1.03% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 33.43% | TXL: 1.63% | RXL: 11.54% | INTL: 4.06% | Energy: 1735236800
MONITORED: % | ON: 0.97% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 33.33% | TXL: 1.65% | RXL: 11.53% | INTL: 4.18% | Energy: 1969058880
MONITORED: % | ON: 0.92% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 32.83% | TXL: 1.53% | RXL: 11.40% | INTL: 4.25% | Energy: 2166708400
MONITORED: % | ON: 0.88% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 32.19% | TXL: 1.58% | RXL: 11.10% | INTL: 4.15% | Energy: 2352711200
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.70% | TXL: 1.56% | RXL: 10.88% | INTL: 4.18% | Energy: 2546085600
MONITORED: % | ON: 0.80% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.20% | TXL: 1.55% | RXL: 10.64% | INTL: 4.14% | Energy: 2723463600
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.34% | TXL: 1.65% | RXL: 10.65% | INTL: 4.08% | Energy: 2964389680
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 32.05% | TXL: 1.63% | RXL: 10.96% | INTL: 4.24% | Energy: 3263372960
MONITORED: % | ON: 0.80% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 32.13% | TXL: 1.65% | RXL: 11.01% | INTL: 4.20% | Energy: 3425149040
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 32.03% | TXL: 1.66% | RXL: 10.95% | INTL: 4.19% | Energy: 3561260720
MONITORED: % | ON: 0.77% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.68% | TXL: 1.68% | RXL: 10.77% | INTL: 4.16% | Energy: 3733471520
MONITORED: % | ON: 0.74% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.12% | TXL: 1.63% | RXL: 10.58% | INTL: 4.07% | Energy: 3869778720
MONITORED: % | ON: 0.74% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.82% | TXL: 1.59% | RXL: 10.52% | INTL: 4.01% | Energy: 4040805920
MONITORED: % | ON: 0.72% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.77% | TXL: 1.58% | RXL: 10.49% | INTL: 4.00% | Energy: 4248703040
MONITORED: % | ON: 0.71% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.41% | TXL: 1.57% | RXL: 10.34% | INTL: 3.96% | Energy: 4413504240
MONITORED: % | ON: 0.72% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.57% | TXL: 1.61% | RXL: 10.40% | INTL: 3.96% | Energy: 4658904720
MONITORED: % | ON: 0.71% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.38% | TXL: 1.59% | RXL: 10.36% | INTL: 3.91% | Energy: 4838594240
MONITORED: % | ON: 0.71% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.95% | TXL: 1.60% | RXL: 10.58% | INTL: 4.01% | Energy: 5143782880
MONITORED: % | ON: 0.72% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.16% | TXL: 1.60% | RXL: 10.67% | INTL: 4.05% | Energy: 5388848240
MONITORED: % | ON: 0.74% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.28% | TXL: 1.61% | RXL: 10.69% | INTL: 4.06% | Energy: 5617284960
MONITORED: % | ON: 0.76% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.22% | TXL: 1.62% | RXL: 10.68% | INTL: 4.04% | Energy: 5802747920
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.14% | TXL: 1.65% | RXL: 10.61% | INTL: 4.00% | Energy: 5999488720
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.07% | TXL: 1.66% | RXL: 10.57% | INTL: 3.95% | Energy: 6200196400
MONITORED: % | ON: 0.86% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.93% | TXL: 1.66% | RXL: 10.49% | INTL: 3.92% | Energy: 6368617280
MONITORED: % | ON: 0.86% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.87% | TXL: 1.69% | RXL: 10.46% | INTL: 3.87% | Energy: 6548811120
MONITORED: % | ON: 0.86% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.89% | TXL: 1.68% | RXL: 10.47% | INTL: 3.86% | Energy: 6615885920
MONITORED: % | ON: 0.85% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.82% | TXL: 1.69% | RXL: 10.43% | INTL: 3.81% | Energy: 6794859840
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.94% | TXL: 1.74% | RXL: 10.46% | INTL: 3.79% | Energy: 6984866400
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 30.98% | TXL: 1.78% | RXL: 10.45% | INTL: 3.79% | Energy: 7185943840
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.18% | TXL: 1.76% | RXL: 10.53% | INTL: 3.82% | Energy: 7410964080
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.22% | TXL: 1.75% | RXL: 10.56% | INTL: 3.82% | Energy: 7547991280
MONITORED: % | ON: 0.83% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 31.17% | TXL: 1.78% | RXL: 10.50% | INTL: 3.80% | Energy: 7740275200
