packet id 001 loss!!!
packet id 002 delay: 1889784
packet id 003 delay: 4128384
packet id 004 delay: 5241144
packet id 005 loss!!!
packet id 006 delay: 730824
packet id 007 delay: 1247184
packet id 008 delay: 885424
packet id 009 delay: 726784
packet id 010 delay: 1216424
packet id 011 delay: 2023664
packet id 012 delay: 1218464
packet id 013 delay: 3406264
packet id 014 delay: 1263304
packet id 015 delay: 1270424
packet id 016 delay: 979184
packet id 017 delay: 4244392
packet id 018 delay: 1939552
packet id 019 delay: 933464
packet id 020 delay: 1426584
packet id 021 delay: 982224
packet id 022 delay: 955184
packet id 023 delay: 1361704
packet id 024 delay: 921016
packet id 025 delay: 1019544
packet id 026 delay: 1213144
packet id 027 delay: 775664
packet id 028 delay: 1659504
packet id 029 delay: 956464
packet id 030 delay: 975824
packet id 031 delay: 943824
packet id 032 delay: 781344
packet id 033 delay: 4144624
packet id 034 delay: 946824
packet id 035 delay: 898784
packet id 036 delay: 926144
packet id 037 delay: 913464
packet id 038 delay: 763344
packet id 039 delay: 1125024
packet id 040 delay: 855024
packet id 041 delay: 801944
packet id 042 delay: 767984
packet id 043 delay: 1824808
packet id 044 loss!!!
packet id 045 delay: 824784
packet id 046 delay: 915464
packet id 047 delay: 886824
packet id 048 delay: 943104
packet id 049 delay: 1205824
packet id 050 delay: 910184
packet id 051 delay: 973784
packet id 052 delay: 1256968
packet id 053 delay: 1124168
packet id 054 delay: 1483656
packet id 055 delay: 862048
packet id 056 delay: 880368
packet id 057 delay: 943728
packet id 058 delay: 771888
packet id 059 delay: 833568
packet id 060 delay: 924688
packet id 061 loss!!!
packet id 062 delay: 876256
packet id 063 delay: 960088
packet id 064 delay: 1756568
packet id 065 delay: 1061856
packet id 066 delay: 919896
packet id 067 delay: 710528
packet id 068 delay: 781568
packet id 069 loss!!!
packet id 070 delay: 1563688
packet id 071 delay: 817416
packet id 072 delay: 917616
packet id 073 delay: 592808
packet id 074 delay: 1319256
packet id 075 delay: 843256
packet id 076 delay: 715528
packet id 077 delay: 804928
packet id 078 delay: 901648
packet id 079 delay: 771288
packet id 080 delay: 775888
packet id 081 delay: 828888
packet id 082 delay: 2428208
packet id 083 delay: 858816
packet id 084 loss!!!
packet id 085 delay: 827048
packet id 086 delay: 2489608
packet id 087 delay: 1257848
packet id 088 delay: 3242288
packet id 089 delay: 792328
packet id 090 delay: 878216
packet id 091 delay: 3041728
packet id 092 delay: 1057976
packet id 093 delay: 906048
packet id 094 delay: 765776
packet id 095 delay: 876368
packet id 096 delay: 921688
packet id 097 delay: 913448
packet id 098 delay: 780328
packet id 099 delay: 868048
packet id 100 delay: 1079576
packet id 101 delay: 2482688
packet id 102 delay: 873368
packet id 103 delay: 924768
packet id 104 delay: 744496
packet id 105 delay: 648888
packet id 106 delay: 823888
packet id 107 delay: 1443248
packet id 108 delay: 724416
packet id 109 delay: 916048
packet id 110 delay: 1145008
packet id 111 delay: 784848
packet id 112 delay: 1001728
packet id 113 delay: 1503056
packet id 114 delay: 796048
packet id 115 delay: 1294416
packet id 116 delay: 1139576
packet id 117 delay: 1816816
packet id 118 delay: 923408
packet id 119 delay: 4603808
packet id 120 delay: 869856
packet id 121 delay: 920256
packet id 122 delay: 1107328
packet id 123 delay: 890048
packet id 124 delay: 984256
packet id 125 delay: 899216
packet id 126 delay: 1270688
packet id 127 delay: 905088
packet id 128 delay: 1908088
packet id 129 delay: 1013528
packet id 130 delay: 840536
packet id 131 delay: 2642176
packet id 132 delay: 850088
packet id 133 delay: 947688
packet id 134 delay: 835608
packet id 135 delay: 904576
packet id 136 delay: 912728
packet id 137 delay: 883688
packet id 138 delay: 790968
packet id 139 delay: 946688
packet id 140 delay: 848256
packet id 141 delay: 621928
packet id 142 delay: 808688
packet id 143 delay: 1112008
packet id 144 delay: 1030128
packet id 145 delay: 1788288
packet id 146 delay: 986368
packet id 147 delay: 937768
packet id 148 delay: 1170744
packet id 149 delay: 805488
packet id 150 delay: 947368
packet id 151 delay: 892168
packet id 152 delay: 896048
packet id 153 delay: 946048
packet id 154 delay: 869856
packet id 155 delay: 832008
packet id 156 delay: 747248
packet id 157 delay: 772608
packet id 158 delay: 1322176
packet id 159 delay: 898368
packet id 160 delay: 820648
packet id 161 delay: 1560576
packet id 162 delay: 976688
packet id 163 delay: 5343656
packet id 164 delay: 887728
