MONITORED: % | ON: 3.36% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 15.67% | TXL: 0.77% | RXL: 1.45% | INTL: 0.02% | Energy: 44337280
MONITORED: % | ON: 0.50% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 15.64% | TXL: 1.95% | RXL: 1.87% | INTL: 0.19% | Energy: 502086240
MONITORED: % | ON: 0.24% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.45% | TXL: 1.37% | RXL: 1.16% | INTL: 0.13% | Energy: 915403120
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 12.89% | TXL: 1.27% | RXL: 0.94% | INTL: 0.11% | Energy: 1336018880
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.59% | TXL: 1.21% | RXL: 0.83% | INTL: 0.10% | Energy: 1714305280
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.39% | TXL: 1.17% | RXL: 0.76% | INTL: 0.09% | Energy: 2083541680
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.32% | TXL: 1.14% | RXL: 0.75% | INTL: 0.09% | Energy: 2482870400
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.25% | TXL: 1.13% | RXL: 0.72% | INTL: 0.09% | Energy: 2790850800
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.19% | TXL: 1.13% | RXL: 0.69% | INTL: 0.08% | Energy: 3208828400
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.12% | TXL: 1.11% | RXL: 0.67% | INTL: 0.08% | Energy: 3619510240
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.06% | TXL: 1.09% | RXL: 0.65% | INTL: 0.08% | Energy: 4022117840
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.00% | TXL: 1.07% | RXL: 0.63% | INTL: 0.08% | Energy: 4427950640
