NODE2	<AVG delay: 89308 us>	< Energy: 207617958400>	<PRR: 99.800 %>	<Collision ratio: 3.400 %>
NODE3	<AVG delay: 288117 us>	< Energy: 217939178800>	<PRR: 100.000 %>	<Collision ratio: 5.400 %>
NODE4	<AVG delay: 480349 us>	< Energy: 217067628480>	<PRR: 99.700 %>	<Collision ratio: 14.400 %>
NODE5	<AVG delay: 604048 us>	< Energy: 216200971360>	<PRR: 99.100 %>	<Collision ratio: 12.200 %>
NODE6	<AVG delay: 775503 us>	< Energy: 215170733040>	<PRR: 98.900 %>	<Collision ratio: 12.500 %>
NODE7	<AVG delay: 872059 us>	< Energy: 214170297120>	<PRR: 98.400 %>	<Collision ratio: 10.300 %>
NODE8	<AVG delay: 1032451 us>	< Energy: 213128055520>	<PRR: 96.900 %>	<Collision ratio: 9.700 %>
NODE9	<AVG delay: 1158301 us>	< Energy: 212151914240>	<PRR: 97.500 %>	<Collision ratio: 10.600 %>
NODE10	<AVG delay: 1291743 us>	< Energy: 211142299680>	<PRR: 96.700 %>	<Collision ratio: 9.800 %>
NODE11	<AVG delay: 1419551 us>	< Energy: 210103499680>	<PRR: 96.500 %>	<Collision ratio: 9.100 %>
NODE12	<AVG delay: 1528344 us>	< Energy: 209070915760>	<PRR: 95.600 %>	<Collision ratio: 8.300 %>
NODE13	<AVG delay: 1648382 us>	< Energy: 208034484000>	<PRR: 94.400 %>	<Collision ratio: 9.200 %>
NODE14	<AVG delay: 1800547 us>	< Energy: 207005718560>	<PRR: 95.200 %>	<Collision ratio: 6.000 %>
NODE15	<AVG delay: 1840208 us>	< Energy: 205968014400>	<PRR: 93.500 %>	<Collision ratio: 6.000 %>
NODE16	<AVG delay: 1958896 us>	< Energy: 204944731840>	<PRR: 94.800 %>	<Collision ratio: 3.700 %>
