packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 33085520
packet id 004 loss!!!
packet id 005 delay: 18677904
packet id 006 delay: 8398232
packet id 007 delay: 5038000
packet id 008 delay: 502696
packet id 009 delay: 482776
packet id 010 delay: 397496
packet id 011 delay: 508096
packet id 012 delay: 1351416
packet id 013 delay: 773496
packet id 014 delay: 485056
packet id 015 delay: 375936
packet id 016 delay: 558776
packet id 017 delay: 456256
packet id 018 delay: 945904
packet id 019 delay: 511696
packet id 020 delay: 447656
packet id 021 delay: 538736
packet id 022 delay: 2107784
packet id 023 delay: 483992
packet id 024 delay: 507712
packet id 025 delay: 1448352
packet id 026 delay: 701752
packet id 027 delay: 533752
packet id 028 delay: 596192
packet id 029 delay: 464632
packet id 030 delay: 512712
packet id 031 delay: 959032
packet id 032 delay: 589512
packet id 033 delay: 541432
packet id 034 delay: 518392
packet id 035 delay: 684192
packet id 036 delay: 869760
packet id 037 delay: 1109352
packet id 038 delay: 475704
packet id 039 delay: 553672
packet id 040 delay: 466216
packet id 041 delay: 601760
packet id 042 delay: 461176
packet id 043 delay: 456464
packet id 044 delay: 593832
packet id 045 delay: 465168
packet id 046 delay: 591320
packet id 047 delay: 505928
packet id 048 delay: 553288
packet id 049 delay: 538848
packet id 050 delay: 503448
packet id 051 delay: 572816
packet id 052 delay: 531600
packet id 053 delay: 419144
packet id 054 delay: 419144
packet id 055 delay: 532080
packet id 056 delay: 556792
packet id 057 loss!!!
packet id 058 delay: 640200
packet id 059 loss!!!
packet id 060 delay: 1042992
packet id 061 delay: 625384
packet id 062 delay: 541960
packet id 063 delay: 433144
packet id 064 delay: 996840
packet id 065 delay: 550304
packet id 066 delay: 625144
packet id 067 delay: 511128
packet id 068 delay: 465920
packet id 069 delay: 520696
packet id 070 delay: 514248
packet id 071 delay: 582152
packet id 072 delay: 431240
packet id 073 delay: 592600
packet id 074 delay: 515792
packet id 075 delay: 550584
packet id 076 delay: 510040
packet id 077 delay: 512072
packet id 078 delay: 420920
packet id 079 delay: 465032
packet id 080 delay: 1033152
packet id 081 delay: 486120
packet id 082 delay: 606136
packet id 083 delay: 438032
packet id 084 delay: 558080
packet id 085 delay: 536872
packet id 086 delay: 583008
packet id 087 delay: 1034920
packet id 088 delay: 501544
packet id 089 delay: 502336
packet id 090 delay: 1519728
packet id 091 delay: 523624
packet id 092 delay: 783528
packet id 093 delay: 625232
packet id 094 delay: 495528
packet id 095 delay: 464296
packet id 096 delay: 529528
packet id 097 delay: 402072
packet id 098 delay: 544624
packet id 099 delay: 495584
packet id 100 delay: 579064
packet id 101 delay: 486976
packet id 102 delay: 472712
packet id 103 delay: 528208
packet id 104 loss!!!
packet id 105 delay: 849144
packet id 106 delay: 640720
packet id 107 delay: 428880
packet id 108 delay: 892296
packet id 109 delay: 878464
packet id 110 delay: 465960
packet id 111 delay: 1438176
packet id 112 delay: 2197648
packet id 113 delay: 705856
packet id 114 delay: 449392
packet id 115 delay: 492224
packet id 116 delay: 589832
packet id 117 delay: 560944
packet id 118 delay: 472640
packet id 119 delay: 1183336
packet id 120 delay: 556056
packet id 121 delay: 533112
packet id 122 delay: 480224
packet id 123 delay: 501616
packet id 124 delay: 477632
packet id 125 delay: 439752
packet id 126 delay: 442448
packet id 127 delay: 375328
packet id 128 loss!!!
packet id 129 delay: 502984
packet id 130 delay: 499504
packet id 131 delay: 541040
packet id 132 delay: 493880
packet id 133 delay: 386144
packet id 134 delay: 487232
packet id 135 delay: 408480
packet id 136 delay: 631008
packet id 137 delay: 534896
packet id 138 delay: 412992
packet id 139 delay: 560056
packet id 140 delay: 482000
packet id 141 loss!!!
packet id 142 delay: 567136
packet id 143 delay: 618008
packet id 144 delay: 1004440
packet id 145 delay: 579248
packet id 146 delay: 488792
packet id 147 delay: 572624
packet id 148 delay: 437696
packet id 149 delay: 637056
packet id 150 delay: 380856
packet id 151 delay: 487064
packet id 152 delay: 564304
packet id 153 delay: 528552
packet id 154 delay: 936176
packet id 155 delay: 621592
packet id 156 loss!!!
packet id 157 loss!!!
packet id 158 delay: 606136
packet id 159 delay: 600288
packet id 160 delay: 529808
packet id 161 delay: 525600
packet id 162 delay: 385232
packet id 163 delay: 374480
packet id 164 loss!!!
packet id 165 delay: 1619656
packet id 166 delay: 527720
packet id 167 delay: 424824
packet id 168 delay: 469712
packet id 169 delay: 612200
packet id 170 delay: 1433488
