MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 17660000
MONITORED: % | ON: 1.97% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 33.20% | TXL: 1.71% | RXL: 10.29% | INTL: 1.36% | Energy: 502854240
MONITORED: % | ON: 1.06% | TX: 0.03% | RX: 0.08% | INT: 0.00% | ONL: 25.23% | TXL: 1.50% | RXL: 7.12% | INTL: 0.73% | Energy: 1229651200
MONITORED: % | ON: 0.69% | TX: 0.02% | RX: 0.05% | INT: 0.00% | ONL: 19.91% | TXL: 1.05% | RXL: 4.78% | INTL: 0.50% | Energy: 1572757680
MONITORED: % | ON: 0.51% | TX: 0.01% | RX: 0.04% | INT: 0.00% | ONL: 17.40% | TXL: 0.84% | RXL: 3.68% | INTL: 0.39% | Energy: 1914391920
MONITORED: % | ON: 0.44% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 16.28% | TXL: 0.75% | RXL: 3.16% | INTL: 0.34% | Energy: 2187669600
MONITORED: % | ON: 0.39% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 15.61% | TXL: 0.68% | RXL: 2.86% | INTL: 0.30% | Energy: 2417129280
MONITORED: % | ON: 0.33% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 14.78% | TXL: 0.61% | RXL: 2.47% | INTL: 0.26% | Energy: 2719201120
MONITORED: % | ON: 0.29% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 14.17% | TXL: 0.56% | RXL: 2.19% | INTL: 0.23% | Energy: 3042540880
MONITORED: % | ON: 0.25% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.67% | TXL: 0.52% | RXL: 1.96% | INTL: 0.21% | Energy: 3360152320
MONITORED: % | ON: 0.23% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.31% | TXL: 0.49% | RXL: 1.79% | INTL: 0.20% | Energy: 3670174880
MONITORED: % | ON: 0.21% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 13.02% | TXL: 0.47% | RXL: 1.65% | INTL: 0.19% | Energy: 3992049520
MONITORED: % | ON: 0.19% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.77% | TXL: 0.45% | RXL: 1.53% | INTL: 0.18% | Energy: 4304682240
MONITORED: % | ON: 0.17% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.57% | TXL: 0.43% | RXL: 1.44% | INTL: 0.16% | Energy: 4622813440
MONITORED: % | ON: 0.16% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.43% | TXL: 0.43% | RXL: 1.36% | INTL: 0.16% | Energy: 4951118720
MONITORED: % | ON: 0.15% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.35% | TXL: 0.43% | RXL: 1.32% | INTL: 0.15% | Energy: 5162873760
MONITORED: % | ON: 0.15% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.22% | TXL: 0.42% | RXL: 1.26% | INTL: 0.15% | Energy: 5434315200
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.11% | TXL: 0.41% | RXL: 1.21% | INTL: 0.14% | Energy: 5757321600
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.01% | TXL: 0.40% | RXL: 1.16% | INTL: 0.14% | Energy: 6071964960
