packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 loss!!!
packet id 014 loss!!!
packet id 015 loss!!!
packet id 016 loss!!!
packet id 017 loss!!!
packet id 018 loss!!!
packet id 019 loss!!!
packet id 020 loss!!!
packet id 021 loss!!!
packet id 022 loss!!!
packet id 023 loss!!!
packet id 024 loss!!!
packet id 025 loss!!!
packet id 026 loss!!!
packet id 027 loss!!!
packet id 028 loss!!!
packet id 029 loss!!!
packet id 030 delay: 106176
packet id 031 delay: 51920
packet id 032 delay: 25920
packet id 033 delay: 86920
packet id 034 delay: 109920
packet id 035 delay: 35920
packet id 036 delay: 59448
packet id 037 delay: 49920
packet id 038 delay: 85920
packet id 039 delay: 84448
packet id 040 delay: 87920
packet id 041 delay: 42448
packet id 042 delay: 27920
packet id 043 delay: 116448
packet id 044 delay: 86920
packet id 045 delay: 82448
packet id 046 delay: 106920
packet id 047 delay: 91920
packet id 048 delay: 101920
packet id 049 delay: 114920
packet id 050 delay: 37920
packet id 051 delay: 122960
packet id 052 delay: 90920
packet id 053 delay: 24920
packet id 054 delay: 72760
packet id 055 delay: 102920
packet id 056 delay: 86920
packet id 057 delay: 21448
packet id 058 delay: 24920
packet id 059 delay: 106920
packet id 060 loss!!!
packet id 061 delay: 72920
packet id 062 delay: 62448
packet id 063 delay: 34920
packet id 064 delay: 55360
packet id 065 delay: 38920
packet id 066 delay: 94920
packet id 067 delay: 24920
packet id 068 delay: 48920
packet id 069 delay: 52448
packet id 070 delay: 84448
packet id 071 delay: 107920
packet id 072 delay: 73448
packet id 073 delay: 91920
packet id 074 delay: 23448
packet id 075 delay: 38920
packet id 076 delay: 31920
packet id 077 delay: 82920
packet id 078 delay: 24920
packet id 079 delay: 67920
packet id 080 delay: 33448
packet id 081 delay: 62920
packet id 082 delay: 56448
packet id 083 delay: 24920
packet id 084 delay: 24920
packet id 085 delay: 104920
packet id 086 delay: 60920
packet id 087 delay: 24920
packet id 088 delay: 34920
packet id 089 delay: 24920
packet id 090 delay: 63920
packet id 091 delay: 101448
packet id 092 delay: 35920
packet id 093 delay: 24920
packet id 094 delay: 111920
packet id 095 delay: 21448
packet id 096 delay: 73920
packet id 097 delay: 24920
packet id 098 delay: 45448
packet id 099 delay: 93920
packet id 100 delay: 39920
packet id 101 delay: 55448
packet id 102 delay: 68920
packet id 103 delay: 118920
packet id 104 delay: 26920
packet id 105 delay: 24920
packet id 106 delay: 57920
packet id 107 delay: 48920
packet id 108 delay: 61448
packet id 109 delay: 35920
packet id 110 delay: 119992
packet id 111 delay: 93448
packet id 112 delay: 21448
packet id 113 delay: 90920
packet id 114 delay: 119920
packet id 115 delay: 24920
packet id 116 delay: 111024
packet id 117 delay: 73920
packet id 118 delay: 107920
packet id 119 delay: 78920
packet id 120 delay: 70960
packet id 121 delay: 36920
packet id 122 delay: 21448
packet id 123 delay: 72720
packet id 124 delay: 58448
packet id 125 delay: 24920
packet id 126 delay: 91920
packet id 127 delay: 57920
packet id 128 delay: 82448
packet id 129 delay: 21448
packet id 130 delay: 115920
packet id 131 delay: 36256
packet id 132 delay: 34920
packet id 133 delay: 85920
packet id 134 delay: 90920
packet id 135 delay: 21448
packet id 136 delay: 58920
packet id 137 delay: 31920
