packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 delay: 117727408
packet id 006 delay: 25135728
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 delay: 12750328
packet id 010 loss!!!
packet id 011 delay: 1713680
packet id 012 delay: 938944
packet id 013 delay: 3650000
packet id 014 delay: 1316720
packet id 015 delay: 879760
packet id 016 delay: 1888480
packet id 017 delay: 1086040
packet id 018 delay: 1005080
packet id 019 delay: 1101344
packet id 020 delay: 837120
packet id 021 delay: 872400
packet id 022 delay: 1088360
packet id 023 delay: 2670320
packet id 024 delay: 822000
packet id 025 delay: 866920
packet id 026 delay: 963760
packet id 027 delay: 622640
packet id 028 delay: 986400
packet id 029 loss!!!
packet id 030 delay: 2954888
packet id 031 delay: 1063200
packet id 032 loss!!!
packet id 033 delay: 789040
packet id 034 delay: 835248
packet id 035 delay: 809280
packet id 036 delay: 1080720
packet id 037 delay: 870608
packet id 038 delay: 879720
packet id 039 delay: 680160
packet id 040 delay: 1180800
packet id 041 delay: 950768
packet id 042 delay: 811288
packet id 043 delay: 1481880
packet id 044 delay: 939560
packet id 045 delay: 1036320
packet id 046 delay: 835344
packet id 047 delay: 1105032
packet id 048 delay: 625984
packet id 049 delay: 902304
packet id 050 delay: 1075000
packet id 051 delay: 944664
packet id 052 delay: 972944
packet id 053 delay: 1089824
packet id 054 delay: 1333144
packet id 055 delay: 841864
packet id 056 delay: 1037824
packet id 057 delay: 5126448
packet id 058 delay: 941024
packet id 059 loss!!!
packet id 060 delay: 2507024
packet id 061 delay: 1286232
packet id 062 delay: 1200464
packet id 063 delay: 915864
packet id 064 delay: 853824
packet id 065 delay: 811824
packet id 066 delay: 835712
packet id 067 delay: 1655168
packet id 068 loss!!!
packet id 069 delay: 1000664
packet id 070 delay: 952304
packet id 071 delay: 862984
packet id 072 delay: 769344
packet id 073 delay: 1015024
packet id 074 delay: 1260184
packet id 075 delay: 671904
packet id 076 delay: 1961192
packet id 077 delay: 890944
packet id 078 delay: 824664
packet id 079 delay: 978024
packet id 080 delay: 1072944
packet id 081 delay: 1448264
packet id 082 delay: 706544
packet id 083 delay: 2809664
packet id 084 loss!!!
packet id 085 delay: 920664
packet id 086 delay: 751864
packet id 087 delay: 800824
packet id 088 delay: 842752
packet id 089 delay: 1333784
packet id 090 delay: 1748184
packet id 091 delay: 923544
packet id 092 delay: 944304
packet id 093 delay: 955064
packet id 094 delay: 860224
packet id 095 delay: 703232
packet id 096 delay: 917984
packet id 097 delay: 952264
packet id 098 delay: 2101104
packet id 099 delay: 1000064
packet id 100 delay: 1028616
packet id 101 delay: 930920
packet id 102 loss!!!
packet id 103 delay: 3209088
packet id 104 delay: 1826144
packet id 105 delay: 2959296
packet id 106 delay: 900384
packet id 107 loss!!!
packet id 108 delay: 951904
packet id 109 delay: 1027384
packet id 110 delay: 957344
packet id 111 delay: 1471784
packet id 112 delay: 999984
packet id 113 delay: 937624
packet id 114 delay: 819544
packet id 115 delay: 1150304
packet id 116 delay: 1022984
packet id 117 delay: 841224
packet id 118 delay: 837384
packet id 119 delay: 820584
packet id 120 delay: 889072
packet id 121 delay: 3677024
packet id 122 delay: 952984
packet id 123 delay: 1022944
packet id 124 delay: 952904
packet id 125 delay: 1184192
packet id 126 delay: 2155344
packet id 127 delay: 766064
packet id 128 delay: 966344
packet id 129 delay: 995552
packet id 130 delay: 867880
packet id 131 delay: 980584
packet id 132 loss!!!
packet id 133 delay: 912984
packet id 134 delay: 690024
packet id 135 delay: 930392
packet id 136 delay: 855224
packet id 137 delay: 1792792
packet id 138 delay: 984384
packet id 139 delay: 912544
packet id 140 delay: 1087648
packet id 141 delay: 791704
packet id 142 delay: 1348304
packet id 143 loss!!!
packet id 144 delay: 1310704
packet id 145 delay: 944304
packet id 146 delay: 819352
packet id 147 delay: 952584
packet id 148 delay: 910704
packet id 149 delay: 985384
packet id 150 delay: 1004944
packet id 151 delay: 5685272
packet id 152 delay: 985464
packet id 153 delay: 2656856
packet id 154 delay: 1379904
packet id 155 delay: 1035776
packet id 156 delay: 1531264
packet id 157 delay: 1067312
packet id 158 delay: 934152
packet id 159 loss!!!
packet id 160 delay: 1209624
packet id 161 delay: 913584
packet id 162 delay: 787152
packet id 163 delay: 557752
packet id 164 delay: 915664
packet id 165 delay: 964664
packet id 166 delay: 1169408
packet id 167 delay: 2804752
packet id 168 delay: 996664
packet id 169 delay: 1234112
packet id 170 delay: 1228064
packet id 171 delay: 844864
packet id 172 delay: 990384
packet id 173 delay: 909712
packet id 174 delay: 2438024
packet id 175 delay: 767424
packet id 176 loss!!!
packet id 177 delay: 919784
packet id 178 delay: 899152
packet id 179 delay: 909184
packet id 180 delay: 958792
packet id 181 delay: 1034264
packet id 182 delay: 920968
packet id 183 delay: 919184
packet id 184 delay: 2813088
packet id 185 delay: 3511304
packet id 186 delay: 1187064
packet id 187 delay: 919864
packet id 188 delay: 956064
packet id 189 delay: 951384
packet id 190 delay: 1006744
packet id 191 delay: 906304
packet id 192 delay: 904624
packet id 193 delay: 1012952
packet id 194 delay: 1437584
packet id 195 delay: 1284104
packet id 196 delay: 1216704
packet id 197 delay: 952384
packet id 198 delay: 949384
packet id 199 delay: 906304
packet id 200 delay: 987192
packet id 201 delay: 969944
packet id 202 delay: 703312
packet id 203 delay: 786504
packet id 204 delay: 2010144
packet id 205 delay: 893592
packet id 206 delay: 6236984
packet id 207 delay: 943584
packet id 208 delay: 3124488
packet id 209 delay: 837184
packet id 210 delay: 753752
packet id 211 delay: 1138592
packet id 212 delay: 977304
packet id 213 delay: 835784
packet id 214 delay: 877464
packet id 215 delay: 891624
packet id 216 delay: 901624
packet id 217 delay: 945832
packet id 218 delay: 1100632
packet id 219 delay: 912184
packet id 220 delay: 855072
packet id 221 delay: 1269912
packet id 222 delay: 972624
packet id 223 delay: 920664
packet id 224 delay: 889152
packet id 225 delay: 836744
packet id 226 delay: 1055872
packet id 227 delay: 922344
packet id 228 delay: 1043664
packet id 229 delay: 1199384
packet id 230 delay: 803584
packet id 231 delay: 929224
packet id 232 delay: 876208
packet id 233 delay: 3159952
packet id 234 delay: 907752
packet id 235 delay: 886544
packet id 236 delay: 987984
packet id 237 delay: 962744
packet id 238 delay: 1868024
packet id 239 delay: 914984
packet id 240 delay: 1404864
packet id 241 delay: 1262592
packet id 242 delay: 863224
packet id 243 delay: 957744
packet id 244 delay: 1050424
packet id 245 delay: 927344
packet id 246 delay: 996664
packet id 247 delay: 853368
packet id 248 delay: 912984
packet id 249 loss!!!
packet id 250 delay: 7270984
packet id 251 loss!!!
packet id 252 delay: 691424
packet id 253 delay: 777144
packet id 254 delay: 899904
packet id 255 delay: 831384
packet id 256 delay: 1325168
packet id 257 delay: 813304
packet id 258 delay: 898432
packet id 259 delay: 1664032
packet id 260 loss!!!
packet id 261 delay: 889944
packet id 262 delay: 827264
packet id 263 delay: 1046424
packet id 264 delay: 867512
packet id 265 delay: 1528184
packet id 266 delay: 949344
packet id 267 delay: 1188584
packet id 268 delay: 1138472
packet id 269 delay: 2023224
packet id 270 delay: 916184
packet id 271 delay: 960192
packet id 272 delay: 799944
packet id 273 delay: 1718072
packet id 274 delay: 795784
packet id 275 delay: 1903904
packet id 276 loss!!!
packet id 277 delay: 819424
packet id 278 delay: 895224
packet id 279 delay: 1011104
packet id 280 delay: 1363632
packet id 281 delay: 1715824
packet id 282 delay: 1976880
packet id 283 delay: 877184
packet id 284 delay: 964064
packet id 285 delay: 1928704
packet id 286 delay: 2860552
packet id 287 delay: 1249312
