packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 12213200
packet id 005 delay: 9039120
packet id 006 delay: 10827440
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 delay: 1722896
packet id 010 delay: 3140312
packet id 011 delay: 2049664
packet id 012 delay: 1569032
packet id 013 delay: 10629584
packet id 014 delay: 7877064
packet id 015 delay: 1688904
packet id 016 delay: 346992
packet id 017 delay: 424592
packet id 018 delay: 3150816
packet id 019 delay: 2158944
packet id 020 delay: 147560
packet id 021 delay: 52424
packet id 022 delay: 95456
packet id 023 delay: 5032912
packet id 024 delay: 3165112
packet id 025 delay: 215632
packet id 026 delay: 2273976
packet id 027 delay: 128664
packet id 028 delay: 104272
packet id 029 delay: 28592
packet id 030 delay: 2006072
packet id 031 delay: 1432752
packet id 032 delay: 6876168
packet id 033 delay: 3862472
packet id 034 delay: 28032
packet id 035 delay: 34592
packet id 036 delay: 2507832
packet id 037 delay: 2611200
packet id 038 delay: 119672
packet id 039 delay: 274272
packet id 040 delay: 115336
packet id 041 delay: 1179952
packet id 042 delay: 2568032
packet id 043 delay: 10692256
packet id 044 delay: 5554696
packet id 045 delay: 813432
packet id 046 delay: 656312
packet id 047 delay: 636032
packet id 048 delay: 33432
packet id 049 delay: 148112
packet id 050 delay: 1279504
packet id 051 delay: 91392
packet id 052 delay: 4685072
packet id 053 delay: 2524504
packet id 054 delay: 1894096
packet id 055 delay: 81592
packet id 056 delay: 558112
packet id 057 delay: 1157480
packet id 058 delay: 33336
packet id 059 delay: 237592
packet id 060 delay: 978872
packet id 061 delay: 1089144
packet id 062 delay: 723032
packet id 063 delay: 432496
packet id 064 delay: 61592
packet id 065 delay: 281368
packet id 066 delay: 29952
packet id 067 delay: 55592
packet id 068 delay: 27752
packet id 069 delay: 2266480
packet id 070 delay: 3997224
packet id 071 delay: 870736
packet id 072 delay: 8130720
packet id 073 delay: 3317576
packet id 074 delay: 1448624
packet id 075 delay: 42328
packet id 076 delay: 176832
packet id 077 delay: 186352
packet id 078 delay: 3154488
packet id 079 delay: 110592
packet id 080 delay: 936592
packet id 081 delay: 1558336
packet id 082 delay: 1356712
packet id 083 delay: 143112
packet id 084 delay: 124272
packet id 085 loss!!!
packet id 086 delay: 29336
packet id 087 delay: 125272
packet id 088 delay: 2559944
packet id 089 delay: 4574584
packet id 090 delay: 2042912
packet id 091 delay: 5156712
packet id 092 delay: 4429256
packet id 093 delay: 99256
packet id 094 delay: 7218032
packet id 095 delay: 113112
packet id 096 delay: 491552
packet id 097 delay: 121792
packet id 098 loss!!!
packet id 099 delay: 262552
packet id 100 delay: 77632
packet id 101 delay: 5946520
packet id 102 delay: 1054272
packet id 103 delay: 4406200
packet id 104 delay: 1793624
packet id 105 loss!!!
packet id 106 delay: 8206904
packet id 107 delay: 2287104
packet id 108 delay: 427552
packet id 109 delay: 92272
packet id 110 loss!!!
packet id 111 delay: 3792184
packet id 112 delay: 244672
packet id 113 delay: 439152
packet id 114 delay: 1912392
packet id 115 delay: 1927416
packet id 116 delay: 69592
packet id 117 delay: 2724992
packet id 118 delay: 3198136
packet id 119 delay: 877592
packet id 120 delay: 731592
packet id 121 delay: 1823152
packet id 122 delay: 52592
packet id 123 delay: 201072
packet id 124 delay: 2280384
packet id 125 delay: 9153912
packet id 126 delay: 4177024
packet id 127 delay: 452824
packet id 128 delay: 117992
packet id 129 loss!!!
packet id 130 delay: 3592008
packet id 131 delay: 40464
packet id 132 delay: 2761096
packet id 133 delay: 30592
packet id 134 delay: 1238464
packet id 135 delay: 263432
packet id 136 delay: 194632
packet id 137 delay: 1562560
packet id 138 delay: 3306912
packet id 139 delay: 2372176
packet id 140 delay: 1978568
packet id 141 loss!!!
packet id 142 delay: 816824
packet id 143 delay: 116792
packet id 144 delay: 153312
packet id 145 delay: 4140392
packet id 146 delay: 654864
packet id 147 delay: 3337592
packet id 148 delay: 260352
packet id 149 delay: 10151152
packet id 150 loss!!!
packet id 151 loss!!!
packet id 152 delay: 5373272
packet id 153 delay: 60336
packet id 154 delay: 126992
packet id 155 delay: 226032
packet id 156 loss!!!
packet id 157 delay: 1180432
packet id 158 delay: 3341680
packet id 159 delay: 623272
packet id 160 delay: 1504424
packet id 161 delay: 88392
packet id 162 delay: 624976
packet id 163 delay: 1785832
packet id 164 delay: 60336
packet id 165 delay: 234552
packet id 166 delay: 80232
packet id 167 delay: 303632
packet id 168 delay: 3991688
packet id 169 delay: 555664
packet id 170 delay: 2351664
packet id 171 delay: 5308296
packet id 172 delay: 1575304
packet id 173 loss!!!
packet id 174 delay: 242312
packet id 175 delay: 2113248
packet id 176 delay: 639672
packet id 177 delay: 95592
packet id 178 delay: 470472
packet id 179 delay: 4985000
packet id 180 delay: 9568352
packet id 181 delay: 4395064
packet id 182 delay: 2026584
packet id 183 delay: 1990336
packet id 184 delay: 712832
packet id 185 delay: 375472
packet id 186 delay: 2112584
packet id 187 delay: 985176
packet id 188 delay: 363952
packet id 189 loss!!!
packet id 190 delay: 7047120
packet id 191 delay: 557144
packet id 192 delay: 122200
packet id 193 delay: 6242984
packet id 194 delay: 3128880
packet id 195 delay: 26952
packet id 196 delay: 10256912
packet id 197 delay: 7156208
packet id 198 delay: 42336
packet id 199 delay: 4116304
packet id 200 delay: 2275600
packet id 201 delay: 3265784
packet id 202 delay: 3638872
packet id 203 delay: 293152
packet id 204 delay: 812648
packet id 205 delay: 68592
packet id 206 delay: 546432
packet id 207 delay: 159032
packet id 208 loss!!!
packet id 209 delay: 2301504
packet id 210 delay: 46632
packet id 211 delay: 423384
packet id 212 delay: 34520
packet id 213 delay: 155912
packet id 214 delay: 44040
packet id 215 delay: 78024
packet id 216 delay: 65592
packet id 217 loss!!!
packet id 218 delay: 25176
packet id 219 delay: 41096
packet id 220 loss!!!
packet id 221 delay: 91504
packet id 222 delay: 977504
packet id 223 delay: 35176
packet id 224 delay: 677024
packet id 225 delay: 115280
packet id 226 loss!!!
packet id 227 delay: 48584
packet id 228 loss!!!
packet id 229 delay: 49520
packet id 230 loss!!!
packet id 231 delay: 1980016
packet id 232 delay: 471272
packet id 233 delay: 73896
packet id 234 delay: 2534136
packet id 235 delay: 1652144
packet id 236 delay: 27176
