MONITORED: % | ON: 37.81% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 43.78% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3280000
MONITORED: % | ON: 17.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 23.82% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 3640000
MONITORED: % | ON: 2.47% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 50.51% | TXL: 0.90% | RXL: 20.22% | INTL: 1.06% | Energy: 116999440
MONITORED: % | ON: 1.64% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 46.52% | TXL: 1.17% | RXL: 18.18% | INTL: 1.82% | Energy: 338395440
MONITORED: % | ON: 1.18% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 38.20% | TXL: 1.14% | RXL: 14.20% | INTL: 1.67% | Energy: 439571760
MONITORED: % | ON: 1.00% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 35.39% | TXL: 1.40% | RXL: 12.58% | INTL: 1.50% | Energy: 557024240
MONITORED: % | ON: 0.82% | TX: 0.04% | RX: 0.02% | INT: 0.00% | ONL: 31.81% | TXL: 1.58% | RXL: 10.76% | INTL: 1.45% | Energy: 639253920
MONITORED: % | ON: 0.73% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 29.65% | TXL: 1.82% | RXL: 9.55% | INTL: 1.43% | Energy: 721916080
MONITORED: % | ON: 0.67% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 27.58% | TXL: 1.70% | RXL: 8.75% | INTL: 1.38% | Energy: 789219600
MONITORED: % | ON: 0.63% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 26.37% | TXL: 1.78% | RXL: 8.09% | INTL: 1.32% | Energy: 865424560
MONITORED: % | ON: 0.58% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 24.96% | TXL: 1.66% | RXL: 7.50% | INTL: 1.29% | Energy: 922167920
MONITORED: % | ON: 0.55% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 24.24% | TXL: 1.63% | RXL: 7.20% | INTL: 1.24% | Energy: 1006003520
MONITORED: % | ON: 0.55% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 24.31% | TXL: 1.58% | RXL: 7.29% | INTL: 1.20% | Energy: 1118793360
MONITORED: % | ON: 0.56% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 24.50% | TXL: 1.69% | RXL: 7.28% | INTL: 1.19% | Energy: 1244465040
MONITORED: % | ON: 0.56% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 24.37% | TXL: 1.69% | RXL: 7.25% | INTL: 1.19% | Energy: 1311175760
MONITORED: % | ON: 0.55% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 24.47% | TXL: 1.73% | RXL: 7.25% | INTL: 1.24% | Energy: 1400224960
MONITORED: % | ON: 0.53% | TX: 0.05% | RX: 0.01% | INT: 0.00% | ONL: 24.21% | TXL: 1.82% | RXL: 7.10% | INTL: 1.27% | Energy: 1489048320
MONITORED: % | ON: 0.51% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 23.67% | TXL: 1.79% | RXL: 6.91% | INTL: 1.24% | Energy: 1553923120
MONITORED: % | ON: 0.49% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 23.47% | TXL: 1.87% | RXL: 6.74% | INTL: 1.23% | Energy: 1642307600
MONITORED: % | ON: 0.48% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 23.35% | TXL: 1.86% | RXL: 6.69% | INTL: 1.23% | Energy: 1732663600
MONITORED: % | ON: 0.48% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 23.42% | TXL: 1.88% | RXL: 6.73% | INTL: 1.25% | Energy: 1846972160
MONITORED: % | ON: 0.48% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 23.51% | TXL: 1.89% | RXL: 6.80% | INTL: 1.26% | Energy: 1960440400
MONITORED: % | ON: 0.49% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 23.79% | TXL: 1.89% | RXL: 6.91% | INTL: 1.26% | Energy: 2087806480
MONITORED: % | ON: 0.55% | TX: 0.04% | RX: 0.01% | INT: 0.00% | ONL: 24.00% | TXL: 1.90% | RXL: 7.02% | INTL: 1.27% | Energy: 2223719600
MONITORED: % | ON: 0.64% | TX: 0.04% | RX: 0.02% | INT: 0.00% | ONL: 24.29% | TXL: 1.89% | RXL: 7.18% | INTL: 1.32% | Energy: 2372893840
MONITORED: % | ON: 0.73% | TX: 0.04% | RX: 0.02% | INT: 0.00% | ONL: 24.55% | TXL: 1.97% | RXL: 7.27% | INTL: 1.31% | Energy: 2520366480
MONITORED: % | ON: 0.72% | TX: 0.04% | RX: 0.02% | INT: 0.00% | ONL: 24.79% | TXL: 2.01% | RXL: 7.34% | INTL: 1.34% | Energy: 2658967040
MONITORED: % | ON: 0.72% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.74% | TXL: 2.00% | RXL: 7.34% | INTL: 1.33% | Energy: 2712339600
MONITORED: % | ON: 0.71% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.60% | TXL: 2.02% | RXL: 7.27% | INTL: 1.33% | Energy: 2799602080
MONITORED: % | ON: 0.70% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.55% | TXL: 2.01% | RXL: 7.28% | INTL: 1.33% | Energy: 2905020640
MONITORED: % | ON: 0.69% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.42% | TXL: 2.05% | RXL: 7.19% | INTL: 1.33% | Energy: 2995098080
MONITORED: % | ON: 0.76% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.72% | TXL: 2.09% | RXL: 7.28% | INTL: 1.33% | Energy: 3137867600
MONITORED: % | ON: 0.80% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.86% | TXL: 2.09% | RXL: 7.33% | INTL: 1.33% | Energy: 3259395120
MONITORED: % | ON: 0.84% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.75% | TXL: 2.16% | RXL: 7.22% | INTL: 1.32% | Energy: 3368076000
MONITORED: % | ON: 0.91% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 24.88% | TXL: 2.28% | RXL: 7.17% | INTL: 1.32% | Energy: 3505091840
MONITORED: % | ON: 1.15% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 24.48% | TXL: 2.33% | RXL: 7.00% | INTL: 1.28% | Energy: 3591521120
MONITORED: % | ON: 1.39% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 23.94% | TXL: 2.34% | RXL: 6.81% | INTL: 1.25% | Energy: 3660266000
MONITORED: % | ON: 1.62% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 23.40% | TXL: 2.33% | RXL: 6.63% | INTL: 1.22% | Energy: 3724847520
MONITORED: % | ON: 1.83% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.90% | TXL: 2.32% | RXL: 6.46% | INTL: 1.18% | Energy: 3787995120
MONITORED: % | ON: 2.04% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.34% | TXL: 2.29% | RXL: 6.29% | INTL: 1.15% | Energy: 3840878640
MONITORED: % | ON: 2.16% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 22.09% | TXL: 2.29% | RXL: 6.21% | INTL: 1.14% | Energy: 3880146240
MONITORED: % | ON: 2.35% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 21.63% | TXL: 2.28% | RXL: 6.05% | INTL: 1.11% | Energy: 3942927840
MONITORED: % | ON: 2.53% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 21.19% | TXL: 2.27% | RXL: 5.91% | INTL: 1.08% | Energy: 4003527360
