packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 704032
packet id 008 delay: 28592
packet id 009 delay: 310384
packet id 010 delay: 126632
packet id 011 delay: 89312
packet id 012 loss!!!
packet id 013 delay: 198752
packet id 014 delay: 109776
packet id 015 delay: 66752
packet id 016 delay: 90112
packet id 017 delay: 30592
packet id 018 delay: 191232
packet id 019 delay: 126752
packet id 020 delay: 353512
packet id 021 delay: 102376
packet id 022 delay: 266352
packet id 023 delay: 1101192
packet id 024 delay: 257272
packet id 025 delay: 664472
packet id 026 delay: 392872
packet id 027 delay: 79952
packet id 028 delay: 213152
packet id 029 delay: 29592
packet id 030 delay: 69832
packet id 031 delay: 964392
packet id 032 delay: 28592
packet id 033 delay: 50592
packet id 034 delay: 106272
packet id 035 delay: 180432
packet id 036 delay: 28592
packet id 037 delay: 50592
packet id 038 delay: 109112
packet id 039 delay: 516352
packet id 040 delay: 1136432
packet id 041 delay: 261312
packet id 042 delay: 232712
packet id 043 delay: 95592
packet id 044 delay: 117192
packet id 045 delay: 1354176
packet id 046 delay: 247672
packet id 047 delay: 28336
packet id 048 delay: 257112
packet id 049 delay: 78936
packet id 050 delay: 250552
packet id 051 delay: 28592
packet id 052 delay: 435800
packet id 053 delay: 2910552
packet id 054 delay: 64992
packet id 055 delay: 124072
packet id 056 delay: 407832
packet id 057 delay: 179672
packet id 058 delay: 389256
packet id 059 delay: 1613640
packet id 060 delay: 91288
packet id 061 delay: 115112
packet id 062 delay: 38592
packet id 063 delay: 248112
packet id 064 delay: 31592
packet id 065 delay: 82392
packet id 066 delay: 224672
packet id 067 delay: 96760
packet id 068 delay: 510352
packet id 069 delay: 1286680
packet id 070 delay: 121392
packet id 071 delay: 42592
packet id 072 delay: 131072
packet id 073 delay: 69632
packet id 074 delay: 78592
packet id 075 delay: 99272
packet id 076 delay: 790952
packet id 077 delay: 520312
packet id 078 loss!!!
packet id 079 delay: 74152
packet id 080 delay: 251632
packet id 081 delay: 374488
packet id 082 delay: 1933488
packet id 083 delay: 356352
packet id 084 delay: 467152
packet id 085 delay: 538712
packet id 086 delay: 99112
packet id 087 delay: 39336
packet id 088 delay: 74392
packet id 089 delay: 208672
packet id 090 delay: 27952
packet id 091 delay: 256752
packet id 092 delay: 28592
packet id 093 delay: 593152
packet id 094 delay: 81672
packet id 095 delay: 65592
packet id 096 delay: 96312
packet id 097 delay: 163512
packet id 098 delay: 104080
packet id 099 delay: 235712
packet id 100 delay: 100592
packet id 101 loss!!!
packet id 102 delay: 95952
packet id 103 delay: 41592
packet id 104 delay: 585392
packet id 105 delay: 54592
packet id 106 delay: 63232
packet id 107 delay: 55272
packet id 108 delay: 2112272
packet id 109 delay: 709752
packet id 110 delay: 978976
packet id 111 delay: 73592
packet id 112 delay: 97032
packet id 113 delay: 73888
packet id 114 delay: 108872
packet id 115 delay: 82592
packet id 116 delay: 214232
packet id 117 delay: 27912
packet id 118 delay: 120592
packet id 119 delay: 28592
packet id 120 delay: 122552
packet id 121 delay: 28592
packet id 122 delay: 210432
packet id 123 delay: 197512
packet id 124 delay: 196112
packet id 125 delay: 1505352
packet id 126 delay: 28592
packet id 127 delay: 2987352
packet id 128 delay: 152192
packet id 129 delay: 64592
packet id 130 delay: 83992
packet id 131 delay: 774112
packet id 132 delay: 345624
packet id 133 delay: 433392
packet id 134 delay: 426752
packet id 135 delay: 115272
packet id 136 delay: 631312
packet id 137 delay: 1374872
packet id 138 delay: 756632
packet id 139 delay: 518776
packet id 140 loss!!!
packet id 141 delay: 32592
packet id 142 delay: 35752
packet id 143 delay: 815192
packet id 144 delay: 1818936
packet id 145 delay: 1710512
packet id 146 delay: 66872
packet id 147 delay: 74432
packet id 148 delay: 30592
packet id 149 delay: 646256
packet id 150 delay: 87632
packet id 151 delay: 2336976
packet id 152 delay: 828824
packet id 153 delay: 97496
packet id 154 delay: 746280
packet id 155 delay: 144112
packet id 156 delay: 122672
packet id 157 delay: 89672
packet id 158 delay: 28592
packet id 159 delay: 42336
packet id 160 delay: 183032
packet id 161 delay: 201696
packet id 162 delay: 42336
packet id 163 delay: 403552
packet id 164 delay: 171992
packet id 165 delay: 209792
packet id 166 delay: 36592
packet id 167 delay: 76112
packet id 168 delay: 768432
packet id 169 delay: 997752
packet id 170 delay: 1017232
packet id 171 delay: 2526176
packet id 172 delay: 28336
packet id 173 delay: 47592
packet id 174 delay: 77632
packet id 175 delay: 91952
packet id 176 delay: 207152
packet id 177 loss!!!
packet id 178 delay: 834672
packet id 179 delay: 31592
packet id 180 delay: 273632
packet id 181 delay: 28592
packet id 182 delay: 1852280
packet id 183 delay: 40592
packet id 184 delay: 1936056
packet id 185 delay: 300632
packet id 186 delay: 102112
packet id 187 delay: 260752
packet id 188 delay: 74752
packet id 189 delay: 350776
packet id 190 delay: 28592
packet id 191 delay: 1649976
packet id 192 delay: 175936
packet id 193 delay: 102096
packet id 194 delay: 28592
packet id 195 delay: 44592
packet id 196 delay: 534656
packet id 197 delay: 122912
packet id 198 delay: 1312072
packet id 199 delay: 91432
packet id 200 delay: 27912
packet id 201 delay: 94112
packet id 202 delay: 105472
packet id 203 delay: 1104024
packet id 204 delay: 28592
packet id 205 delay: 106256
packet id 206 delay: 46216
packet id 207 delay: 2717264
packet id 208 delay: 78592
packet id 209 delay: 121592
packet id 210 delay: 327192
packet id 211 delay: 25176
packet id 212 delay: 30256
packet id 213 loss!!!
packet id 214 delay: 85176
packet id 215 delay: 92704
packet id 216 delay: 61896
packet id 217 delay: 25176
packet id 218 delay: 66176
packet id 219 delay: 83912
packet id 220 delay: 21704
packet id 221 delay: 71448
packet id 222 delay: 1614376
packet id 223 delay: 56016
packet id 224 delay: 71640
packet id 225 delay: 24912
packet id 226 delay: 25176
packet id 227 delay: 71424
packet id 228 delay: 37176
packet id 229 delay: 31576
packet id 230 delay: 100768
packet id 231 delay: 68176
packet id 232 delay: 351240
packet id 233 delay: 20808
packet id 234 delay: 648488
packet id 235 loss!!!
packet id 236 delay: 2415984
packet id 237 delay: 4228104
packet id 238 delay: 27176
packet id 239 delay: 25480
packet id 240 delay: 468544
packet id 241 delay: 508176
packet id 242 delay: 100536
packet id 243 delay: 115176
packet id 244 delay: 75880
packet id 245 delay: 40256
packet id 246 delay: 912416
packet id 247 delay: 33280
packet id 248 delay: 91544
packet id 249 delay: 113616
packet id 250 loss!!!
packet id 251 delay: 59176
packet id 252 delay: 94256
packet id 253 delay: 127384
packet id 254 delay: 81256
packet id 255 delay: 88016
packet id 256 delay: 55176
packet id 257 delay: 24920
packet id 258 delay: 99696
packet id 259 delay: 43680
packet id 260 delay: 56640
packet id 261 delay: 25176
packet id 262 delay: 71176
packet id 263 delay: 37336
packet id 264 loss!!!
packet id 265 delay: 97176
packet id 266 loss!!!
packet id 267 delay: 70168
packet id 268 delay: 25176
packet id 269 delay: 361016
packet id 270 delay: 1072016
packet id 271 delay: 37080
packet id 272 delay: 625904
packet id 273 delay: 79176
packet id 274 delay: 108424
packet id 275 delay: 25056
packet id 276 delay: 50256
packet id 277 delay: 85176
packet id 278 delay: 25600
packet id 279 delay: 175920
packet id 280 delay: 28176
packet id 281 delay: 94680
packet id 282 delay: 26176
packet id 283 delay: 85384
packet id 284 delay: 48176
packet id 285 delay: 53400
packet id 286 delay: 186360
packet id 287 delay: 250864
packet id 288 delay: 63472
packet id 289 delay: 89176
packet id 290 delay: 214696
packet id 291 delay: 449432
packet id 292 delay: 69176
packet id 293 delay: 325376
packet id 294 delay: 81048
packet id 295 loss!!!
packet id 296 delay: 21704
packet id 297 delay: 29064
packet id 298 delay: 328536
packet id 299 delay: 47616
packet id 300 delay: 285744
packet id 301 delay: 119336
packet id 302 delay: 240704
packet id 303 delay: 25016
packet id 304 delay: 965416
packet id 305 delay: 30176
packet id 306 delay: 245960
packet id 307 delay: 25176
packet id 308 delay: 65128
packet id 309 loss!!!
packet id 310 delay: 60256
packet id 311 delay: 180696
packet id 312 loss!!!
packet id 313 delay: 142416
packet id 314 delay: 435040
packet id 315 loss!!!
packet id 316 delay: 25176
packet id 317 delay: 113064
packet id 318 delay: 101304
packet id 319 delay: 2095376
packet id 320 delay: 91144
packet id 321 delay: 454256
packet id 322 delay: 24920
packet id 323 delay: 42704
packet id 324 delay: 82176
