MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 6940000
MONITORED: % | ON: 80.72% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 80.72% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 9460000
MONITORED: % | ON: 55.78% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 60.02% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 9820000
MONITORED: % | ON: 4.24% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 36.56% | TXL: 1.32% | RXL: 11.45% | INTL: 1.34% | Energy: 62334080
MONITORED: % | ON: 2.43% | TX: 0.03% | RX: 0.09% | INT: 0.00% | ONL: 49.67% | TXL: 1.70% | RXL: 19.46% | INTL: 2.38% | Energy: 278088240
MONITORED: % | ON: 1.76% | TX: 0.02% | RX: 0.06% | INT: 0.00% | ONL: 42.75% | TXL: 1.29% | RXL: 16.22% | INTL: 2.44% | Energy: 390566640
MONITORED: % | ON: 1.31% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 34.69% | TXL: 1.15% | RXL: 12.75% | INTL: 2.08% | Energy: 435564640
MONITORED: % | ON: 1.10% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 31.28% | TXL: 1.27% | RXL: 11.26% | INTL: 1.90% | Energy: 501939120
MONITORED: % | ON: 0.90% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 28.04% | TXL: 1.21% | RXL: 9.82% | INTL: 1.75% | Energy: 548231600
MONITORED: % | ON: 0.77% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 25.73% | TXL: 1.13% | RXL: 8.86% | INTL: 1.66% | Energy: 591507920
MONITORED: % | ON: 0.69% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 25.13% | TXL: 1.32% | RXL: 8.38% | INTL: 1.59% | Energy: 663004800
MONITORED: % | ON: 0.62% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 23.69% | TXL: 1.26% | RXL: 7.78% | INTL: 1.51% | Energy: 707815920
MONITORED: % | ON: 0.57% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 22.94% | TXL: 1.40% | RXL: 7.33% | INTL: 1.46% | Energy: 761614560
MONITORED: % | ON: 0.51% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 21.79% | TXL: 1.32% | RXL: 6.92% | INTL: 1.43% | Energy: 800793760
MONITORED: % | ON: 0.48% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 21.32% | TXL: 1.34% | RXL: 6.70% | INTL: 1.40% | Energy: 860143360
MONITORED: % | ON: 0.45% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.89% | TXL: 1.24% | RXL: 6.56% | INTL: 1.42% | Energy: 916445280
MONITORED: % | ON: 0.42% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.56% | TXL: 1.18% | RXL: 6.42% | INTL: 1.44% | Energy: 973706400
MONITORED: % | ON: 0.39% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.08% | TXL: 1.15% | RXL: 6.23% | INTL: 1.44% | Energy: 1020600800
MONITORED: % | ON: 0.38% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 20.02% | TXL: 1.13% | RXL: 6.21% | INTL: 1.41% | Energy: 1064630720
MONITORED: % | ON: 0.37% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.77% | TXL: 1.15% | RXL: 6.09% | INTL: 1.39% | Energy: 1090418320
MONITORED: % | ON: 0.35% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 19.59% | TXL: 1.13% | RXL: 6.01% | INTL: 1.39% | Energy: 1143443680
MONITORED: % | ON: 0.34% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.29% | TXL: 1.10% | RXL: 5.91% | INTL: 1.37% | Energy: 1192977120
MONITORED: % | ON: 0.33% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.34% | TXL: 1.14% | RXL: 5.92% | INTL: 1.38% | Energy: 1264750560
MONITORED: % | ON: 0.32% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 19.01% | TXL: 1.12% | RXL: 5.81% | INTL: 1.36% | Energy: 1305586400
MONITORED: % | ON: 0.31% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 18.76% | TXL: 1.13% | RXL: 5.70% | INTL: 1.35% | Energy: 1354092080
MONITORED: % | ON: 0.30% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 18.54% | TXL: 1.12% | RXL: 5.60% | INTL: 1.33% | Energy: 1400756480
MONITORED: % | ON: 0.29% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 18.21% | TXL: 1.08% | RXL: 5.49% | INTL: 1.32% | Energy: 1436669600
