MONITORED: % | ON: 68.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 71.17% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5460000
MONITORED: % | ON: 29.93% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 36.66% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5940000
MONITORED: % | ON: 1.65% | TX: 0.03% | RX: 0.06% | INT: 0.00% | ONL: 35.07% | TXL: 1.87% | RXL: 10.51% | INTL: 3.62% | Energy: 142680000
MONITORED: % | ON: 1.62% | TX: 0.06% | RX: 0.06% | INT: 0.00% | ONL: 30.30% | TXL: 2.36% | RXL: 8.99% | INTL: 3.45% | Energy: 439123760
MONITORED: % | ON: 1.30% | TX: 0.05% | RX: 0.06% | INT: 0.00% | ONL: 30.73% | TXL: 2.62% | RXL: 9.24% | INTL: 3.21% | Energy: 741811120
MONITORED: % | ON: 1.10% | TX: 0.05% | RX: 0.06% | INT: 0.00% | ONL: 30.48% | TXL: 2.93% | RXL: 8.90% | INTL: 3.20% | Energy: 1022065280
MONITORED: % | ON: 0.97% | TX: 0.05% | RX: 0.06% | INT: 0.00% | ONL: 30.11% | TXL: 2.60% | RXL: 8.92% | INTL: 3.42% | Energy: 1286920160
MONITORED: % | ON: 0.88% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 28.28% | TXL: 2.28% | RXL: 8.42% | INTL: 3.29% | Energy: 1452391600
MONITORED: % | ON: 0.83% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 28.66% | TXL: 2.14% | RXL: 8.69% | INTL: 3.31% | Energy: 1750975440
MONITORED: % | ON: 0.79% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 28.81% | TXL: 2.09% | RXL: 8.80% | INTL: 3.39% | Energy: 2024686640
MONITORED: % | ON: 0.77% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 28.40% | TXL: 1.98% | RXL: 8.73% | INTL: 3.34% | Energy: 2242183520
MONITORED: % | ON: 0.74% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 27.86% | TXL: 1.83% | RXL: 8.62% | INTL: 3.29% | Energy: 2437763680
MONITORED: % | ON: 0.72% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 27.58% | TXL: 1.93% | RXL: 8.42% | INTL: 3.21% | Energy: 2658404800
MONITORED: % | ON: 0.67% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 26.64% | TXL: 1.93% | RXL: 7.98% | INTL: 3.01% | Energy: 2780906160
MONITORED: % | ON: 0.65% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 26.22% | TXL: 1.93% | RXL: 7.79% | INTL: 2.92% | Energy: 2849361040
MONITORED: % | ON: 0.62% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 25.49% | TXL: 1.91% | RXL: 7.44% | INTL: 2.78% | Energy: 2963794720
MONITORED: % | ON: 0.58% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 24.74% | TXL: 1.90% | RXL: 7.08% | INTL: 2.64% | Energy: 3079064000
