MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 16660000
MONITORED: % | ON: 3.44% | TX: 0.04% | RX: 0.09% | INT: 0.00% | ONL: 41.00% | TXL: 1.91% | RXL: 13.35% | INTL: 3.42% | Energy: 172004080
MONITORED: % | ON: 1.56% | TX: 0.02% | RX: 0.08% | INT: 0.00% | ONL: 37.08% | TXL: 2.22% | RXL: 11.89% | INTL: 2.73% | Energy: 527580800
MONITORED: % | ON: 1.19% | TX: 0.01% | RX: 0.07% | INT: 0.00% | ONL: 35.23% | TXL: 1.94% | RXL: 11.00% | INTL: 2.46% | Energy: 831920000
MONITORED: % | ON: 1.01% | TX: 0.01% | RX: 0.07% | INT: 0.00% | ONL: 34.11% | TXL: 2.04% | RXL: 10.61% | INTL: 2.21% | Energy: 1117782880
MONITORED: % | ON: 0.94% | TX: 0.01% | RX: 0.07% | INT: 0.00% | ONL: 33.94% | TXL: 2.12% | RXL: 10.52% | INTL: 2.12% | Energy: 1428298880
MONITORED: % | ON: 0.85% | TX: 0.01% | RX: 0.06% | INT: 0.00% | ONL: 33.48% | TXL: 2.34% | RXL: 10.29% | INTL: 2.02% | Energy: 1701765600
MONITORED: % | ON: 0.84% | TX: 0.00% | RX: 0.07% | INT: 0.00% | ONL: 34.19% | TXL: 2.28% | RXL: 10.65% | INTL: 2.20% | Energy: 2071855040
MONITORED: % | ON: 0.79% | TX: 0.00% | RX: 0.06% | INT: 0.00% | ONL: 33.55% | TXL: 2.29% | RXL: 10.37% | INTL: 2.18% | Energy: 2344260320
MONITORED: % | ON: 0.75% | TX: 0.00% | RX: 0.06% | INT: 0.00% | ONL: 33.13% | TXL: 2.39% | RXL: 10.19% | INTL: 2.14% | Energy: 2607572160
MONITORED: % | ON: 0.71% | TX: 0.00% | RX: 0.05% | INT: 0.00% | ONL: 32.68% | TXL: 2.43% | RXL: 9.95% | INTL: 2.03% | Energy: 2857805680
MONITORED: % | ON: 0.69% | TX: 0.00% | RX: 0.05% | INT: 0.00% | ONL: 32.19% | TXL: 2.38% | RXL: 9.76% | INTL: 1.97% | Energy: 3095214000
MONITORED: % | ON: 0.65% | TX: 0.00% | RX: 0.05% | INT: 0.00% | ONL: 31.10% | TXL: 2.33% | RXL: 9.34% | INTL: 1.88% | Energy: 3236584400
MONITORED: % | ON: 0.63% | TX: 0.00% | RX: 0.05% | INT: 0.00% | ONL: 30.56% | TXL: 2.30% | RXL: 9.12% | INTL: 1.83% | Energy: 3309470800
MONITORED: % | ON: 0.59% | TX: 0.00% | RX: 0.04% | INT: 0.00% | ONL: 29.62% | TXL: 2.26% | RXL: 8.74% | INTL: 1.76% | Energy: 3432196000
MONITORED: % | ON: 0.55% | TX: 0.00% | RX: 0.04% | INT: 0.00% | ONL: 28.79% | TXL: 2.22% | RXL: 8.40% | INTL: 1.69% | Energy: 3569327120
MONITORED: % | ON: 0.53% | TX: 0.00% | RX: 0.04% | INT: 0.00% | ONL: 28.18% | TXL: 2.19% | RXL: 8.16% | INTL: 1.65% | Energy: 3709334240
MONITORED: % | ON: 0.50% | TX: 0.00% | RX: 0.04% | INT: 0.00% | ONL: 27.49% | TXL: 2.15% | RXL: 7.87% | INTL: 1.59% | Energy: 3842014400
