NODE2	<AVG delay: 91046 us>	< Energy: 30850859440>	<PRR: 98.000 %>	<Collision ratio: 8.100 %>
NODE3	<AVG delay: 103705 us>	< Energy: 29356632400>	<PRR: 73.500 %>	<Collision ratio: 10.800 %>
NODE4	<AVG delay: 97575 us>	< Energy: 29343499840>	<PRR: 96.000 %>	<Collision ratio: 10.000 %>
NODE5	<AVG delay: 99015 us>	< Energy: 29308097440>	<PRR: 96.600 %>	<Collision ratio: 10.400 %>
NODE6	<AVG delay: 272273 us>	< Energy: 30607486960>	<PRR: 45.000 %>	<Collision ratio: 23.500 %>
NODE7	<AVG delay: 77078 us>	< Energy: 30820093360>	<PRR: 98.400 %>	<Collision ratio: 8.700 %>
NODE8	<AVG delay: 100420 us>	< Energy: 29431077840>	<PRR: 57.800 %>	<Collision ratio: 16.500 %>
NODE9	<AVG delay: 108508 us>	< Energy: 29497709360>	<PRR: 96.600 %>	<Collision ratio: 15.000 %>
NODE10	<AVG delay: 138905 us>	< Energy: 32007730640>	<PRR: 98.400 %>	<Collision ratio: 20.700 %>
NODE11	<AVG delay: 116978 us>	< Energy: 30211221120>	<PRR: 98.200 %>	<Collision ratio: 14.900 %>
NODE12	<AVG delay: 229023 us>	< Energy: 29852060720>	<PRR: 94.200 %>	<Collision ratio: 9.300 %>
NODE13	<AVG delay: 108075 us>	< Energy: 29485806480>	<PRR: 74.300 %>	<Collision ratio: 13.400 %>
NODE14	<AVG delay: 115568 us>	< Energy: 29475886720>	<PRR: 96.400 %>	<Collision ratio: 16.400 %>
NODE15	<AVG delay: 111565 us>	< Energy: 29464064000>	<PRR: 96.300 %>	<Collision ratio: 19.400 %>
NODE16	<AVG delay: 130042 us>	< Energy: 31989544080>	<PRR: 98.600 %>	<Collision ratio: 19.000 %>
NODE17	<AVG delay: 110785 us>	< Energy: 30276493200>	<PRR: 97.200 %>	<Collision ratio: 17.900 %>
NODE18	<AVG delay: 223686 us>	< Energy: 29964219920>	<PRR: 94.000 %>	<Collision ratio: 12.200 %>
NODE19	<AVG delay: 107266 us>	< Energy: 29474019440>	<PRR: 97.100 %>	<Collision ratio: 13.500 %>
NODE20	<AVG delay: 141484 us>	< Energy: 31977587280>	<PRR: 98.400 %>	<Collision ratio: 21.100 %>
NODE21	<AVG delay: 117326 us>	< Energy: 29500604000>	<PRR: 97.000 %>	<Collision ratio: 22.900 %>
NODE22	<AVG delay: 139787 us>	< Energy: 31994879840>	<PRR: 98.400 %>	<Collision ratio: 22.200 %>
NODE23	<AVG delay: 285517 us>	< Energy: 31013702320>	<PRR: 46.500 %>	<Collision ratio: 37.400 %>
NODE24	<AVG delay: 337183 us>	< Energy: 30440340320>	<PRR: 45.700 %>	<Collision ratio: 28.600 %>
NODE25	<AVG delay: 99225 us>	< Energy: 29383663120>	<PRR: 95.900 %>	<Collision ratio: 9.600 %>
NODE26	<AVG delay: 117940 us>	< Energy: 29528264000>	<PRR: 51.900 %>	<Collision ratio: 22.900 %>
NODE27	<AVG delay: 110029 us>	< Energy: 30232917280>	<PRR: 97.700 %>	<Collision ratio: 15.600 %>
NODE28	<AVG delay: 118978 us>	< Energy: 31038845920>	<PRR: 97.500 %>	<Collision ratio: 13.400 %>
NODE29	<AVG delay: 221740 us>	< Energy: 30018595920>	<PRR: 94.000 %>	<Collision ratio: 10.700 %>
NODE30	<AVG delay: 360565 us>	< Energy: 30311276800>	<PRR: 47.500 %>	<Collision ratio: 26.900 %>
NODE31	<AVG delay: 100466 us>	< Energy: 30114238080>	<PRR: 97.400 %>	<Collision ratio: 9.000 %>
NODE32	<AVG delay: 171687 us>	< Energy: 29979625920>	<PRR: 94.500 %>	<Collision ratio: 20.300 %>
NODE33	<AVG delay: 191047 us>	< Energy: 30030498080>	<PRR: 96.500 %>	<Collision ratio: 24.400 %>
NODE34	<AVG delay: 218126 us>	< Energy: 29904008720>	<PRR: 93.400 %>	<Collision ratio: 7.600 %>
NODE35	<AVG delay: 377117 us>	< Energy: 30418630720>	<PRR: 31.700 %>	<Collision ratio: 25.400 %>
NODE36	<AVG delay: 313445 us>	< Energy: 30308010400>	<PRR: 94.200 %>	<Collision ratio: 19.700 %>
