NODE2	<AVG delay: 73812 us>	< Energy: 19518797520>	<PRR: 99.300 %>	<Collision ratio: 2.200 %>
NODE3	<AVG delay: 230296 us>	< Energy: 21550284320>	<PRR: 98.300 %>	<Collision ratio: 35.500 %>
NODE4	<AVG delay: 442094 us>	< Energy: 31629638720>	<PRR: 97.700 %>	<Collision ratio: 40.500 %>
NODE5	<AVG delay: 948311 us>	< Energy: 26349408160>	<PRR: 97.300 %>	<Collision ratio: 78.100 %>
NODE6	<AVG delay: 1275764 us>	< Energy: 30182915200>	<PRR: 96.200 %>	<Collision ratio: 97.600 %>
NODE7	<AVG delay: 1536637 us>	< Energy: 25844304880>	<PRR: 94.800 %>	<Collision ratio: 92.900 %>
NODE8	<AVG delay: 1873995 us>	< Energy: 28215502960>	<PRR: 93.300 %>	<Collision ratio: 85.100 %>
NODE9	<AVG delay: 1957778 us>	< Energy: 23566790800>	<PRR: 92.400 %>	<Collision ratio: 72.200 %>
NODE10	<AVG delay: 2268849 us>	< Energy: 24904271520>	<PRR: 92.100 %>	<Collision ratio: 63.700 %>
NODE11	<AVG delay: 2156087 us>	< Energy: 21063063120>	<PRR: 91.900 %>	<Collision ratio: 55.300 %>
NODE12	<AVG delay: 2489064 us>	< Energy: 21627616000>	<PRR: 92.500 %>	<Collision ratio: 40.600 %>
NODE13	<AVG delay: 2398134 us>	< Energy: 18433588640>	<PRR: 88.400 %>	<Collision ratio: 39.800 %>
NODE14	<AVG delay: 2715315 us>	< Energy: 18695597280>	<PRR: 91.500 %>	<Collision ratio: 34.300 %>
NODE15	<AVG delay: 2526814 us>	< Energy: 16036664080>	<PRR: 86.200 %>	<Collision ratio: 19.400 %>
NODE16	<AVG delay: 2702271 us>	< Energy: 15958373680>	<PRR: 90.100 %>	<Collision ratio: 11.900 %>
