MONITORED: % | ON: 70.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 73.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 11980000
MONITORED: % | ON: 1.16% | TX: 0.07% | RX: 0.05% | INT: 0.00% | ONL: 23.46% | TXL: 3.59% | RXL: 5.26% | INTL: 0.47% | Energy: 419692080
MONITORED: % | ON: 1.43% | TX: 0.07% | RX: 0.08% | INT: 0.00% | ONL: 24.91% | TXL: 4.23% | RXL: 5.64% | INTL: 0.44% | Energy: 962617120
MONITORED: % | ON: 1.08% | TX: 0.06% | RX: 0.06% | INT: 0.00% | ONL: 21.00% | TXL: 3.09% | RXL: 4.34% | INTL: 0.36% | Energy: 1192064960
MONITORED: % | ON: 0.83% | TX: 0.06% | RX: 0.04% | INT: 0.00% | ONL: 18.44% | TXL: 2.40% | RXL: 3.42% | INTL: 0.31% | Energy: 1382592000
MONITORED: % | ON: 0.68% | TX: 0.05% | RX: 0.04% | INT: 0.00% | ONL: 17.01% | TXL: 2.03% | RXL: 2.88% | INTL: 0.28% | Energy: 1576361440
MONITORED: % | ON: 0.57% | TX: 0.05% | RX: 0.03% | INT: 0.00% | ONL: 15.89% | TXL: 1.74% | RXL: 2.46% | INTL: 0.25% | Energy: 1752291840
MONITORED: % | ON: 0.51% | TX: 0.05% | RX: 0.03% | INT: 0.00% | ONL: 15.31% | TXL: 1.58% | RXL: 2.25% | INTL: 0.24% | Energy: 1900394800
MONITORED: % | ON: 0.46% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 14.74% | TXL: 1.43% | RXL: 2.05% | INTL: 0.23% | Energy: 2065390800
MONITORED: % | ON: 0.42% | TX: 0.04% | RX: 0.02% | INT: 0.00% | ONL: 14.41% | TXL: 1.32% | RXL: 1.94% | INTL: 0.22% | Energy: 2248124960
MONITORED: % | ON: 0.41% | TX: 0.05% | RX: 0.02% | INT: 0.00% | ONL: 14.00% | TXL: 1.21% | RXL: 1.80% | INTL: 0.21% | Energy: 2427870720
MONITORED: % | ON: 0.89% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 13.17% | TXL: 1.11% | RXL: 1.65% | INTL: 0.20% | Energy: 2611179920
MONITORED: % | ON: 1.73% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 12.00% | TXL: 1.02% | RXL: 1.50% | INTL: 0.18% | Energy: 2793538400
MONITORED: % | ON: 2.30% | TX: 0.06% | RX: 0.02% | INT: 0.00% | ONL: 11.23% | TXL: 0.95% | RXL: 1.40% | INTL: 0.17% | Energy: 2936470960
MONITORED: % | ON: 2.91% | TX: 0.07% | RX: 0.02% | INT: 0.00% | ONL: 10.37% | TXL: 0.88% | RXL: 1.30% | INTL: 0.15% | Energy: 3114274960
MONITORED: % | ON: 3.43% | TX: 0.07% | RX: 0.02% | INT: 0.00% | ONL: 9.65% | TXL: 0.82% | RXL: 1.21% | INTL: 0.14% | Energy: 3292000000
