packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 656240
packet id 005 delay: 724944
packet id 006 delay: 3627080
packet id 007 delay: 896240
packet id 008 delay: 5810728
packet id 009 delay: 650480
packet id 010 delay: 951720
packet id 011 delay: 597040
packet id 012 delay: 611240
packet id 013 delay: 440800
packet id 014 delay: 636640
packet id 015 delay: 919800
packet id 016 delay: 601880
packet id 017 delay: 634320
packet id 018 delay: 700520
packet id 019 delay: 755920
packet id 020 delay: 565760
packet id 021 loss!!!
packet id 022 delay: 550320
packet id 023 delay: 491880
packet id 024 loss!!!
packet id 025 delay: 542080
packet id 026 delay: 659560
packet id 027 delay: 556680
packet id 028 delay: 543720
packet id 029 delay: 652440
packet id 030 delay: 700496
packet id 031 delay: 739496
packet id 032 delay: 545400
packet id 033 delay: 560336
packet id 034 delay: 699416
packet id 035 delay: 451536
packet id 036 delay: 515376
packet id 037 delay: 514080
packet id 038 delay: 695776
packet id 039 delay: 739376
packet id 040 delay: 542296
packet id 041 delay: 625136
packet id 042 delay: 624536
packet id 043 delay: 493856
packet id 044 delay: 516296
packet id 045 delay: 645136
packet id 046 delay: 669496
packet id 047 delay: 647056
packet id 048 delay: 543896
packet id 049 delay: 463656
packet id 050 delay: 647056
packet id 051 delay: 681816
packet id 052 delay: 672216
packet id 053 delay: 648376
packet id 054 loss!!!
packet id 055 loss!!!
packet id 056 delay: 975664
packet id 057 delay: 568376
packet id 058 delay: 633536
packet id 059 delay: 552216
packet id 060 delay: 703776
packet id 061 delay: 637176
packet id 062 delay: 3470816
packet id 063 delay: 617296
packet id 064 delay: 1565960
packet id 065 delay: 603096
packet id 066 delay: 723416
packet id 067 delay: 677016
packet id 068 delay: 562016
packet id 069 delay: 515896
packet id 070 delay: 692096
packet id 071 delay: 578456
packet id 072 delay: 623856
packet id 073 delay: 522360
packet id 074 delay: 660736
packet id 075 delay: 619816
packet id 076 delay: 1443656
packet id 077 delay: 527656
packet id 078 delay: 692816
packet id 079 delay: 796936
packet id 080 delay: 620816
packet id 081 delay: 689176
packet id 082 delay: 647880
packet id 083 delay: 1639336
packet id 084 delay: 671056
packet id 085 delay: 644816
packet id 086 delay: 527896
packet id 087 delay: 606016
packet id 088 delay: 454096
packet id 089 delay: 623856
packet id 090 delay: 638216
packet id 091 delay: 535376
packet id 092 delay: 572056
packet id 093 delay: 521336
packet id 094 delay: 670456
packet id 095 delay: 697376
packet id 096 delay: 595416
packet id 097 delay: 664536
packet id 098 delay: 588736
packet id 099 delay: 675816
packet id 100 delay: 534296
packet id 101 delay: 654856
packet id 102 delay: 667696
packet id 103 delay: 402976
packet id 104 delay: 543216
packet id 105 delay: 697536
packet id 106 delay: 758640
packet id 107 delay: 607016
packet id 108 delay: 635216
packet id 109 delay: 614696
packet id 110 delay: 537656
packet id 111 delay: 653496
packet id 112 delay: 584056
packet id 113 delay: 588536
packet id 114 delay: 856096
packet id 115 delay: 1106816
packet id 116 delay: 549336
packet id 117 delay: 587136
packet id 118 delay: 818976
packet id 119 delay: 590696
packet id 120 delay: 721736
packet id 121 delay: 517656
packet id 122 delay: 628256
packet id 123 delay: 724936
packet id 124 delay: 565616
packet id 125 delay: 669056
packet id 126 delay: 526760
packet id 127 delay: 1015456
packet id 128 delay: 687856
packet id 129 delay: 573376
packet id 130 delay: 672856
packet id 131 delay: 558016
packet id 132 delay: 669536
packet id 133 delay: 940776
packet id 134 delay: 617816
packet id 135 delay: 838936
packet id 136 delay: 504416
packet id 137 delay: 624696
packet id 138 delay: 506656
packet id 139 loss!!!
packet id 140 delay: 516296
packet id 141 delay: 739856
packet id 142 delay: 575016
packet id 143 delay: 629456
packet id 144 delay: 547736
packet id 145 delay: 595136
packet id 146 delay: 656216
packet id 147 delay: 775000
packet id 148 delay: 540936
packet id 149 delay: 694536
packet id 150 loss!!!
packet id 151 delay: 615416
packet id 152 delay: 536376
packet id 153 delay: 1189336
packet id 154 delay: 521856
packet id 155 delay: 678416
packet id 156 delay: 663816
packet id 157 delay: 560816
packet id 158 delay: 577800
packet id 159 delay: 644376
packet id 160 delay: 564016
packet id 161 delay: 608840
packet id 162 delay: 599696
packet id 163 delay: 556696
packet id 164 delay: 1084856
packet id 165 delay: 511816
packet id 166 delay: 648376
packet id 167 delay: 648696
packet id 168 delay: 640256
packet id 169 delay: 589376
packet id 170 delay: 671216
packet id 171 delay: 584016
packet id 172 delay: 686136
packet id 173 delay: 598656
packet id 174 delay: 565456
packet id 175 delay: 648896
packet id 176 delay: 666696
packet id 177 delay: 701496
packet id 178 delay: 927824
packet id 179 delay: 759576
packet id 180 delay: 921096
packet id 181 delay: 629416
packet id 182 delay: 601736
packet id 183 delay: 1576936
packet id 184 delay: 678816
packet id 185 delay: 598376
packet id 186 delay: 591160
packet id 187 delay: 675536
packet id 188 delay: 695496
packet id 189 delay: 646256
packet id 190 delay: 726856
packet id 191 delay: 1048320
packet id 192 delay: 670616
packet id 193 delay: 681776
packet id 194 delay: 601816
packet id 195 delay: 532376
packet id 196 delay: 2689056
packet id 197 delay: 845816
packet id 198 delay: 646816
packet id 199 delay: 568536
packet id 200 delay: 619656
packet id 201 delay: 933696
packet id 202 delay: 640016
