packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 delay: 21009616
packet id 007 delay: 6025680
packet id 008 loss!!!
packet id 009 delay: 732000
packet id 010 delay: 3178824
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 delay: 846000
packet id 014 loss!!!
packet id 015 loss!!!
packet id 016 delay: 11353912
packet id 017 delay: 16122152
packet id 018 loss!!!
packet id 019 delay: 467208
packet id 020 delay: 320280
packet id 021 delay: 186880
packet id 022 delay: 797480
packet id 023 delay: 995160
packet id 024 delay: 225600
packet id 025 delay: 119240
packet id 026 delay: 2622192
packet id 027 delay: 338680
packet id 028 delay: 1202720
packet id 029 delay: 257280
packet id 030 delay: 1220368
packet id 031 delay: 636560
packet id 032 delay: 199200
packet id 033 delay: 206200
packet id 034 delay: 286720
packet id 035 delay: 360680
packet id 036 delay: 296280
packet id 037 delay: 342040
packet id 038 delay: 321480
packet id 039 delay: 130200
packet id 040 delay: 312680
packet id 041 delay: 298640
packet id 042 loss!!!
packet id 043 delay: 337680
packet id 044 delay: 182200
packet id 045 delay: 201400
packet id 046 delay: 269000
packet id 047 delay: 190200
packet id 048 delay: 239240
packet id 049 loss!!!
packet id 050 delay: 234400
packet id 051 delay: 262000
packet id 052 delay: 278280
packet id 053 delay: 168600
packet id 054 delay: 239920
packet id 055 delay: 325400
packet id 056 delay: 147200
packet id 057 delay: 277040
packet id 058 delay: 258200
packet id 059 delay: 365040
packet id 060 delay: 830560
packet id 061 delay: 211600
packet id 062 delay: 331360
packet id 063 delay: 253200
packet id 064 delay: 274560
packet id 065 delay: 308968
packet id 066 delay: 860280
packet id 067 delay: 244200
packet id 068 delay: 269760
packet id 069 delay: 247880
packet id 070 delay: 317440
packet id 071 delay: 382592
packet id 072 delay: 256640
packet id 073 delay: 196240
packet id 074 delay: 291776
packet id 075 delay: 217600
packet id 076 delay: 270200
packet id 077 delay: 285040
packet id 078 delay: 420080
packet id 079 loss!!!
packet id 080 delay: 261960
packet id 081 delay: 212200
packet id 082 delay: 227200
packet id 083 delay: 190200
packet id 084 delay: 351360
packet id 085 delay: 674400
packet id 086 delay: 469400
packet id 087 delay: 271200
packet id 088 delay: 240600
packet id 089 delay: 316280
packet id 090 delay: 484760
packet id 091 delay: 239920
packet id 092 delay: 193560
packet id 093 delay: 447440
packet id 094 delay: 306680
packet id 095 delay: 612840
packet id 096 delay: 313280
packet id 097 delay: 244280
packet id 098 delay: 144200
packet id 099 delay: 235280
packet id 100 delay: 182200
packet id 101 delay: 166000
packet id 102 delay: 341552
packet id 103 delay: 225040
packet id 104 delay: 342720
packet id 105 delay: 659680
packet id 106 delay: 288680
packet id 107 delay: 242280
packet id 108 delay: 680720
packet id 109 delay: 251200
packet id 110 delay: 330360
packet id 111 delay: 450600
packet id 112 delay: 268280
packet id 113 delay: 316280
packet id 114 delay: 380760
packet id 115 delay: 375080
packet id 116 delay: 702280
packet id 117 delay: 360400
packet id 118 delay: 313280
packet id 119 delay: 257680
packet id 120 delay: 259200
packet id 121 delay: 672720
packet id 122 delay: 251680
packet id 123 delay: 367760
packet id 124 delay: 321680
packet id 125 delay: 1991320
packet id 126 delay: 281280
packet id 127 delay: 434200
packet id 128 delay: 216200
packet id 129 delay: 1324920
packet id 130 delay: 303680
packet id 131 delay: 136960
packet id 132 delay: 299720
packet id 133 delay: 313800
packet id 134 loss!!!
packet id 135 delay: 418240
packet id 136 delay: 320280
packet id 137 delay: 193560
packet id 138 delay: 4316400
packet id 139 delay: 310120
packet id 140 delay: 274640
packet id 141 delay: 270600
packet id 142 delay: 274360
packet id 143 delay: 207920
packet id 144 delay: 240176
packet id 145 delay: 121600
packet id 146 delay: 571880
packet id 147 delay: 105200
packet id 148 delay: 478480
packet id 149 delay: 339400
packet id 150 delay: 270680
packet id 151 delay: 267360
packet id 152 delay: 637440
packet id 153 delay: 233920
packet id 154 delay: 209920
packet id 155 delay: 210200
packet id 156 delay: 248600
packet id 157 delay: 139880
packet id 158 delay: 273040
packet id 159 delay: 272240
packet id 160 delay: 301480
packet id 161 delay: 314640
packet id 162 delay: 3056400
packet id 163 delay: 237960
packet id 164 delay: 130200
packet id 165 delay: 302040
packet id 166 delay: 338360
packet id 167 delay: 224200
packet id 168 delay: 811600
packet id 169 delay: 272280
packet id 170 delay: 287600
packet id 171 delay: 301360
packet id 172 delay: 190720
packet id 173 delay: 507760
packet id 174 loss!!!
packet id 175 delay: 162240
packet id 176 delay: 276680
packet id 177 delay: 189560
packet id 178 delay: 251600
packet id 179 loss!!!
packet id 180 delay: 361400
packet id 181 delay: 1723560
packet id 182 delay: 260280
packet id 183 loss!!!
packet id 184 delay: 221280
packet id 185 delay: 299760
packet id 186 delay: 321360
packet id 187 delay: 1325840
packet id 188 delay: 184200
packet id 189 delay: 2093048
packet id 190 delay: 255680
packet id 191 delay: 578120
packet id 192 delay: 390400
packet id 193 delay: 227280
packet id 194 delay: 305280
