packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 delay: 16769072
packet id 006 delay: 23217904
packet id 007 delay: 10893720
packet id 008 delay: 20097768
packet id 009 delay: 3951920
packet id 010 delay: 334984
packet id 011 delay: 1004456
packet id 012 delay: 10404296
packet id 013 loss!!!
packet id 014 delay: 23779664
packet id 015 loss!!!
packet id 016 loss!!!
packet id 017 delay: 4755192
packet id 018 loss!!!
packet id 019 loss!!!
packet id 020 delay: 2070624
packet id 021 delay: 413464
packet id 022 delay: 367704
packet id 023 delay: 472824
packet id 024 delay: 379984
packet id 025 delay: 366504
packet id 026 delay: 464184
packet id 027 delay: 906624
packet id 028 delay: 424984
packet id 029 delay: 386344
packet id 030 delay: 330744
packet id 031 delay: 357544
packet id 032 delay: 324704
packet id 033 delay: 634664
packet id 034 loss!!!
packet id 035 delay: 452784
packet id 036 delay: 3513832
packet id 037 delay: 255584
packet id 038 delay: 760144
packet id 039 delay: 338664
packet id 040 delay: 373304
packet id 041 delay: 403104
packet id 042 delay: 350344
packet id 043 delay: 410784
packet id 044 delay: 393144
packet id 045 delay: 255504
packet id 046 delay: 370384
packet id 047 loss!!!
packet id 048 delay: 1965224
packet id 049 delay: 486504
packet id 050 delay: 356024
packet id 051 delay: 349344
packet id 052 delay: 367304
packet id 053 delay: 1578984
packet id 054 delay: 1202936
packet id 055 delay: 393824
packet id 056 delay: 1077104
packet id 057 delay: 421064
packet id 058 delay: 714864
packet id 059 delay: 391744
packet id 060 delay: 447104
packet id 061 delay: 434824
packet id 062 loss!!!
packet id 063 delay: 531184
packet id 064 delay: 525904
packet id 065 delay: 948744
packet id 066 delay: 470824
packet id 067 delay: 330384
packet id 068 delay: 446104
packet id 069 delay: 360344
packet id 070 delay: 1140984
packet id 071 delay: 117504
packet id 072 delay: 417784
packet id 073 delay: 480824
packet id 074 delay: 1051448
packet id 075 delay: 393824
packet id 076 delay: 420384
packet id 077 delay: 402024
packet id 078 delay: 325208
packet id 079 delay: 497184
packet id 080 delay: 360024
packet id 081 delay: 967504
packet id 082 delay: 241224
packet id 083 delay: 407704
packet id 084 delay: 1293904
packet id 085 delay: 431144
packet id 086 delay: 399424
packet id 087 delay: 425864
packet id 088 delay: 474144
packet id 089 delay: 1111024
packet id 090 delay: 565424
packet id 091 delay: 451784
packet id 092 delay: 1213408
packet id 093 delay: 207504
packet id 094 delay: 454784
packet id 095 delay: 332384
packet id 096 delay: 412104
packet id 097 delay: 469824
packet id 098 delay: 706280
packet id 099 delay: 558384
packet id 100 delay: 413784
packet id 101 delay: 358424
packet id 102 delay: 330384
packet id 103 delay: 1342688
packet id 104 delay: 392344
packet id 105 delay: 298704
packet id 106 delay: 395824
packet id 107 delay: 424064
packet id 108 delay: 1476704
packet id 109 delay: 1715424
packet id 110 delay: 1312864
packet id 111 delay: 467544
packet id 112 delay: 411704
packet id 113 delay: 471464
packet id 114 delay: 2705304
packet id 115 delay: 2580344
packet id 116 delay: 3551312
packet id 117 delay: 349744
packet id 118 delay: 748944
packet id 119 delay: 422064
packet id 120 delay: 251904
packet id 121 loss!!!
packet id 122 delay: 1149144
packet id 123 delay: 1286584
packet id 124 delay: 626224
packet id 125 delay: 1174784
packet id 126 delay: 338064
packet id 127 loss!!!
packet id 128 delay: 310304
packet id 129 delay: 525144
packet id 130 delay: 441824
packet id 131 delay: 420672
packet id 132 delay: 340664
packet id 133 delay: 889184
packet id 134 delay: 4383664
packet id 135 delay: 323304
packet id 136 delay: 347744
packet id 137 delay: 809824
packet id 138 loss!!!
packet id 139 delay: 314344
packet id 140 delay: 384744
packet id 141 delay: 404688
packet id 142 delay: 292544
packet id 143 delay: 399024
packet id 144 delay: 505224
packet id 145 delay: 546464
packet id 146 delay: 348344
packet id 147 delay: 818064
packet id 148 delay: 357704
packet id 149 delay: 912344
packet id 150 delay: 393824
packet id 151 delay: 386144
packet id 152 delay: 459144
packet id 153 delay: 427144
packet id 154 delay: 408704
packet id 155 delay: 489544
packet id 156 delay: 554544
packet id 157 delay: 430544
packet id 158 delay: 409184
packet id 159 delay: 445384
packet id 160 delay: 2573544
packet id 161 delay: 1539216
packet id 162 delay: 476384
packet id 163 delay: 329384
packet id 164 delay: 442504
packet id 165 delay: 454184
packet id 166 delay: 298584
packet id 167 delay: 518224
packet id 168 loss!!!
packet id 169 delay: 335384
packet id 170 delay: 1015584
packet id 171 delay: 407864
packet id 172 delay: 765544
packet id 173 delay: 261264
packet id 174 delay: 304264
packet id 175 delay: 828408
packet id 176 delay: 553384
packet id 177 delay: 377624
packet id 178 delay: 1174376
packet id 179 delay: 303664
packet id 180 delay: 282384
packet id 181 delay: 483504
packet id 182 delay: 375264
packet id 183 delay: 274304
packet id 184 delay: 1535344
packet id 185 delay: 440184
packet id 186 delay: 421664
packet id 187 delay: 436824
packet id 188 delay: 556144
packet id 189 delay: 434424
packet id 190 delay: 491344
packet id 191 delay: 378464
packet id 192 delay: 406024
packet id 193 delay: 423344
packet id 194 delay: 347744
packet id 195 loss!!!
packet id 196 delay: 421464
packet id 197 delay: 398504
packet id 198 delay: 411704
packet id 199 delay: 414184
packet id 200 delay: 458384
packet id 201 delay: 331904
packet id 202 delay: 386624
packet id 203 delay: 199824
packet id 204 delay: 351344
packet id 205 loss!!!
packet id 206 delay: 256584
packet id 207 delay: 443504
packet id 208 delay: 1971184
packet id 209 delay: 573504
packet id 210 delay: 201984
packet id 211 delay: 395344
packet id 212 delay: 793904
packet id 213 delay: 1125832
packet id 214 loss!!!
packet id 215 delay: 529744
packet id 216 delay: 263264
packet id 217 delay: 1594704
packet id 218 delay: 422464
packet id 219 delay: 397824
packet id 220 delay: 370864
packet id 221 delay: 284904
packet id 222 delay: 486504
packet id 223 delay: 382664
packet id 224 delay: 478744
packet id 225 delay: 494184
packet id 226 delay: 286344
packet id 227 delay: 435144
packet id 228 delay: 400504
packet id 229 delay: 450184
packet id 230 delay: 237544
packet id 231 delay: 476824
packet id 232 delay: 265264
packet id 233 delay: 4140208
packet id 234 delay: 567704
packet id 235 delay: 398344
packet id 236 delay: 378928
packet id 237 delay: 363024
packet id 238 delay: 339984
packet id 239 delay: 392744
packet id 240 delay: 324304
packet id 241 delay: 721384
packet id 242 delay: 286824
packet id 243 delay: 477824
packet id 244 delay: 2521264
packet id 245 delay: 383144
packet id 246 delay: 544264
packet id 247 delay: 392184
packet id 248 delay: 393744
packet id 249 delay: 513344
packet id 250 delay: 300984
packet id 251 delay: 440664
packet id 252 loss!!!
packet id 253 delay: 397544
packet id 254 delay: 464464
packet id 255 delay: 414864
packet id 256 delay: 393344
packet id 257 delay: 454784
packet id 258 delay: 289304
packet id 259 delay: 333384
packet id 260 delay: 324704
packet id 261 delay: 373784
packet id 262 delay: 357344
packet id 263 delay: 627744
packet id 264 delay: 467704
packet id 265 delay: 355024
packet id 266 loss!!!
packet id 267 delay: 847504
packet id 268 delay: 2315944
packet id 269 delay: 415784
packet id 270 delay: 287304
packet id 271 delay: 229864
packet id 272 delay: 585824
packet id 273 delay: 223864
packet id 274 delay: 363384
packet id 275 delay: 346664
packet id 276 delay: 303184
packet id 277 delay: 274944
packet id 278 delay: 191824
packet id 279 delay: 306344
packet id 280 delay: 390144
packet id 281 delay: 261984
packet id 282 delay: 393264
packet id 283 delay: 811104
packet id 284 delay: 1309024
packet id 285 delay: 273544
packet id 286 delay: 408184
packet id 287 delay: 1060544
packet id 288 delay: 328304
packet id 289 delay: 296984
packet id 290 delay: 415344
packet id 291 delay: 396344
packet id 292 delay: 363104
packet id 293 delay: 519384
packet id 294 delay: 397824
packet id 295 delay: 473144
packet id 296 delay: 394824
packet id 297 delay: 654336
packet id 298 delay: 670264
packet id 299 delay: 837784
packet id 300 delay: 252584
packet id 301 delay: 419864
packet id 302 delay: 298744
packet id 303 delay: 219184
packet id 304 loss!!!
packet id 305 delay: 378384
packet id 306 delay: 290904
packet id 307 delay: 383104
packet id 308 delay: 453184
packet id 309 delay: 307344
packet id 310 delay: 410184
packet id 311 delay: 409784
packet id 312 delay: 368304
packet id 313 delay: 371784
packet id 314 delay: 364704
packet id 315 delay: 658464
packet id 316 delay: 468664
packet id 317 delay: 1301424
packet id 318 delay: 357944
packet id 319 delay: 248064
packet id 320 delay: 410792
