packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 773272
packet id 005 delay: 602872
packet id 006 delay: 973368
packet id 007 delay: 1224160
packet id 008 loss!!!
packet id 009 delay: 695176
packet id 010 delay: 570496
packet id 011 delay: 653008
packet id 012 delay: 1033928
packet id 013 delay: 740272
packet id 014 delay: 664176
packet id 015 delay: 601176
packet id 016 delay: 789064
packet id 017 delay: 522288
packet id 018 delay: 1001400
packet id 019 delay: 1672192
packet id 020 delay: 728120
packet id 021 delay: 753600
packet id 022 delay: 599232
packet id 023 delay: 800848
packet id 024 loss!!!
packet id 025 delay: 1049320
packet id 026 delay: 749064
packet id 027 delay: 758008
packet id 028 delay: 682008
packet id 029 delay: 1559000
packet id 030 delay: 714800
packet id 031 loss!!!
packet id 032 loss!!!
packet id 033 delay: 722272
packet id 034 delay: 1298200
packet id 035 delay: 606328
packet id 036 delay: 688424
packet id 037 delay: 1618344
packet id 038 delay: 1466376
packet id 039 delay: 754216
packet id 040 delay: 829616
packet id 041 delay: 853216
packet id 042 delay: 2425152
packet id 043 delay: 738064
packet id 044 delay: 662592
packet id 045 delay: 611176
packet id 046 delay: 698064
packet id 047 delay: 613536
packet id 048 delay: 739744
packet id 049 delay: 676120
packet id 050 delay: 518024
packet id 051 delay: 624232
packet id 052 delay: 821688
packet id 053 delay: 640120
packet id 054 delay: 657440
packet id 055 delay: 651744
packet id 056 delay: 771992
packet id 057 delay: 748328
packet id 058 delay: 882368
packet id 059 delay: 1212160
packet id 060 delay: 652328
packet id 061 delay: 851352
packet id 062 delay: 809632
packet id 063 delay: 751480
packet id 064 delay: 579176
packet id 065 delay: 790160
packet id 066 delay: 868328
packet id 067 delay: 854520
packet id 068 delay: 740440
packet id 069 loss!!!
packet id 070 delay: 894272
packet id 071 loss!!!
packet id 072 delay: 676216
packet id 073 delay: 655952
packet id 074 delay: 1105688
packet id 075 delay: 704272
packet id 076 delay: 958840
packet id 077 delay: 701328
packet id 078 delay: 773160
packet id 079 delay: 615704
packet id 080 delay: 2980032
packet id 081 delay: 784176
packet id 082 delay: 690856
packet id 083 delay: 1031440
packet id 084 delay: 726368
packet id 085 delay: 618008
packet id 086 delay: 894944
packet id 087 delay: 900800
packet id 088 delay: 762272
packet id 089 delay: 703424
packet id 090 delay: 652816
packet id 091 delay: 1283896
packet id 092 delay: 1194808
packet id 093 delay: 921152
packet id 094 delay: 874632
packet id 095 delay: 730328
packet id 096 delay: 619592
packet id 097 loss!!!
packet id 098 delay: 639328
packet id 099 delay: 1188800
packet id 100 delay: 602024
packet id 101 delay: 745952
packet id 102 delay: 775960
packet id 103 delay: 842160
packet id 104 delay: 859272
packet id 105 delay: 763952
packet id 106 delay: 703104
packet id 107 loss!!!
packet id 108 delay: 502928
packet id 109 delay: 570704
packet id 110 delay: 712176
packet id 111 delay: 743632
packet id 112 delay: 919912
packet id 113 delay: 1084944
packet id 114 delay: 694008
packet id 115 delay: 830368
packet id 116 delay: 1499496
packet id 117 delay: 784104
packet id 118 delay: 877424
packet id 119 delay: 1459424
packet id 120 delay: 667536
packet id 121 delay: 827536
packet id 122 delay: 774176
packet id 123 delay: 859216
packet id 124 delay: 732536
packet id 125 delay: 723744
packet id 126 delay: 713800
packet id 127 delay: 795952
packet id 128 delay: 1162632
packet id 129 delay: 670480
packet id 130 delay: 741216
packet id 131 delay: 733064
packet id 132 delay: 775160
packet id 133 delay: 765424
packet id 134 delay: 816008
packet id 135 loss!!!
packet id 136 delay: 706648
packet id 137 delay: 833160
packet id 138 delay: 790800
packet id 139 loss!!!
packet id 140 delay: 699160
packet id 141 delay: 1248968
packet id 142 delay: 627240
packet id 143 delay: 484136
packet id 144 delay: 743312
packet id 145 delay: 673480
packet id 146 delay: 1150904
packet id 147 delay: 691192
packet id 148 delay: 737328
packet id 149 delay: 827648
packet id 150 delay: 1086424
packet id 151 loss!!!
packet id 152 delay: 637120
packet id 153 delay: 656648
packet id 154 delay: 1813560
packet id 155 delay: 640592
packet id 156 delay: 989496
packet id 157 delay: 638496
packet id 158 delay: 733536
packet id 159 delay: 1224160
packet id 160 delay: 839480
packet id 161 delay: 722008
packet id 162 delay: 693440
packet id 163 delay: 726592
packet id 164 delay: 832424
packet id 165 delay: 640328
packet id 166 delay: 804216
packet id 167 delay: 639328
packet id 168 delay: 678592
packet id 169 delay: 642008
packet id 170 delay: 803680
packet id 171 delay: 507192
packet id 172 delay: 633384
packet id 173 delay: 771856
packet id 174 delay: 871368
packet id 175 delay: 447248
packet id 176 delay: 589496
packet id 177 delay: 625384
packet id 178 delay: 753536
packet id 179 delay: 2569120
packet id 180 delay: 791536
packet id 181 delay: 717440
packet id 182 delay: 1384864
packet id 183 delay: 635232
packet id 184 delay: 566288
packet id 185 delay: 639120
packet id 186 delay: 546440
packet id 187 delay: 893896
packet id 188 delay: 840216
packet id 189 delay: 1391232
packet id 190 delay: 846440
packet id 191 delay: 988240
packet id 192 delay: 766008
packet id 193 delay: 1691120
packet id 194 delay: 833048
packet id 195 delay: 630024
packet id 196 delay: 625328
packet id 197 delay: 713064
packet id 198 delay: 731800
packet id 199 delay: 588288
packet id 200 delay: 706272
packet id 201 delay: 857896
packet id 202 delay: 646968
packet id 203 loss!!!
packet id 204 delay: 710216
packet id 205 delay: 688216
packet id 206 delay: 6309152
packet id 207 delay: 1093352
packet id 208 delay: 697328
packet id 209 delay: 799632
packet id 210 delay: 668216
packet id 211 delay: 868312
packet id 212 delay: 725744
packet id 213 delay: 697640
packet id 214 delay: 734536
packet id 215 delay: 8088552
packet id 216 delay: 620744
packet id 217 delay: 1686080
packet id 218 delay: 651704
packet id 219 loss!!!
packet id 220 delay: 3351840
packet id 221 delay: 559344
packet id 222 delay: 755176
packet id 223 loss!!!
packet id 224 delay: 673384
packet id 225 delay: 708648
packet id 226 delay: 982520
packet id 227 delay: 750592
packet id 228 delay: 1205424
packet id 229 delay: 570496
packet id 230 delay: 605328
packet id 231 delay: 874688
packet id 232 delay: 754536
packet id 233 delay: 753216
packet id 234 delay: 2766336
packet id 235 delay: 842840
packet id 236 delay: 537344
packet id 237 delay: 2274480
packet id 238 loss!!!
packet id 239 delay: 684328
packet id 240 delay: 701008
packet id 241 loss!!!
packet id 242 delay: 762216
packet id 243 delay: 813368
packet id 244 delay: 1737384
packet id 245 delay: 703160
packet id 246 delay: 904336
packet id 247 delay: 744952
packet id 248 delay: 921368
packet id 249 delay: 747216
packet id 250 delay: 660328
packet id 251 delay: 860520
packet id 252 delay: 899984
packet id 253 delay: 2299448
packet id 254 delay: 754160
packet id 255 delay: 4572272
packet id 256 delay: 798368
packet id 257 loss!!!
packet id 258 delay: 775424
packet id 259 delay: 1261560
packet id 260 delay: 795216
packet id 261 delay: 743384
packet id 262 delay: 684176
packet id 263 delay: 656384
packet id 264 delay: 859952
packet id 265 delay: 1395656
packet id 266 loss!!!
packet id 267 delay: 663592
packet id 268 delay: 869104
packet id 269 delay: 623496
packet id 270 delay: 1128872
packet id 271 delay: 779688
packet id 272 delay: 1910624
packet id 273 delay: 641440
packet id 274 delay: 668704
packet id 275 delay: 617384
packet id 276 delay: 1707728
packet id 277 delay: 894424
packet id 278 delay: 643648
packet id 279 delay: 711712
packet id 280 delay: 857368
packet id 281 delay: 748784
packet id 282 delay: 1779616
packet id 283 delay: 851896
packet id 284 delay: 1166800
packet id 285 delay: 700800
packet id 286 delay: 900312
packet id 287 loss!!!
packet id 288 delay: 749896
packet id 289 delay: 665744
packet id 290 delay: 846480
packet id 291 delay: 834424
packet id 292 delay: 745384
packet id 293 delay: 717120
packet id 294 loss!!!
packet id 295 delay: 778216
packet id 296 delay: 735008
packet id 297 delay: 728008
packet id 298 delay: 808048
packet id 299 delay: 811800
packet id 300 delay: 687928
packet id 301 delay: 892104
packet id 302 delay: 596912
packet id 303 delay: 2828840
packet id 304 delay: 500496
packet id 305 delay: 678704
packet id 306 delay: 694536
packet id 307 delay: 678008
packet id 308 delay: 710896
packet id 309 delay: 653744
packet id 310 delay: 783480
packet id 311 delay: 716480
packet id 312 delay: 926104
packet id 313 delay: 499344
packet id 314 delay: 717120
packet id 315 loss!!!
packet id 316 delay: 708480
packet id 317 delay: 686480
packet id 318 delay: 714216
packet id 319 delay: 783632
packet id 320 delay: 894216
packet id 321 delay: 926104
packet id 322 delay: 727464
packet id 323 delay: 784104
packet id 324 delay: 979552
packet id 325 loss!!!
