packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 95592
packet id 004 delay: 54592
packet id 005 delay: 28592
packet id 006 delay: 123776
packet id 007 delay: 103592
packet id 008 delay: 324712
packet id 009 delay: 109592
packet id 010 delay: 80336
packet id 011 delay: 104336
packet id 012 delay: 94592
packet id 013 delay: 74336
packet id 014 delay: 48592
packet id 015 delay: 43336
packet id 016 delay: 28592
packet id 017 delay: 28592
packet id 018 delay: 28592
packet id 019 delay: 118336
packet id 020 delay: 39336
packet id 021 delay: 77592
packet id 022 delay: 39592
packet id 023 delay: 122336
packet id 024 delay: 36592
packet id 025 delay: 68952
packet id 026 delay: 103592
packet id 027 delay: 119592
packet id 028 delay: 73592
packet id 029 delay: 91592
packet id 030 delay: 28592
packet id 031 delay: 71592
packet id 032 delay: 28336
packet id 033 delay: 28592
packet id 034 delay: 28592
packet id 035 delay: 63592
packet id 036 delay: 75592
packet id 037 delay: 28592
packet id 038 delay: 28336
packet id 039 delay: 46592
packet id 040 delay: 28592
packet id 041 delay: 92336
packet id 042 delay: 121592
packet id 043 delay: 43336
packet id 044 delay: 108592
packet id 045 delay: 277952
packet id 046 delay: 105272
packet id 047 delay: 51592
packet id 048 delay: 28592
packet id 049 delay: 117592
packet id 050 delay: 91592
packet id 051 delay: 80336
packet id 052 delay: 31592
packet id 053 delay: 73592
packet id 054 delay: 73592
packet id 055 delay: 86592
packet id 056 delay: 28592
packet id 057 delay: 127592
packet id 058 delay: 32592
packet id 059 delay: 57592
packet id 060 delay: 108592
packet id 061 delay: 46336
packet id 062 delay: 81592
packet id 063 delay: 83592
packet id 064 delay: 82336
packet id 065 delay: 40592
packet id 066 delay: 80336
packet id 067 delay: 65592
packet id 068 delay: 134112
packet id 069 delay: 86856
packet id 070 delay: 71752
packet id 071 delay: 28592
packet id 072 delay: 90336
packet id 073 delay: 47592
packet id 074 delay: 54592
packet id 075 delay: 122592
packet id 076 delay: 66336
packet id 077 delay: 28592
packet id 078 delay: 80592
packet id 079 delay: 28592
packet id 080 delay: 115592
packet id 081 delay: 80336
packet id 082 delay: 86336
packet id 083 delay: 56592
packet id 084 delay: 28592
packet id 085 delay: 108336
packet id 086 delay: 62592
packet id 087 delay: 1012592
packet id 088 delay: 28592
packet id 089 delay: 485592
packet id 090 delay: 91592
packet id 091 delay: 34592
packet id 092 delay: 49336
packet id 093 delay: 97592
packet id 094 delay: 114592
packet id 095 delay: 49336
packet id 096 delay: 122592
packet id 097 delay: 102592
packet id 098 delay: 48592
packet id 099 delay: 28336
packet id 100 delay: 29592
packet id 101 delay: 88592
packet id 102 delay: 83336
packet id 103 delay: 103912
packet id 104 delay: 103768
packet id 105 delay: 203032
packet id 106 delay: 39336
packet id 107 delay: 120592
packet id 108 delay: 74592
packet id 109 delay: 51592
packet id 110 delay: 28592
packet id 111 delay: 94592
packet id 112 delay: 67592
packet id 113 delay: 89336
packet id 114 delay: 66176
packet id 115 delay: 28592
packet id 116 delay: 28336
packet id 117 delay: 51592
packet id 118 delay: 80496
packet id 119 delay: 28336
packet id 120 delay: 89336
packet id 121 delay: 74592
packet id 122 delay: 28592
packet id 123 delay: 41336
packet id 124 delay: 28592
packet id 125 delay: 120592
packet id 126 delay: 70592
packet id 127 delay: 109592
packet id 128 delay: 77592
packet id 129 delay: 54336
packet id 130 delay: 28336
packet id 131 delay: 96592
packet id 132 delay: 58592
packet id 133 delay: 39592
packet id 134 delay: 60336
packet id 135 delay: 28592
packet id 136 delay: 85592
packet id 137 delay: 110856
packet id 138 delay: 28592
packet id 139 delay: 100336
packet id 140 delay: 441328
packet id 141 delay: 66592
packet id 142 delay: 28592
packet id 143 delay: 53592
packet id 144 delay: 99592
packet id 145 delay: 28592
packet id 146 delay: 41592
packet id 147 delay: 76592
packet id 148 delay: 117592
packet id 149 delay: 52592
packet id 150 delay: 28592
packet id 151 delay: 45592
packet id 152 delay: 121336
packet id 153 delay: 42592
packet id 154 delay: 28592
packet id 155 delay: 51592
packet id 156 delay: 216448
packet id 157 loss!!!
packet id 158 delay: 277712
packet id 159 delay: 28592
packet id 160 delay: 63592
packet id 161 delay: 63592
packet id 162 delay: 99592
packet id 163 delay: 69336
packet id 164 delay: 59592
packet id 165 delay: 337592
packet id 166 delay: 55176
packet id 167 delay: 90592
packet id 168 delay: 79592
packet id 169 delay: 92592
packet id 170 delay: 28592
packet id 171 delay: 28592
packet id 172 delay: 105592
packet id 173 delay: 28592
packet id 174 delay: 240856
packet id 175 delay: 28592
packet id 176 delay: 28592
packet id 177 delay: 28592
packet id 178 delay: 118592
packet id 179 delay: 204032
packet id 180 delay: 76592
packet id 181 delay: 89752
packet id 182 delay: 96592
packet id 183 delay: 60952
packet id 184 delay: 107336
packet id 185 delay: 48592
packet id 186 delay: 102592
packet id 187 delay: 113592
packet id 188 delay: 1104352
packet id 189 delay: 32592
packet id 190 delay: 126336
packet id 191 delay: 46592
packet id 192 delay: 738632
packet id 193 delay: 28336
packet id 194 delay: 92432
packet id 195 delay: 29592
packet id 196 delay: 35592
packet id 197 delay: 28336
packet id 198 delay: 105336
packet id 199 delay: 28592
packet id 200 delay: 36912
packet id 201 delay: 70592
packet id 202 delay: 28592
packet id 203 delay: 35592
packet id 204 delay: 84592
packet id 205 delay: 169592
packet id 206 delay: 85592
packet id 207 delay: 118592
packet id 208 delay: 64592
