NODE2	<AVG delay: 109266 us>	<Energy 97.300 %>	<PRR: 98.900 %>	<Collision ratio: 16.200 %>
NODE3	<AVG delay: 120056 us>	<Energy 98.600 %>		<Collision ratio: 13.700 %>
NODE4	<AVG delay: 120753 us>	<Energy 96.200 %>		<Collision ratio: 24.600 %>
NODE5	<AVG delay: 124312 us>	<Energy 98.200 %>		<Collision ratio: 13.700 %>
NODE6	<AVG delay: 322119 us>	<Energy 97.700 %>		<Collision ratio: 26.500 %>
NODE7	<AVG delay: 94037 us>	<Energy 97.000 %>		<Collision ratio: 10.900 %>
NODE8	<AVG delay: 125572 us>	<Energy 96.600 %>		<Collision ratio: 28.700 %>
NODE9	<AVG delay: 138314 us>	<Energy 97.000 %>		<Collision ratio: 37.100 %>
NODE10	<AVG delay: 146988 us>	<Energy 97.200 %>		<Collision ratio: 32.700 %>
NODE11	<AVG delay: 140583 us>	<Energy 98.900 %>		<Collision ratio: 21.000 %>
NODE12	<AVG delay: 464838 us>	<Energy 98.100 %>		<Collision ratio: 34.700 %>
NODE13	<AVG delay: 128052 us>	<Energy 96.300 %>		<Collision ratio: 27.000 %>
NODE14	<AVG delay: 130298 us>	<Energy 97.000 %>		<Collision ratio: 30.100 %>
NODE15	<AVG delay: 142552 us>	<Energy 97.100 %>		<Collision ratio: 32.200 %>
NODE16	<AVG delay: 145469 us>	<Energy 97.100 %>		<Collision ratio: 32.600 %>
NODE17	<AVG delay: 148705 us>	<Energy 99.200 %>		<Collision ratio: 18.600 %>
NODE18	<AVG delay: 265523 us>	<Energy 98.700 %>		<Collision ratio: 36.100 %>
NODE19	<AVG delay: 130003 us>	<Energy 96.400 %>		<Collision ratio: 23.600 %>
NODE20	<AVG delay: 134702 us>	<Energy 97.200 %>		<Collision ratio: 28.700 %>
NODE21	<AVG delay: 146272 us>	<Energy 99.600 %>		<Collision ratio: 22.300 %>
NODE22	<AVG delay: 142569 us>	<Energy 99.300 %>		<Collision ratio: 19.700 %>
NODE23	<AVG delay: 302972 us>	<Energy 99.600 %>		<Collision ratio: 54.600 %>
NODE24	<AVG delay: 358839 us>	<Energy 98.500 %>		<Collision ratio: 46.000 %>
NODE25	<AVG delay: 106795 us>	<Energy 96.000 %>		<Collision ratio: 21.800 %>
NODE26	<AVG delay: 135604 us>	<Energy 99.100 %>		<Collision ratio: 19.200 %>
NODE27	<AVG delay: 159956 us>	<Energy 99.500 %>		<Collision ratio: 25.500 %>
NODE28	<AVG delay: 139340 us>	<Energy 99.200 %>		<Collision ratio: 20.000 %>
NODE29	<AVG delay: 316535 us>	<Energy 100.000 %>		<Collision ratio: 42.300 %>
NODE30	<AVG delay: 355416 us>	<Energy 98.100 %>		<Collision ratio: 33.100 %>
NODE31	<AVG delay: 111800 us>	<Energy 97.600 %>		<Collision ratio: 13.000 %>
NODE32	<AVG delay: 388178 us>	<Energy 98.500 %>		<Collision ratio: 33.900 %>
NODE33	<AVG delay: 294332 us>	<Energy 99.400 %>		<Collision ratio: 38.600 %>
NODE34	<AVG delay: 242928 us>	<Energy 98.500 %>		<Collision ratio: 39.200 %>
NODE35	<AVG delay: 353698 us>	<Energy 98.100 %>		<Collision ratio: 36.200 %>
NODE36	<AVG delay: 333431 us>	<Energy 97.400 %>		<Collision ratio: 30.100 %>
