MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 59.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 63.01% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7460000
MONITORED: % | ON: 37.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 41.99% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7700000
MONITORED: % | ON: 2.30% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 56.68% | TXL: 1.53% | RXL: 21.87% | INTL: 7.70% | Energy: 426187040
MONITORED: % | ON: 1.59% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 46.87% | TXL: 1.03% | RXL: 17.86% | INTL: 5.74% | Energy: 1228210000
MONITORED: % | ON: 1.43% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 42.58% | TXL: 0.77% | RXL: 16.21% | INTL: 4.94% | Energy: 1893999680
MONITORED: % | ON: 1.33% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 38.47% | TXL: 0.88% | RXL: 14.28% | INTL: 3.99% | Energy: 2384778160
MONITORED: % | ON: 1.21% | TX: 0.03% | RX: 0.02% | INT: 0.00% | ONL: 35.46% | TXL: 1.03% | RXL: 12.82% | INTL: 3.34% | Energy: 2808993520
MONITORED: % | ON: 1.17% | TX: 0.03% | RX: 0.01% | INT: 0.00% | ONL: 34.05% | TXL: 1.18% | RXL: 12.08% | INTL: 2.96% | Energy: 3306434400
MONITORED: % | ON: 1.03% | TX: 0.03% | RX: 0.01% | INT: 0.00% | ONL: 30.94% | TXL: 1.04% | RXL: 10.65% | INTL: 2.61% | Energy: 3494641200
MONITORED: % | ON: 0.92% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 28.48% | TXL: 0.92% | RXL: 9.51% | INTL: 2.35% | Energy: 3676987920
MONITORED: % | ON: 0.83% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 26.54% | TXL: 0.84% | RXL: 8.60% | INTL: 2.14% | Energy: 3849100240
MONITORED: % | ON: 0.75% | TX: 0.02% | RX: 0.01% | INT: 0.00% | ONL: 24.88% | TXL: 0.77% | RXL: 7.81% | INTL: 1.96% | Energy: 4009740560
