MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 69.70% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 72.61% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 11740000
MONITORED: % | ON: 1.62% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 27.14% | TXL: 0.20% | RXL: 9.31% | INTL: 0.99% | Energy: 579383120
MONITORED: % | ON: 0.62% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 16.22% | TXL: 0.11% | RXL: 3.64% | INTL: 0.36% | Energy: 1125679520
MONITORED: % | ON: 0.40% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 13.86% | TXL: 0.09% | RXL: 2.40% | INTL: 0.25% | Energy: 1632015840
MONITORED: % | ON: 0.29% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.72% | TXL: 0.08% | RXL: 1.79% | INTL: 0.20% | Energy: 2092244000
MONITORED: % | ON: 0.24% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 12.19% | TXL: 0.07% | RXL: 1.51% | INTL: 0.17% | Energy: 2597697920
MONITORED: % | ON: 0.20% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.74% | TXL: 0.07% | RXL: 1.27% | INTL: 0.15% | Energy: 3048509280
MONITORED: % | ON: 0.18% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.56% | TXL: 0.06% | RXL: 1.18% | INTL: 0.14% | Energy: 3550005280
MONITORED: % | ON: 0.16% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.31% | TXL: 0.06% | RXL: 1.05% | INTL: 0.13% | Energy: 4003723120
MONITORED: % | ON: 0.15% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.20% | TXL: 0.06% | RXL: 0.99% | INTL: 0.12% | Energy: 4499371200
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.05% | TXL: 0.06% | RXL: 0.91% | INTL: 0.12% | Energy: 4960641360
