MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 1.68% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 25.25% | TXL: 0.20% | RXL: 8.54% | INTL: 0.46% | Energy: 542757920
MONITORED: % | ON: 0.62% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 15.55% | TXL: 0.12% | RXL: 3.32% | INTL: 0.19% | Energy: 1080803600
MONITORED: % | ON: 0.40% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 13.40% | TXL: 0.09% | RXL: 2.17% | INTL: 0.14% | Energy: 1578817200
MONITORED: % | ON: 0.29% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 12.37% | TXL: 0.08% | RXL: 1.60% | INTL: 0.12% | Energy: 2035427360
MONITORED: % | ON: 0.24% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.89% | TXL: 0.07% | RXL: 1.35% | INTL: 0.11% | Energy: 2534599600
MONITORED: % | ON: 0.19% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.49% | TXL: 0.06% | RXL: 1.13% | INTL: 0.11% | Energy: 2985292880
MONITORED: % | ON: 0.18% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.33% | TXL: 0.06% | RXL: 1.05% | INTL: 0.10% | Energy: 3481757120
MONITORED: % | ON: 0.15% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.11% | TXL: 0.06% | RXL: 0.93% | INTL: 0.10% | Energy: 3934233600
MONITORED: % | ON: 0.14% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 11.02% | TXL: 0.06% | RXL: 0.88% | INTL: 0.10% | Energy: 4427934960
MONITORED: % | ON: 0.13% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.89% | TXL: 0.06% | RXL: 0.81% | INTL: 0.09% | Energy: 4887802160
MONITORED: % | ON: 0.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.85% | TXL: 0.06% | RXL: 0.78% | INTL: 0.09% | Energy: 5383588640
MONITORED: % | ON: 0.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.75% | TXL: 0.06% | RXL: 0.73% | INTL: 0.09% | Energy: 5845266960
MONITORED: % | ON: 0.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.70% | TXL: 0.06% | RXL: 0.70% | INTL: 0.09% | Energy: 6312084080
MONITORED: % | ON: 0.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.69% | TXL: 0.05% | RXL: 0.70% | INTL: 0.09% | Energy: 6585475360
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.63% | TXL: 0.05% | RXL: 0.66% | INTL: 0.09% | Energy: 6996054880
MONITORED: % | ON: 0.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.60% | TXL: 0.05% | RXL: 0.65% | INTL: 0.09% | Energy: 7484004480
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.55% | TXL: 0.05% | RXL: 0.62% | INTL: 0.09% | Energy: 7944072880
MONITORED: % | ON: 0.09% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.52% | TXL: 0.05% | RXL: 0.60% | INTL: 0.09% | Energy: 8418993520
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.49% | TXL: 0.05% | RXL: 0.59% | INTL: 0.08% | Energy: 8894706960
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.45% | TXL: 0.05% | RXL: 0.57% | INTL: 0.08% | Energy: 9347774960
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.44% | TXL: 0.05% | RXL: 0.56% | INTL: 0.08% | Energy: 9840884000
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.41% | TXL: 0.05% | RXL: 0.55% | INTL: 0.08% | Energy: 10292186880
MONITORED: % | ON: 0.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.40% | TXL: 0.05% | RXL: 0.54% | INTL: 0.08% | Energy: 10778680640
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.38% | TXL: 0.05% | RXL: 0.53% | INTL: 0.08% | Energy: 11229083120
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.38% | TXL: 0.05% | RXL: 0.53% | INTL: 0.08% | Energy: 11717917680
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.35% | TXL: 0.05% | RXL: 0.52% | INTL: 0.08% | Energy: 12178864400
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.33% | TXL: 0.05% | RXL: 0.50% | INTL: 0.08% | Energy: 12578291200
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.34% | TXL: 0.05% | RXL: 0.51% | INTL: 0.08% | Energy: 12869200880
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.32% | TXL: 0.05% | RXL: 0.50% | INTL: 0.08% | Energy: 13328034160
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.32% | TXL: 0.05% | RXL: 0.50% | INTL: 0.08% | Energy: 13810037920
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.30% | TXL: 0.05% | RXL: 0.49% | INTL: 0.08% | Energy: 14269043040
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.29% | TXL: 0.05% | RXL: 0.48% | INTL: 0.08% | Energy: 14731388160
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.28% | TXL: 0.05% | RXL: 0.48% | INTL: 0.08% | Energy: 15217285120
