packet id 001 loss!!!
packet id 002 delay: 1020448
packet id 003 delay: 997144
packet id 004 delay: 878880
packet id 005 delay: 928656
packet id 006 delay: 1165768
packet id 007 delay: 1257144
packet id 008 delay: 1345464
packet id 009 delay: 921240
packet id 010 delay: 1040768
packet id 011 delay: 1022184
packet id 012 delay: 969136
packet id 013 delay: 1092256
packet id 014 delay: 870352
packet id 015 delay: 963504
packet id 016 delay: 1170920
packet id 017 delay: 1308600
packet id 018 delay: 2112080
packet id 019 delay: 1298584
packet id 020 loss!!!
packet id 021 delay: 4729232
packet id 022 delay: 922296
packet id 023 delay: 3627072
packet id 024 delay: 1092240
packet id 025 delay: 955352
packet id 026 delay: 1021128
packet id 027 delay: 1120976
packet id 028 delay: 991184
packet id 029 delay: 1085448
packet id 030 delay: 925184
packet id 031 loss!!!
packet id 032 delay: 1139872
packet id 033 delay: 1050560
packet id 034 delay: 904032
packet id 035 delay: 1201016
packet id 036 delay: 984448
packet id 037 delay: 1121016
packet id 038 loss!!!
packet id 039 delay: 5909464
packet id 040 delay: 1334504
packet id 041 delay: 880296
packet id 042 delay: 1001192
packet id 043 delay: 1022240
packet id 044 delay: 1344520
packet id 045 delay: 1023240
packet id 046 delay: 4931680
packet id 047 delay: 1531488
packet id 048 delay: 983976
packet id 049 delay: 918032
packet id 050 delay: 1637224
packet id 051 delay: 1022144
packet id 052 delay: 818104
packet id 053 delay: 972296
packet id 054 delay: 801896
packet id 055 delay: 942448
packet id 056 delay: 1149040
packet id 057 delay: 917712
packet id 058 delay: 934032
packet id 059 delay: 1160184
packet id 060 delay: 1011032
packet id 061 delay: 1594880
packet id 062 delay: 1105544
packet id 063 delay: 968032
packet id 064 delay: 991712
packet id 065 delay: 946976
packet id 066 delay: 954240
packet id 067 delay: 1103184
packet id 068 delay: 986032
packet id 069 loss!!!
packet id 070 delay: 1151184
packet id 071 delay: 1041240
packet id 072 delay: 4907272
packet id 073 delay: 986304
packet id 074 delay: 953880
packet id 075 delay: 1024032
packet id 076 delay: 1858080
packet id 077 delay: 1009240
packet id 078 delay: 1044976
packet id 079 delay: 1072184
packet id 080 delay: 1007240
packet id 081 delay: 983232
packet id 082 delay: 1033296
