packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 delay: 7363960
packet id 006 delay: 9577872
packet id 007 delay: 735952
packet id 008 delay: 6660224
packet id 009 delay: 538600
packet id 010 delay: 5026008
packet id 011 delay: 2714952
packet id 012 loss!!!
packet id 013 delay: 236640
packet id 014 delay: 5718592
packet id 015 delay: 5219720
packet id 016 delay: 198240
packet id 017 delay: 192560
packet id 018 delay: 234400
packet id 019 delay: 137280
packet id 020 delay: 487400
packet id 021 delay: 693000
packet id 022 delay: 205920
packet id 023 delay: 238640
packet id 024 delay: 193560
packet id 025 delay: 293400
packet id 026 delay: 395200
packet id 027 delay: 274040
packet id 028 delay: 185880
packet id 029 delay: 172240
packet id 030 delay: 220280
packet id 031 delay: 293400
packet id 032 delay: 196400
packet id 033 delay: 188560
packet id 034 delay: 183880
packet id 035 delay: 255680
packet id 036 delay: 177880
packet id 037 delay: 233680
packet id 038 delay: 250000
packet id 039 delay: 123200
packet id 040 delay: 235640
packet id 041 delay: 137120
packet id 042 delay: 178880
packet id 043 delay: 259680
packet id 044 delay: 995160
packet id 045 loss!!!
packet id 046 delay: 207960
packet id 047 delay: 173640
packet id 048 delay: 315680
packet id 049 delay: 178200
packet id 050 delay: 245320
packet id 051 delay: 269360
packet id 052 delay: 277040
packet id 053 delay: 2035480
packet id 054 delay: 604760
packet id 055 delay: 222040
packet id 056 delay: 217800
packet id 057 delay: 252000
packet id 058 delay: 246320
packet id 059 delay: 183640
packet id 060 delay: 142640
packet id 061 delay: 155920
packet id 062 delay: 233640
packet id 063 delay: 169200
packet id 064 delay: 249000
packet id 065 delay: 265360
packet id 066 delay: 234640
packet id 067 loss!!!
packet id 068 loss!!!
packet id 069 delay: 177240
packet id 070 delay: 189560
packet id 071 delay: 242320
packet id 072 delay: 185880
packet id 073 delay: 219280
packet id 074 delay: 170200
packet id 075 delay: 163200
packet id 076 delay: 218960
packet id 077 delay: 198240
packet id 078 delay: 187560
packet id 079 delay: 212600
packet id 080 delay: 175200
packet id 081 delay: 292720
packet id 082 delay: 516640
packet id 083 delay: 515680
packet id 084 delay: 202240
packet id 085 delay: 173360
packet id 086 delay: 136240
packet id 087 delay: 281720
packet id 088 delay: 165280
packet id 089 delay: 288400
packet id 090 delay: 233640
packet id 091 delay: 199560
packet id 092 delay: 291400
packet id 093 delay: 362920
packet id 094 delay: 188560
packet id 095 delay: 561120
packet id 096 delay: 220280
packet id 097 delay: 279000
packet id 098 delay: 240320
packet id 099 delay: 227960
packet id 100 delay: 278720
packet id 101 delay: 176200
packet id 102 delay: 356000
packet id 103 delay: 259680
packet id 104 delay: 235640
packet id 105 delay: 277040
packet id 106 delay: 291400
packet id 107 delay: 1024560
packet id 108 delay: 378960
packet id 109 delay: 294400
packet id 110 delay: 184880
packet id 111 delay: 279720
packet id 112 delay: 158000
packet id 113 delay: 266360
packet id 114 delay: 284720
packet id 115 delay: 158000
packet id 116 delay: 292400
packet id 117 delay: 187560
packet id 118 delay: 181880
packet id 119 delay: 271040
packet id 120 delay: 199240
packet id 121 loss!!!
packet id 122 delay: 201920
packet id 123 delay: 255680
packet id 124 delay: 218280
packet id 125 delay: 104240
