packet id 001 loss!!!
packet id 002 delay: 145184
packet id 003 delay: 207304
packet id 004 delay: 253624
packet id 005 delay: 177264
packet id 006 delay: 146944
packet id 007 delay: 275624
packet id 008 delay: 268984
packet id 009 delay: 570304
packet id 010 delay: 270624
packet id 011 delay: 236264
packet id 012 delay: 422984
packet id 013 delay: 139264
packet id 014 delay: 247624
packet id 015 delay: 199624
packet id 016 delay: 279624
packet id 017 delay: 284624
packet id 018 delay: 259984
packet id 019 delay: 210304
packet id 020 delay: 271624
packet id 021 delay: 259624
packet id 022 delay: 196984
packet id 023 delay: 285624
packet id 024 delay: 275624
packet id 025 delay: 239624
packet id 026 delay: 170144
packet id 027 delay: 154624
packet id 028 delay: 251624
packet id 029 delay: 210984
packet id 030 delay: 200984
packet id 031 delay: 269624
packet id 032 delay: 206304
packet id 033 delay: 219624
packet id 034 delay: 221264
packet id 035 delay: 175504
packet id 036 delay: 281624
packet id 037 delay: 279624
packet id 038 delay: 211984
packet id 039 delay: 233624
packet id 040 delay: 262984
packet id 041 delay: 154624
packet id 042 delay: 276624
packet id 043 delay: 276624
packet id 044 delay: 161624
packet id 045 delay: 298624
packet id 046 delay: 202984
packet id 047 delay: 220264
packet id 048 delay: 224944
packet id 049 delay: 114184
packet id 050 delay: 169984
packet id 051 delay: 216584
packet id 052 delay: 222984
packet id 053 delay: 304624
packet id 054 delay: 140584
packet id 055 delay: 247984
packet id 056 delay: 282624
packet id 057 delay: 267624
packet id 058 delay: 171584
packet id 059 delay: 218624
packet id 060 delay: 141184
packet id 061 delay: 177584
packet id 062 delay: 180584
packet id 063 delay: 221624
packet id 064 delay: 215984
packet id 065 delay: 245304
packet id 066 delay: 291624
packet id 067 delay: 167624
packet id 068 delay: 200624
packet id 069 delay: 251624
packet id 070 delay: 186944
packet id 071 delay: 265624
packet id 072 delay: 206304
packet id 073 delay: 169984
packet id 074 delay: 115864
packet id 075 delay: 210624
packet id 076 delay: 289624
packet id 077 delay: 278624
packet id 078 delay: 241984
packet id 079 delay: 288624
packet id 080 delay: 257624
packet id 081 delay: 298624
packet id 082 delay: 184984
packet id 083 delay: 162304
packet id 084 delay: 198624
packet id 085 delay: 276664
packet id 086 delay: 240664
packet id 087 delay: 245624
packet id 088 delay: 182944
packet id 089 delay: 226624
packet id 090 delay: 188944
packet id 091 delay: 206584
packet id 092 delay: 225984
packet id 093 delay: 244304
packet id 094 delay: 257624
packet id 095 delay: 218624
packet id 096 delay: 203624
packet id 097 delay: 273624
packet id 098 delay: 720544
packet id 099 delay: 240304
packet id 100 delay: 168584
packet id 101 delay: 176264
packet id 102 delay: 266984
packet id 103 delay: 208584
packet id 104 delay: 290624
packet id 105 delay: 258984
packet id 106 delay: 228984
packet id 107 delay: 250984
packet id 108 delay: 192584
packet id 109 delay: 200624
packet id 110 delay: 162304
packet id 111 delay: 249304
packet id 112 delay: 146944
packet id 113 delay: 146584
packet id 114 delay: 273624
packet id 115 delay: 260304
packet id 116 delay: 315624
packet id 117 delay: 162304
packet id 118 loss!!!
packet id 119 delay: 151584
packet id 120 delay: 220264
packet id 121 delay: 223624
packet id 122 delay: 225984
packet id 123 delay: 190984
packet id 124 delay: 130504
packet id 125 delay: 325624
packet id 126 delay: 228624
packet id 127 delay: 237624
packet id 128 delay: 284984
packet id 129 delay: 191624
packet id 130 delay: 154624
packet id 131 delay: 327624
packet id 132 delay: 242624
packet id 133 delay: 209584
packet id 134 delay: 323624
packet id 135 delay: 238624
