packet id 001 loss!!!
packet id 002 delay: 1140088
packet id 003 delay: 1060448
packet id 004 delay: 1086296
packet id 005 delay: 938128
packet id 006 delay: 1021656
packet id 007 delay: 935352
packet id 008 delay: 999880
packet id 009 delay: 835144
packet id 010 delay: 1116920
packet id 011 delay: 869032
packet id 012 delay: 880296
packet id 013 delay: 1007768
packet id 014 delay: 907240
packet id 015 delay: 923352
packet id 016 delay: 1150184
packet id 017 delay: 903504
packet id 018 delay: 885032
packet id 019 delay: 1013976
packet id 020 delay: 1099240
packet id 021 delay: 899240
packet id 022 delay: 943240
packet id 023 delay: 1032448
packet id 024 delay: 978240
packet id 025 delay: 900976
packet id 026 delay: 875200
packet id 027 delay: 983504
packet id 028 delay: 1027032
packet id 029 delay: 1050768
packet id 030 delay: 1069128
packet id 031 delay: 923352
packet id 032 delay: 955088
packet id 033 delay: 943144
packet id 034 delay: 1231920
packet id 035 delay: 937144
packet id 036 delay: 1211880
packet id 037 delay: 1058184
packet id 038 delay: 1081448
packet id 039 delay: 1050504
packet id 040 delay: 902144
packet id 041 delay: 1077232
packet id 042 delay: 970088
packet id 043 delay: 1048504
packet id 044 delay: 920144
packet id 045 delay: 939240
packet id 046 delay: 938032
packet id 047 delay: 1106976
packet id 048 delay: 875880
packet id 049 delay: 1014880
packet id 050 delay: 1219920
packet id 051 delay: 909920
packet id 052 delay: 944920
packet id 053 delay: 982128
packet id 054 delay: 889936
packet id 055 delay: 918880
packet id 056 delay: 977296
packet id 057 delay: 985920
packet id 058 delay: 1040920
packet id 059 delay: 844256
packet id 060 delay: 1108128
packet id 061 delay: 992448
packet id 062 delay: 1091976
packet id 063 delay: 1097504
packet id 064 delay: 1036144
packet id 065 delay: 1010768
packet id 066 delay: 889032
packet id 067 delay: 970240
packet id 068 delay: 1080976
packet id 069 delay: 1026976
packet id 070 delay: 785688
packet id 071 delay: 935144
packet id 072 delay: 1018032
packet id 073 delay: 799672
packet id 074 delay: 872144
packet id 075 delay: 998560
packet id 076 delay: 978504
packet id 077 delay: 874256
packet id 078 delay: 959976
packet id 079 delay: 988128
packet id 080 delay: 942920
packet id 081 delay: 925088
packet id 082 delay: 989240
packet id 083 delay: 903880
packet id 084 delay: 872992
packet id 085 delay: 1093560
packet id 086 delay: 1092184
packet id 087 delay: 1146976
packet id 088 delay: 2706344
packet id 089 delay: 965144
packet id 090 delay: 1025920
packet id 091 delay: 949296
packet id 092 delay: 799312
packet id 093 delay: 1072864
packet id 094 delay: 1027032
packet id 095 delay: 994184
packet id 096 delay: 920936
packet id 097 delay: 977920
packet id 098 delay: 941240
packet id 099 delay: 976352
packet id 100 delay: 945240
packet id 101 delay: 996144
packet id 102 delay: 970408
packet id 103 delay: 1139128
packet id 104 delay: 950920
packet id 105 delay: 994240
packet id 106 delay: 959504
packet id 107 delay: 929976
packet id 108 delay: 1043560
packet id 109 delay: 1108032
packet id 110 delay: 856784
packet id 111 delay: 1092032
packet id 112 delay: 974712
packet id 113 delay: 1226920
packet id 114 delay: 862616
packet id 115 delay: 962184
packet id 116 delay: 897616
packet id 117 delay: 1003240
packet id 118 delay: 974992
packet id 119 delay: 966560
packet id 120 delay: 1054240
packet id 121 delay: 918088
packet id 122 delay: 883560
packet id 123 delay: 966728
packet id 124 delay: 795688
packet id 125 delay: 1019976
packet id 126 delay: 911032
packet id 127 delay: 1064296
packet id 128 delay: 874032
packet id 129 delay: 1065240
packet id 130 delay: 1139768
packet id 131 delay: 1130184
packet id 132 delay: 925768
packet id 133 delay: 1404048
packet id 134 delay: 897880
