packet id 001 loss!!!
packet id 002 delay: 78016
packet id 003 delay: 28336
packet id 004 delay: 53336
packet id 005 delay: 82592
packet id 006 delay: 85336
packet id 007 delay: 100592
packet id 008 delay: 69592
packet id 009 delay: 98592
packet id 010 delay: 85592
packet id 011 delay: 102336
packet id 012 delay: 145752
packet id 013 delay: 95592
packet id 014 delay: 35592
packet id 015 delay: 37592
packet id 016 delay: 90336
packet id 017 delay: 113592
packet id 018 delay: 97336
packet id 019 delay: 43336
packet id 020 delay: 76592
packet id 021 delay: 34336
packet id 022 delay: 87592
packet id 023 delay: 87336
packet id 024 delay: 97336
packet id 025 delay: 118336
packet id 026 delay: 52592
packet id 027 delay: 84336
packet id 028 delay: 28336
packet id 029 delay: 91336
packet id 030 delay: 95336
packet id 031 delay: 93336
packet id 032 delay: 31336
packet id 033 delay: 75336
packet id 034 delay: 80336
packet id 035 delay: 28336
packet id 036 delay: 83336
packet id 037 delay: 60336
packet id 038 delay: 28592
packet id 039 delay: 72336
packet id 040 delay: 96336
packet id 041 delay: 52336
packet id 042 delay: 28592
packet id 043 delay: 44336
packet id 044 delay: 112336
packet id 045 delay: 61336
packet id 046 delay: 42336
packet id 047 delay: 84336
packet id 048 delay: 111336
packet id 049 delay: 27456
packet id 050 delay: 28336
packet id 051 delay: 111592
packet id 052 delay: 86336
packet id 053 delay: 42336
packet id 054 delay: 111336
packet id 055 delay: 28336
packet id 056 delay: 34336
packet id 057 delay: 28336
packet id 058 delay: 79336
packet id 059 delay: 42336
packet id 060 delay: 83336
packet id 061 delay: 28592
packet id 062 delay: 28336
packet id 063 delay: 57336
packet id 064 delay: 28336
packet id 065 delay: 35336
packet id 066 delay: 107336
packet id 067 delay: 100336
packet id 068 delay: 28336
packet id 069 delay: 29336
packet id 070 delay: 34592
packet id 071 delay: 125336
packet id 072 delay: 58336
packet id 073 delay: 34336
packet id 074 delay: 95336
packet id 075 delay: 28592
packet id 076 delay: 74336
packet id 077 delay: 100336
packet id 078 delay: 127336
packet id 079 delay: 47336
packet id 080 delay: 40336
packet id 081 delay: 37336
packet id 082 delay: 57592
packet id 083 delay: 33336
packet id 084 delay: 80336
packet id 085 delay: 28592
packet id 086 delay: 105592
packet id 087 delay: 96336
packet id 088 delay: 121336
packet id 089 delay: 28336
packet id 090 delay: 92592
packet id 091 delay: 46336
packet id 092 delay: 28336
packet id 093 delay: 50592
packet id 094 delay: 119592
packet id 095 delay: 64592
packet id 096 delay: 68336
packet id 097 delay: 60336
packet id 098 delay: 112336
packet id 099 delay: 28336
packet id 100 delay: 55592
packet id 101 delay: 28592
packet id 102 delay: 75336
packet id 103 delay: 34336
packet id 104 delay: 28336
packet id 105 delay: 28336
packet id 106 delay: 61336
packet id 107 delay: 113336
packet id 108 delay: 34336
packet id 109 delay: 28592
packet id 110 delay: 116336
packet id 111 delay: 70336
packet id 112 delay: 106336
packet id 113 delay: 114592
packet id 114 delay: 28336
packet id 115 delay: 108336
packet id 116 delay: 61592
packet id 117 delay: 53592
packet id 118 delay: 64336
