packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 404744
packet id 004 delay: 442144
packet id 005 delay: 454144
packet id 006 delay: 496464
packet id 007 delay: 440744
packet id 008 delay: 381304
packet id 009 delay: 389144
packet id 010 delay: 440744
packet id 011 delay: 437024
packet id 012 delay: 638104
packet id 013 delay: 486144
packet id 014 delay: 422464
packet id 015 delay: 345664
packet id 016 delay: 431104
packet id 017 delay: 473824
packet id 018 delay: 430184
packet id 019 delay: 531144
packet id 020 delay: 405704
packet id 021 delay: 458824
packet id 022 delay: 466144
packet id 023 delay: 510904
packet id 024 delay: 437184
packet id 025 delay: 449504
packet id 026 delay: 541144
packet id 027 delay: 451144
packet id 028 delay: 485144
packet id 029 delay: 462504
packet id 030 delay: 471824
packet id 031 delay: 405344
packet id 032 delay: 479464
packet id 033 delay: 421864
packet id 034 delay: 318344
packet id 035 delay: 591864
packet id 036 delay: 367624
packet id 037 delay: 389144
packet id 038 delay: 477504
packet id 039 delay: 436144
packet id 040 delay: 546784
packet id 041 delay: 416784
packet id 042 delay: 319384
packet id 043 delay: 363104
packet id 044 delay: 403984
packet id 045 delay: 391384
packet id 046 delay: 467144
packet id 047 delay: 663784
packet id 048 loss!!!
packet id 049 delay: 453144
packet id 050 delay: 503024
packet id 051 delay: 343424
packet id 052 delay: 307664
packet id 053 delay: 508624
packet id 054 delay: 433464
packet id 055 delay: 454504
packet id 056 delay: 530144
packet id 057 delay: 443704
packet id 058 delay: 461504
packet id 059 delay: 349304
packet id 060 delay: 455144
packet id 061 delay: 302424
packet id 062 delay: 445144
packet id 063 delay: 498144
packet id 064 delay: 407344
packet id 065 delay: 653624
packet id 066 delay: 432144
packet id 067 delay: 495144
packet id 068 delay: 388024
packet id 069 delay: 370784
packet id 070 delay: 390144
packet id 071 delay: 752664
packet id 072 delay: 551784
packet id 073 delay: 401784
packet id 074 delay: 455824
packet id 075 delay: 430144
packet id 076 delay: 490184
packet id 077 delay: 470144
packet id 078 delay: 425784
packet id 079 delay: 520424
packet id 080 delay: 369424
packet id 081 delay: 415024
packet id 082 loss!!!
packet id 083 delay: 480464
packet id 084 delay: 430424
packet id 085 delay: 430744
packet id 086 delay: 341384
packet id 087 delay: 542784
packet id 088 delay: 398344
packet id 089 delay: 513144
packet id 090 delay: 391144
packet id 091 delay: 507864
packet id 092 delay: 547784
packet id 093 delay: 451104
packet id 094 delay: 372104
packet id 095 delay: 390464
packet id 096 delay: 353424
packet id 097 delay: 415784
packet id 098 delay: 419464
packet id 099 delay: 392344
packet id 100 delay: 332064
packet id 101 loss!!!
packet id 102 delay: 582824
packet id 103 delay: 272264
packet id 104 delay: 462344
packet id 105 delay: 543824
packet id 106 delay: 399784
packet id 107 delay: 434824
packet id 108 loss!!!
packet id 109 delay: 485784
packet id 110 delay: 320344
packet id 111 delay: 525784
packet id 112 delay: 475144
packet id 113 loss!!!
packet id 114 delay: 508824
packet id 115 delay: 702784
packet id 116 delay: 476144
packet id 117 delay: 458784
packet id 118 delay: 529144
packet id 119 delay: 432144
packet id 120 delay: 524144
packet id 121 delay: 472464
packet id 122 delay: 196224
packet id 123 delay: 508144
packet id 124 delay: 540824
packet id 125 delay: 355344
packet id 126 delay: 506784
packet id 127 delay: 435464
packet id 128 delay: 375784
packet id 129 delay: 487144
packet id 130 delay: 393824
packet id 131 delay: 393024
packet id 132 delay: 374304
packet id 133 delay: 430784
packet id 134 delay: 460448
packet id 135 delay: 437824
packet id 136 delay: 269024
packet id 137 delay: 375784
packet id 138 delay: 397824
packet id 139 delay: 422104
packet id 140 delay: 488184
