NODE2	<AVG delay: 77762 us>	<Energy 91.200 %>	<PRR: 100.000 %>	<Collision ratio: 2.200 %>
NODE3	<AVG delay: 218418 us>	<Energy 100.000 %>		<Collision ratio: 2.000 %>
NODE4	<AVG delay: 356029 us>	<Energy 95.800 %>		<Collision ratio: 2.100 %>
NODE5	<AVG delay: 440957 us>	<Energy 95.000 %>		<Collision ratio: 2.000 %>
NODE6	<AVG delay: 533979 us>	<Energy 91.500 %>		<Collision ratio: 1.200 %>
NODE7	<AVG delay: 61416 us>	<Energy 90.900 %>		<Collision ratio: 1.200 %>
NODE8	<AVG delay: 219827 us>	<Energy 93.000 %>		<Collision ratio: 3.700 %>
NODE9	<AVG delay: 350483 us>	<Energy 91.800 %>		<Collision ratio: 6.600 %>
NODE10	<AVG delay: 468521 us>	<Energy 89.000 %>		<Collision ratio: 15.100 %>
NODE11	<AVG delay: 554158 us>	<Energy 91.000 %>		<Collision ratio: 3.700 %>
NODE12	<AVG delay: 673856 us>	<Energy 90.900 %>		<Collision ratio: 1.000 %>
NODE13	<AVG delay: 224394 us>	<Energy 94.300 %>		<Collision ratio: 2.800 %>
NODE14	<AVG delay: 358452 us>	<Energy 92.500 %>		<Collision ratio: 4.700 %>
NODE15	<AVG delay: 440254 us>	<Energy 90.400 %>		<Collision ratio: 6.100 %>
NODE16	<AVG delay: 561969 us>	<Energy 89.800 %>		<Collision ratio: 5.100 %>
NODE17	<AVG delay: 669052 us>	<Energy 90.400 %>		<Collision ratio: 2.600 %>
NODE18	<AVG delay: 776406 us>	<Energy 90.200 %>		<Collision ratio: 3.200 %>
NODE19	<AVG delay: 325602 us>	<Energy 93.600 %>		<Collision ratio: 3.500 %>
NODE20	<AVG delay: 459340 us>	<Energy 91.800 %>		<Collision ratio: 8.200 %>
NODE21	<AVG delay: 560798 us>	<Energy 90.300 %>		<Collision ratio: 6.400 %>
NODE22	<AVG delay: 652645 us>	<Energy 89.100 %>		<Collision ratio: 10.300 %>
NODE23	<AVG delay: 780278 us>	<Energy 89.700 %>		<Collision ratio: 4.400 %>
NODE24	<AVG delay: 871856 us>	<Energy 89.500 %>		<Collision ratio: 1.300 %>
NODE25	<AVG delay: 436626 us>	<Energy 92.900 %>		<Collision ratio: 1.600 %>
NODE26	<AVG delay: 547210 us>	<Energy 89.100 %>		<Collision ratio: 10.400 %>
NODE27	<AVG delay: 662252 us>	<Energy 89.700 %>		<Collision ratio: 6.900 %>
NODE28	<AVG delay: 746094 us>	<Energy 89.000 %>		<Collision ratio: 5.700 %>
NODE29	<AVG delay: 874145 us>	<Energy 89.100 %>		<Collision ratio: 9.800 %>
NODE30	<AVG delay: 1009082 us>	<Energy 88.900 %>		<Collision ratio: 3.600 %>
NODE31	<AVG delay: 541327 us>	<Energy 92.000 %>		<Collision ratio: .800 %>
NODE32	<AVG delay: 645749 us>	<Energy 91.500 %>		<Collision ratio: .800 %>
NODE33	<AVG delay: 774576 us>	<Energy 90.800 %>		<Collision ratio: 3.300 %>
NODE34	<AVG delay: 879115 us>	<Energy 90.300 %>		<Collision ratio: 2.100 %>
NODE35	<AVG delay: 980460 us>	<Energy 89.600 %>		<Collision ratio: .400 %>
NODE36	<AVG delay: 1095558 us>	<Energy 88.800 %>		<Collision ratio: 2.700 %>
