packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 5425104
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 delay: 491520
packet id 007 delay: 508440
packet id 008 delay: 506600
packet id 009 delay: 428360
packet id 010 delay: 507440
packet id 011 delay: 725280
packet id 012 delay: 628040
packet id 013 delay: 1078160
packet id 014 delay: 459560
packet id 015 delay: 627200
packet id 016 delay: 643360
packet id 017 delay: 682320
packet id 018 delay: 544240
packet id 019 delay: 605280
packet id 020 delay: 1545360
packet id 021 delay: 584400
packet id 022 delay: 509480
packet id 023 delay: 510960
packet id 024 delay: 648520
packet id 025 delay: 688600
packet id 026 delay: 500800
packet id 027 delay: 472000
packet id 028 delay: 1449856
packet id 029 delay: 476560
packet id 030 delay: 689880
packet id 031 delay: 460320
packet id 032 delay: 540720
packet id 033 loss!!!
packet id 034 delay: 491080
packet id 035 delay: 499600
packet id 036 loss!!!
packet id 037 delay: 574960
packet id 038 delay: 658600
packet id 039 delay: 489880
packet id 040 delay: 572880
packet id 041 delay: 551400
packet id 042 delay: 492960
packet id 043 delay: 666880
packet id 044 delay: 641920
packet id 045 delay: 697520
packet id 046 delay: 552120
packet id 047 delay: 638560
packet id 048 delay: 701240
packet id 049 delay: 580960
packet id 050 delay: 472280
packet id 051 delay: 722360
packet id 052 delay: 488080
packet id 053 delay: 594040
packet id 054 delay: 597400
packet id 055 delay: 703000
packet id 056 delay: 476600
packet id 057 delay: 493320
packet id 058 delay: 591440
packet id 059 delay: 733960
packet id 060 delay: 659920
packet id 061 delay: 727040
packet id 062 delay: 593280
packet id 063 delay: 577600
packet id 064 delay: 691280
packet id 065 delay: 596760
packet id 066 delay: 591160
packet id 067 delay: 650440
packet id 068 delay: 614440
packet id 069 delay: 487960
packet id 070 delay: 521240
packet id 071 delay: 556640
packet id 072 delay: 503680
packet id 073 delay: 596240
packet id 074 delay: 611440
packet id 075 loss!!!
packet id 076 delay: 701360
packet id 077 delay: 471680
packet id 078 delay: 606600
packet id 079 delay: 790040
packet id 080 delay: 696000
packet id 081 delay: 566720
packet id 082 delay: 755440
packet id 083 delay: 576120
packet id 084 delay: 477360
packet id 085 delay: 720360
packet id 086 delay: 671800
packet id 087 delay: 558080
packet id 088 delay: 540040
packet id 089 delay: 776000
packet id 090 delay: 725240
packet id 091 delay: 475440
packet id 092 delay: 515440
packet id 093 delay: 643000
packet id 094 delay: 609080
packet id 095 delay: 478600
packet id 096 delay: 519520
packet id 097 delay: 773320
packet id 098 delay: 566920
packet id 099 delay: 505000
packet id 100 delay: 765320
packet id 101 delay: 556240
packet id 102 delay: 462640
packet id 103 delay: 691400
packet id 104 delay: 635880
packet id 105 delay: 646000
packet id 106 delay: 676280
packet id 107 delay: 675040
packet id 108 delay: 617840
packet id 109 delay: 502640
packet id 110 delay: 513960
packet id 111 delay: 737600
packet id 112 delay: 544120
packet id 113 delay: 510104
packet id 114 delay: 618360
packet id 115 delay: 817360
packet id 116 delay: 469920
