packet id 001 loss!!!
packet id 002 delay: 697240
packet id 003 delay: 599336
packet id 004 delay: 480216
packet id 005 delay: 599816
packet id 006 delay: 612376
packet id 007 delay: 575376
packet id 008 delay: 1329504
packet id 009 delay: 459496
packet id 010 delay: 500656
packet id 011 delay: 512616
packet id 012 delay: 534120
packet id 013 delay: 503576
packet id 014 delay: 611176
packet id 015 delay: 919816
packet id 016 delay: 594816
packet id 017 delay: 426616
packet id 018 delay: 418176
packet id 019 delay: 534376
packet id 020 delay: 553416
packet id 021 delay: 605496
packet id 022 delay: 502400
packet id 023 delay: 668416
packet id 024 delay: 638416
packet id 025 delay: 528936
packet id 026 delay: 655600
packet id 027 delay: 548656
packet id 028 delay: 528696
packet id 029 delay: 588136
packet id 030 delay: 469936
packet id 031 delay: 921736
packet id 032 delay: 1174656
packet id 033 delay: 665400
packet id 034 delay: 626456
packet id 035 delay: 561096
packet id 036 delay: 390056
packet id 037 delay: 608696
packet id 038 delay: 809696
packet id 039 delay: 1847560
packet id 040 delay: 586816
packet id 041 delay: 609416
packet id 042 delay: 666976
packet id 043 delay: 705256
packet id 044 delay: 442216
packet id 045 delay: 690816
packet id 046 delay: 758312
packet id 047 delay: 519760
packet id 048 delay: 653856
packet id 049 delay: 648576
packet id 050 delay: 699856
packet id 051 delay: 629056
packet id 052 delay: 551656
packet id 053 delay: 531896
packet id 054 delay: 519016
packet id 055 delay: 533376
packet id 056 delay: 563096
packet id 057 delay: 587136
packet id 058 delay: 449896
packet id 059 delay: 441216
packet id 060 delay: 850016
packet id 061 delay: 605096
packet id 062 delay: 524456
packet id 063 delay: 504656
packet id 064 delay: 445896
packet id 065 delay: 506336
packet id 066 delay: 693440
packet id 067 loss!!!
packet id 068 delay: 541576
packet id 069 delay: 602096
packet id 070 delay: 656776
packet id 071 delay: 962320
packet id 072 delay: 585136
packet id 073 delay: 585880
packet id 074 delay: 729576
packet id 075 delay: 602480
packet id 076 delay: 532376
packet id 077 delay: 568760
packet id 078 delay: 604160
packet id 079 delay: 535120
packet id 080 delay: 681240
packet id 081 delay: 696176
packet id 082 delay: 387216
packet id 083 delay: 778056
packet id 084 delay: 662600
packet id 085 delay: 639056
packet id 086 delay: 613776
packet id 087 delay: 525696
packet id 088 delay: 415776
packet id 089 delay: 930576
packet id 090 delay: 2427032
packet id 091 delay: 576456
packet id 092 delay: 685536
packet id 093 delay: 552336
packet id 094 delay: 566440
packet id 095 delay: 885216
packet id 096 delay: 526696
packet id 097 delay: 522336
packet id 098 delay: 513080
packet id 099 delay: 622056
packet id 100 delay: 615696
packet id 101 delay: 654256
packet id 102 delay: 726096
packet id 103 delay: 516416
packet id 104 delay: 396136
packet id 105 delay: 316496
packet id 106 delay: 545000
packet id 107 delay: 584456
packet id 108 delay: 1240496
packet id 109 delay: 885120
packet id 110 delay: 704856
packet id 111 delay: 637080
packet id 112 delay: 709456
packet id 113 delay: 377936
packet id 114 delay: 616776
packet id 115 delay: 750856
packet id 116 delay: 561616
packet id 117 delay: 589736
packet id 118 delay: 544800
packet id 119 delay: 619856
packet id 120 delay: 608440
packet id 121 delay: 532976
packet id 122 delay: 650096
packet id 123 delay: 539936
packet id 124 delay: 535376
packet id 125 delay: 570296
packet id 126 delay: 593400
packet id 127 delay: 576376
packet id 128 delay: 610176
packet id 129 delay: 630056
packet id 130 delay: 857256
packet id 131 delay: 611176
packet id 132 loss!!!
packet id 133 delay: 706536
packet id 134 delay: 675816
packet id 135 delay: 484296
packet id 136 delay: 456576
packet id 137 delay: 603016
