MONITORED: % | ON: 67.15% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 67.15% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 4620000
MONITORED: % | ON: 38.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 44.06% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 4980000
MONITORED: % | ON: 23.84% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 30.03% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 5220000
MONITORED: % | ON: 0.34% | TX: 0.01% | RX: 0.03% | INT: 0.00% | ONL: 14.24% | TXL: 0.44% | RXL: 2.39% | INTL: 0.20% | Energy: 819807760
MONITORED: % | ON: 0.16% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 11.72% | TXL: 0.17% | RXL: 1.18% | INTL: 0.10% | Energy: 1917784880
MONITORED: % | ON: 0.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.89% | TXL: 0.11% | RXL: 0.76% | INTL: 0.07% | Energy: 3080950240
MONITORED: % | ON: 0.07% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 10.54% | TXL: 0.09% | RXL: 0.57% | INTL: 0.06% | Energy: 4302079360
MONITORED: % | ON: 0.06% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 10.37% | TXL: 0.07% | RXL: 0.48% | INTL: 0.06% | Energy: 5408715440
MONITORED: % | ON: 0.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.25% | TXL: 0.06% | RXL: 0.41% | INTL: 0.05% | Energy: 6640721200
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.18% | TXL: 0.06% | RXL: 0.37% | INTL: 0.05% | Energy: 7916111040
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.12% | TXL: 0.06% | RXL: 0.34% | INTL: 0.05% | Energy: 9088514640
MONITORED: % | ON: 0.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.08% | TXL: 0.05% | RXL: 0.32% | INTL: 0.05% | Energy: 10203132640
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.04% | TXL: 0.05% | RXL: 0.30% | INTL: 0.05% | Energy: 11511349600
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 10.02% | TXL: 0.05% | RXL: 0.29% | INTL: 0.05% | Energy: 12690763040
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.99% | TXL: 0.05% | RXL: 0.28% | INTL: 0.05% | Energy: 13927659840
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.97% | TXL: 0.05% | RXL: 0.27% | INTL: 0.05% | Energy: 15078877120
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.96% | TXL: 0.04% | RXL: 0.26% | INTL: 0.05% | Energy: 16344813040
MONITORED: % | ON: 0.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.94% | TXL: 0.04% | RXL: 0.25% | INTL: 0.05% | Energy: 17613411440
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.93% | TXL: 0.04% | RXL: 0.24% | INTL: 0.04% | Energy: 18863583920
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.92% | TXL: 0.04% | RXL: 0.24% | INTL: 0.04% | Energy: 20057715360
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.91% | TXL: 0.04% | RXL: 0.24% | INTL: 0.04% | Energy: 21038342240
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.91% | TXL: 0.04% | RXL: 0.23% | INTL: 0.04% | Energy: 22223536480
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.90% | TXL: 0.04% | RXL: 0.23% | INTL: 0.04% | Energy: 23209174320
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.89% | TXL: 0.04% | RXL: 0.23% | INTL: 0.04% | Energy: 24074376560
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.89% | TXL: 0.04% | RXL: 0.22% | INTL: 0.04% | Energy: 25225344560
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.88% | TXL: 0.04% | RXL: 0.22% | INTL: 0.04% | Energy: 26356620480
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.88% | TXL: 0.04% | RXL: 0.22% | INTL: 0.04% | Energy: 27419324320
MONITORED: % | ON: 0.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 9.88% | TXL: 0.04% | RXL: 0.22% | INTL: 0.04% | Energy: 28655368160
