packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 36311208
packet id 008 delay: 1214320
packet id 009 delay: 4693504
packet id 010 delay: 1591160
packet id 011 delay: 927128
packet id 012 delay: 1009688
packet id 013 delay: 926648
packet id 014 delay: 818728
packet id 015 loss!!!
packet id 016 delay: 863224
packet id 017 delay: 1048904
packet id 018 delay: 1079704
packet id 019 delay: 865224
packet id 020 delay: 835424
packet id 021 delay: 881064
packet id 022 delay: 1361816
packet id 023 delay: 953624
packet id 024 delay: 1017568
packet id 025 delay: 777744
packet id 026 delay: 2514584
packet id 027 delay: 967624
packet id 028 delay: 1002192
packet id 029 delay: 697664
packet id 030 delay: 827304
packet id 031 delay: 4283224
packet id 032 delay: 979904
packet id 033 delay: 851304
packet id 034 delay: 2529384
packet id 035 delay: 973864
packet id 036 delay: 846104
packet id 037 delay: 872280
packet id 038 delay: 3136064
packet id 039 delay: 1974400
packet id 040 delay: 900024
packet id 041 delay: 1523464
packet id 042 delay: 1135784
packet id 043 delay: 805704
packet id 044 loss!!!
packet id 045 delay: 883504
packet id 046 delay: 3489384
packet id 047 delay: 830584
packet id 048 delay: 3458984
packet id 049 delay: 778864
packet id 050 delay: 865344
packet id 051 delay: 1750104
packet id 052 delay: 4485664
packet id 053 delay: 995560
packet id 054 delay: 1471664
packet id 055 delay: 2141984
packet id 056 delay: 1291320
packet id 057 delay: 831904
packet id 058 delay: 1313424
packet id 059 delay: 2523728
packet id 060 delay: 944984
packet id 061 delay: 2208600
packet id 062 delay: 619784
packet id 063 delay: 858464
packet id 064 delay: 790024
packet id 065 delay: 795024
packet id 066 delay: 570624
packet id 067 delay: 954984
packet id 068 delay: 844104
packet id 069 delay: 1626344
packet id 070 delay: 883784
packet id 071 delay: 697104
packet id 072 delay: 1085304
packet id 073 delay: 786664
packet id 074 delay: 612704
packet id 075 delay: 831904
packet id 076 delay: 874360
packet id 077 delay: 1017960
packet id 078 delay: 2367920
packet id 079 delay: 736680
packet id 080 delay: 1207240
packet id 081 delay: 1109280
packet id 082 delay: 879040
packet id 083 delay: 946840
packet id 084 delay: 1256200
packet id 085 delay: 844320
packet id 086 delay: 1318080
packet id 087 delay: 847320
packet id 088 delay: 2210464
packet id 089 delay: 915440
packet id 090 delay: 1294040
packet id 091 delay: 872560
packet id 092 delay: 917160
packet id 093 delay: 865680
packet id 094 loss!!!
packet id 095 delay: 1494240
packet id 096 delay: 712520
packet id 097 delay: 1170920
packet id 098 delay: 2065440
packet id 099 delay: 779880
packet id 100 delay: 751240
packet id 101 delay: 2623560
packet id 102 delay: 2329240
packet id 103 delay: 728280
packet id 104 delay: 1088320
packet id 105 loss!!!
packet id 106 delay: 2440320
packet id 107 delay: 1056000
packet id 108 delay: 703160
packet id 109 delay: 984000
packet id 110 delay: 1103160
packet id 111 delay: 834960
packet id 112 delay: 796080
packet id 113 delay: 920440
packet id 114 delay: 1105096
packet id 115 delay: 917240
packet id 116 delay: 873800
packet id 117 delay: 761000
packet id 118 delay: 1093080
packet id 119 delay: 925440
packet id 120 loss!!!
packet id 121 delay: 821280
packet id 122 delay: 896400
packet id 123 delay: 871360
packet id 124 delay: 664840
packet id 125 delay: 1053200
packet id 126 delay: 876040
packet id 127 delay: 899240
packet id 128 delay: 736280
packet id 129 delay: 858840
packet id 130 delay: 1198800
packet id 131 delay: 879160
packet id 132 loss!!!
packet id 133 delay: 1026120
packet id 134 loss!!!
packet id 135 delay: 950160
packet id 136 loss!!!
packet id 137 delay: 2377640
packet id 138 loss!!!
packet id 139 delay: 981080
packet id 140 delay: 1120040
packet id 141 delay: 775520
packet id 142 loss!!!
packet id 143 delay: 1084000
packet id 144 delay: 833600
packet id 145 delay: 977440
packet id 146 delay: 1486480
packet id 147 delay: 1813000
packet id 148 delay: 981880
packet id 149 delay: 820600
packet id 150 delay: 853680
packet id 151 loss!!!
packet id 152 delay: 5781840
packet id 153 loss!!!
packet id 154 delay: 947160
packet id 155 delay: 870840
packet id 156 delay: 1082720
packet id 157 delay: 779520
packet id 158 delay: 915480
packet id 159 delay: 949160
packet id 160 delay: 891720
packet id 161 loss!!!
packet id 162 delay: 1000920
packet id 163 delay: 4805840
packet id 164 delay: 890400
packet id 165 delay: 931800
packet id 166 delay: 1201960
packet id 167 delay: 847240
packet id 168 delay: 903080
packet id 169 delay: 858160
packet id 170 loss!!!
packet id 171 delay: 1575040
packet id 172 delay: 3110560
packet id 173 delay: 1245560
packet id 174 delay: 833960
packet id 175 delay: 922440
packet id 176 loss!!!
packet id 177 delay: 1075720
packet id 178 delay: 868440
packet id 179 delay: 788600
packet id 180 delay: 835960
packet id 181 loss!!!
packet id 182 delay: 919440
packet id 183 delay: 2142320
packet id 184 delay: 3062840
packet id 185 delay: 1987080
packet id 186 delay: 1048120
packet id 187 delay: 922120
packet id 188 delay: 906080
packet id 189 delay: 720920
packet id 190 delay: 1465528
packet id 191 delay: 746640
packet id 192 delay: 902520
packet id 193 delay: 1010160
packet id 194 delay: 778200
packet id 195 delay: 847480
packet id 196 delay: 762840
packet id 197 loss!!!
packet id 198 delay: 1951160
packet id 199 delay: 870120
packet id 200 loss!!!
packet id 201 delay: 764520
packet id 202 delay: 615400
packet id 203 delay: 864000
packet id 204 delay: 812960
packet id 205 delay: 1044240
packet id 206 delay: 880520
packet id 207 delay: 1450440
packet id 208 delay: 1949120
packet id 209 loss!!!
packet id 210 loss!!!
packet id 211 delay: 2947440
packet id 212 delay: 2083224
packet id 213 delay: 2038240
packet id 214 delay: 1126520
packet id 215 delay: 999240
packet id 216 delay: 862000
packet id 217 delay: 2709800
packet id 218 delay: 846320
packet id 219 delay: 1343720
packet id 220 delay: 761840
packet id 221 delay: 851080
packet id 222 delay: 3235280
packet id 223 delay: 1027280
packet id 224 delay: 858040
packet id 225 delay: 845080
packet id 226 delay: 2018800
packet id 227 delay: 4676832
packet id 228 delay: 3272120
packet id 229 delay: 917960
packet id 230 delay: 954160
packet id 231 delay: 846000
packet id 232 delay: 862680
packet id 233 loss!!!
packet id 234 delay: 1063360
packet id 235 delay: 797240
packet id 236 delay: 3189720
packet id 237 delay: 654880
packet id 238 delay: 821960
packet id 239 delay: 736080
packet id 240 delay: 4300440
packet id 241 delay: 1050760
packet id 242 delay: 1215680
packet id 243 delay: 1449472
packet id 244 delay: 752480
packet id 245 loss!!!
packet id 246 delay: 790560
packet id 247 delay: 656320
packet id 248 delay: 825256
packet id 249 delay: 1132320
packet id 250 loss!!!
packet id 251 delay: 764840
packet id 252 delay: 1251080
packet id 253 delay: 1407120
packet id 254 delay: 816600
packet id 255 delay: 922800
packet id 256 delay: 816920
packet id 257 loss!!!
packet id 258 delay: 800600
packet id 259 delay: 946160
packet id 260 delay: 1303200
packet id 261 delay: 1014280
packet id 262 delay: 766880
packet id 263 delay: 2945800
packet id 264 delay: 862680
packet id 265 delay: 3923720
packet id 266 delay: 840320
packet id 267 delay: 899760
packet id 268 loss!!!
packet id 269 delay: 738720
packet id 270 delay: 866000
packet id 271 delay: 835960
packet id 272 delay: 753160
packet id 273 delay: 1403880
packet id 274 delay: 2468200
packet id 275 delay: 5134480
packet id 276 loss!!!
packet id 277 delay: 915704
packet id 278 delay: 979880
packet id 279 delay: 808400
packet id 280 delay: 729200
packet id 281 loss!!!
packet id 282 delay: 1042240
packet id 283 delay: 2597664
packet id 284 delay: 832960
packet id 285 loss!!!
packet id 286 delay: 2787280
packet id 287 delay: 951000
packet id 288 delay: 954680
packet id 289 delay: 3949280
packet id 290 loss!!!
packet id 291 loss!!!
packet id 292 delay: 811920
packet id 293 delay: 921440
packet id 294 delay: 7881480
packet id 295 delay: 1131000
packet id 296 delay: 1127320
packet id 297 delay: 1229200
packet id 298 delay: 904240
packet id 299 delay: 2136080
packet id 300 delay: 914160
packet id 301 delay: 1380240
packet id 302 delay: 1017600
packet id 303 delay: 805752
packet id 304 delay: 1199600
packet id 305 delay: 1189280
packet id 306 delay: 1180800
packet id 307 delay: 1006920
packet id 308 delay: 891400
packet id 309 delay: 904760
packet id 310 delay: 767880
packet id 311 delay: 779360
packet id 312 delay: 965680
packet id 313 delay: 752240
packet id 314 delay: 859000
packet id 315 delay: 996400
packet id 316 loss!!!
packet id 317 loss!!!
packet id 318 delay: 884720
packet id 319 delay: 855000
packet id 320 loss!!!
packet id 321 delay: 962600
packet id 322 delay: 884040
packet id 323 delay: 832120
packet id 324 delay: 1344280
packet id 325 delay: 766680
packet id 326 loss!!!
packet id 327 delay: 808600
packet id 328 delay: 1021960
packet id 329 delay: 1283400
packet id 330 loss!!!
packet id 331 delay: 765840
packet id 332 delay: 619080
packet id 333 delay: 785280
packet id 334 delay: 1172360
packet id 335 delay: 3316480
packet id 336 delay: 934480
packet id 337 delay: 1105240
packet id 338 delay: 885800
packet id 339 loss!!!
packet id 340 delay: 886200
packet id 341 delay: 933800
packet id 342 delay: 787880
packet id 343 delay: 1028040
packet id 344 delay: 923200
packet id 345 delay: 752000
packet id 346 delay: 1360240
packet id 347 delay: 1238520
packet id 348 delay: 833440
packet id 349 delay: 2259800
packet id 350 delay: 768840
packet id 351 delay: 810240
packet id 352 delay: 880040
packet id 353 delay: 874360
packet id 354 delay: 1710400
packet id 355 delay: 735120
packet id 356 delay: 726120
packet id 357 delay: 968200
packet id 358 delay: 1149040
packet id 359 delay: 833200
packet id 360 loss!!!
packet id 361 delay: 2795904
packet id 362 delay: 1054200
packet id 363 delay: 1284000
packet id 364 delay: 1074840
packet id 365 delay: 683200
packet id 366 delay: 903120
packet id 367 delay: 896760
packet id 368 delay: 967856
packet id 369 delay: 930480
packet id 370 loss!!!
packet id 371 delay: 1433200
packet id 372 delay: 5319864
packet id 373 delay: 1051736
packet id 374 delay: 1309760
packet id 375 delay: 846920
packet id 376 loss!!!
packet id 377 delay: 785280
packet id 378 delay: 861360
packet id 379 delay: 2258680
packet id 380 delay: 823600
packet id 381 delay: 2310360
packet id 382 loss!!!
packet id 383 delay: 1183760
packet id 384 delay: 3084160
packet id 385 delay: 937480
packet id 386 delay: 854000
packet id 387 delay: 839800
packet id 388 loss!!!
packet id 389 delay: 971680
packet id 390 delay: 894760
packet id 391 delay: 909760
packet id 392 delay: 2999920
packet id 393 delay: 946800
packet id 394 delay: 1363840
packet id 395 delay: 1407000
packet id 396 delay: 1439280
packet id 397 delay: 885720
packet id 398 delay: 784000
packet id 399 delay: 942480
packet id 400 loss!!!
packet id 401 delay: 813920
packet id 402 delay: 1013656
packet id 403 delay: 2800600
packet id 404 delay: 771520
packet id 405 delay: 877400
packet id 406 delay: 858000
packet id 407 delay: 1052360
packet id 408 delay: 871400
packet id 409 delay: 2276768
packet id 410 delay: 3370120
packet id 411 delay: 3211600
packet id 412 delay: 1020640
packet id 413 delay: 890720
packet id 414 loss!!!
packet id 415 delay: 1306520
packet id 416 delay: 656160
packet id 417 delay: 852000
packet id 418 delay: 1020680
packet id 419 delay: 1139680
packet id 420 delay: 2358680
packet id 421 delay: 824960
packet id 422 delay: 872720
packet id 423 delay: 876360
packet id 424 delay: 803040
packet id 425 delay: 2097400
packet id 426 delay: 1006280
packet id 427 delay: 852000
packet id 428 delay: 946480
packet id 429 delay: 630040
packet id 430 delay: 3926800
packet id 431 delay: 968360
packet id 432 delay: 861000
packet id 433 delay: 1973280
packet id 434 delay: 4838760
packet id 435 delay: 2947200
packet id 436 delay: 790560
packet id 437 delay: 822640
packet id 438 delay: 953160
packet id 439 delay: 949840
packet id 440 delay: 2403920
packet id 441 delay: 4911672
packet id 442 delay: 1186240
packet id 443 delay: 2430560
packet id 444 delay: 3002200
packet id 445 delay: 792640
packet id 446 delay: 1016600
packet id 447 delay: 876800
packet id 448 delay: 5461440
packet id 449 delay: 835824
packet id 450 loss!!!
packet id 451 delay: 1027960
packet id 452 delay: 997240
packet id 453 delay: 843000
packet id 454 delay: 3252360
packet id 455 delay: 1622560
packet id 456 delay: 800480
packet id 457 delay: 795800
packet id 458 delay: 895160
packet id 459 delay: 870080
packet id 460 delay: 2167760
packet id 461 loss!!!
packet id 462 delay: 4073640
packet id 463 delay: 924120
packet id 464 delay: 761920
packet id 465 delay: 1343120
packet id 466 delay: 792560
packet id 467 delay: 873120
packet id 468 delay: 879200
packet id 469 delay: 1117280
packet id 470 delay: 906560
packet id 471 loss!!!
packet id 472 delay: 916440
packet id 473 delay: 805400
packet id 474 delay: 1218600
packet id 475 delay: 2423600
packet id 476 delay: 2467320
packet id 477 delay: 851024
packet id 478 loss!!!
packet id 479 delay: 896400
packet id 480 delay: 924200
packet id 481 delay: 791560
packet id 482 delay: 886960
packet id 483 delay: 2637840
packet id 484 delay: 1069560
packet id 485 delay: 1303160
packet id 486 delay: 2353080
packet id 487 delay: 985240
packet id 488 delay: 954160
packet id 489 delay: 1132080
packet id 490 delay: 1669840
packet id 491 delay: 899400
packet id 492 delay: 816440
packet id 493 delay: 913920
packet id 494 delay: 870520
packet id 495 delay: 839520
packet id 496 loss!!!
packet id 497 delay: 1041320
packet id 498 delay: 803640
