packet id 001 loss!!!
packet id 002 delay: 6562680
packet id 003 delay: 7026424
packet id 004 delay: 2642728
packet id 005 delay: 1876536
packet id 006 delay: 1277880
packet id 007 loss!!!
packet id 008 delay: 2899632
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 delay: 353872
packet id 012 delay: 489736
packet id 013 delay: 2120184
packet id 014 delay: 1094984
packet id 015 delay: 960040
packet id 016 delay: 983512
packet id 017 delay: 723760
packet id 018 delay: 712072
packet id 019 delay: 312472
packet id 020 loss!!!
packet id 021 delay: 392592
packet id 022 delay: 1174040
packet id 023 delay: 3141808
packet id 024 delay: 820552
packet id 025 delay: 2141104
packet id 026 delay: 5340616
packet id 027 delay: 6306392
packet id 028 delay: 827872
packet id 029 loss!!!
packet id 030 loss!!!
packet id 031 delay: 566104
packet id 032 delay: 393888
packet id 033 delay: 470512
packet id 034 delay: 1762336
packet id 035 delay: 326992
packet id 036 delay: 383328
packet id 037 delay: 609480
packet id 038 delay: 422504
packet id 039 delay: 471640
packet id 040 delay: 355432
packet id 041 delay: 330992
packet id 042 delay: 298784
packet id 043 delay: 431192
packet id 044 delay: 953752
packet id 045 delay: 722592
packet id 046 delay: 295352
packet id 047 delay: 317000
packet id 048 delay: 374616
packet id 049 delay: 441688
packet id 050 delay: 329048
packet id 051 delay: 306056
packet id 052 delay: 269936
packet id 053 delay: 438528
packet id 054 delay: 255312
packet id 055 delay: 371624
packet id 056 delay: 383688
packet id 057 delay: 401240
packet id 058 delay: 371368
packet id 059 delay: 456944
packet id 060 delay: 412024
packet id 061 delay: 607792
packet id 062 delay: 324736
packet id 063 delay: 345328
packet id 064 delay: 462232
packet id 065 delay: 226144
packet id 066 delay: 210880
packet id 067 delay: 367320
packet id 068 delay: 393016
packet id 069 delay: 268104
packet id 070 delay: 361096
packet id 071 delay: 430288
packet id 072 loss!!!
packet id 073 delay: 448840
packet id 074 delay: 994144
packet id 075 delay: 353224
packet id 076 delay: 271656
packet id 077 delay: 325176
packet id 078 delay: 250680
packet id 079 delay: 404824
packet id 080 delay: 1663128
packet id 081 delay: 732728
packet id 082 delay: 2529560
packet id 083 delay: 407512
packet id 084 delay: 354144
packet id 085 delay: 1303168
packet id 086 delay: 2138384
packet id 087 loss!!!
packet id 088 delay: 1310520
packet id 089 delay: 369312
packet id 090 delay: 394184
packet id 091 delay: 712616
packet id 092 delay: 310840
packet id 093 delay: 865448
packet id 094 delay: 363128
packet id 095 delay: 273560
packet id 096 delay: 423360
packet id 097 delay: 284896
packet id 098 delay: 433472
packet id 099 delay: 362640
packet id 100 delay: 248688
packet id 101 delay: 433832
packet id 102 delay: 367728
packet id 103 delay: 371848
packet id 104 delay: 313008
packet id 105 delay: 402360
packet id 106 delay: 434896
packet id 107 delay: 296824
packet id 108 delay: 2026664
packet id 109 delay: 774232
packet id 110 delay: 277632
packet id 111 delay: 244936
packet id 112 delay: 378560
packet id 113 delay: 250672
packet id 114 delay: 550528
packet id 115 delay: 483832
packet id 116 delay: 340296
packet id 117 delay: 4017360
packet id 118 delay: 951240
packet id 119 delay: 678760
packet id 120 delay: 280392
packet id 121 delay: 1094648
packet id 122 loss!!!
packet id 123 delay: 527672
packet id 124 delay: 701536
packet id 125 delay: 229672
packet id 126 delay: 435656
packet id 127 delay: 407304
