packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 delay: 801712
packet id 009 delay: 2458560
packet id 010 delay: 831216
packet id 011 delay: 916952
packet id 012 delay: 1535440
packet id 013 delay: 830232
packet id 014 delay: 2977432
packet id 015 delay: 1455632
packet id 016 delay: 848696
packet id 017 delay: 1285960
packet id 018 delay: 713352
packet id 019 delay: 1404200
packet id 020 delay: 3351504
packet id 021 loss!!!
packet id 022 delay: 1580488
packet id 023 delay: 2338120
packet id 024 delay: 760312
packet id 025 delay: 884832
packet id 026 delay: 813752
packet id 027 delay: 683480
packet id 028 delay: 665872
packet id 029 loss!!!
packet id 030 delay: 1517648
packet id 031 delay: 1033040
packet id 032 delay: 1029912
packet id 033 delay: 724864
packet id 034 delay: 693592
packet id 035 delay: 643608
packet id 036 delay: 657384
packet id 037 delay: 793248
packet id 038 delay: 2799880
packet id 039 delay: 1029032
packet id 040 delay: 758768
packet id 041 delay: 530048
packet id 042 delay: 837160
packet id 043 delay: 766384
packet id 044 delay: 530760
packet id 045 delay: 679792
packet id 046 delay: 718912
packet id 047 delay: 741592
packet id 048 delay: 759376
packet id 049 delay: 841688
packet id 050 delay: 803384
packet id 051 delay: 631112
packet id 052 delay: 760504
packet id 053 delay: 798184
packet id 054 delay: 1500352
packet id 055 delay: 828648
packet id 056 delay: 676248
packet id 057 delay: 552024
packet id 058 delay: 617192
packet id 059 delay: 724824
packet id 060 delay: 778632
packet id 061 delay: 839848
packet id 062 delay: 1458344
packet id 063 delay: 693096
packet id 064 delay: 744176
packet id 065 delay: 962936
packet id 066 delay: 1073824
packet id 067 delay: 760328
packet id 068 delay: 688848
packet id 069 delay: 814144
packet id 070 delay: 1778384
packet id 071 delay: 882160
packet id 072 delay: 2085488
packet id 073 delay: 761024
packet id 074 loss!!!
packet id 075 delay: 1028304
packet id 076 delay: 685440
packet id 077 delay: 727384
packet id 078 delay: 1074808
packet id 079 delay: 927664
packet id 080 delay: 3134864
packet id 081 delay: 985760
packet id 082 delay: 757064
packet id 083 delay: 815520
packet id 084 delay: 534104
packet id 085 delay: 1006320
packet id 086 delay: 694704
packet id 087 delay: 591160
packet id 088 delay: 754672
packet id 089 delay: 736032
packet id 090 delay: 760064
packet id 091 delay: 852880
packet id 092 delay: 1068112
packet id 093 delay: 1009944
packet id 094 delay: 1122904
packet id 095 delay: 3007904
packet id 096 delay: 859984
packet id 097 delay: 705864
packet id 098 delay: 1061584
packet id 099 delay: 696496
packet id 100 delay: 795520
packet id 101 delay: 754744
packet id 102 delay: 1386544
packet id 103 delay: 904216
packet id 104 delay: 949440
packet id 105 delay: 2998568
packet id 106 delay: 2349064
packet id 107 delay: 801952
packet id 108 delay: 681080
packet id 109 delay: 670752
packet id 110 delay: 715072
packet id 111 delay: 829952
packet id 112 delay: 712272
packet id 113 delay: 902576
packet id 114 delay: 659288
packet id 115 loss!!!
packet id 116 loss!!!
packet id 117 delay: 614912
packet id 118 delay: 677432
packet id 119 delay: 754016
packet id 120 delay: 903360
packet id 121 delay: 609784
packet id 122 delay: 703760
packet id 123 delay: 4773624
packet id 124 delay: 661944
packet id 125 loss!!!
packet id 126 delay: 1070160
packet id 127 delay: 1059816
packet id 128 delay: 1666488
packet id 129 loss!!!
packet id 130 delay: 754888
packet id 131 delay: 759856
packet id 132 delay: 781744
packet id 133 delay: 821264
packet id 134 delay: 746312
packet id 135 delay: 1267272
packet id 136 delay: 1049232
packet id 137 delay: 766352
packet id 138 loss!!!
packet id 139 delay: 697160
packet id 140 delay: 670496
packet id 141 delay: 720912
packet id 142 delay: 757320
packet id 143 delay: 782800
packet id 144 delay: 698856
packet id 145 delay: 704544
packet id 146 delay: 2116640
packet id 147 delay: 2017000
packet id 148 delay: 794480
packet id 149 loss!!!
packet id 150 delay: 796344
packet id 151 delay: 719544
packet id 152 delay: 769608
packet id 153 delay: 508504
packet id 154 delay: 826344
packet id 155 delay: 893816
packet id 156 delay: 729920
packet id 157 delay: 742104
packet id 158 delay: 2802104
packet id 159 delay: 685416
packet id 160 delay: 851440
packet id 161 delay: 723272
packet id 162 delay: 689760
packet id 163 delay: 747424
packet id 164 delay: 794384
packet id 165 delay: 1445824
packet id 166 delay: 806800
packet id 167 delay: 850992
packet id 168 loss!!!
packet id 169 delay: 1075112
packet id 170 loss!!!
packet id 171 delay: 906592
packet id 172 delay: 837144
packet id 173 delay: 673144
packet id 174 delay: 1001048
packet id 175 delay: 2510088
packet id 176 delay: 1364344
packet id 177 loss!!!
packet id 178 delay: 734624
packet id 179 delay: 612264
packet id 180 delay: 756736
