packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 4011016
packet id 008 delay: 965704
packet id 009 delay: 1409840
packet id 010 delay: 745840
packet id 011 delay: 563920
packet id 012 delay: 452480
packet id 013 delay: 1018520
packet id 014 delay: 571080
packet id 015 delay: 635264
packet id 016 delay: 646336
packet id 017 delay: 605184
packet id 018 delay: 2776144
packet id 019 delay: 756264
packet id 020 delay: 766368
packet id 021 delay: 800384
packet id 022 delay: 1614912
packet id 023 delay: 1555184
packet id 024 delay: 1189496
packet id 025 delay: 654944
packet id 026 delay: 697264
packet id 027 delay: 2089976
packet id 028 delay: 415064
packet id 029 delay: 1221904
packet id 030 delay: 678416
packet id 031 delay: 1579544
packet id 032 delay: 726024
packet id 033 delay: 479064
packet id 034 delay: 1220416
packet id 035 delay: 613224
packet id 036 loss!!!
packet id 037 delay: 399504
packet id 038 delay: 781144
packet id 039 delay: 620864
packet id 040 delay: 556304
packet id 041 delay: 1036584
packet id 042 delay: 514824
packet id 043 delay: 688312
packet id 044 delay: 1747224
packet id 045 delay: 578784
packet id 046 delay: 677984
packet id 047 delay: 614544
packet id 048 delay: 612184
packet id 049 delay: 1500008
packet id 050 delay: 712304
packet id 051 delay: 637016
packet id 052 delay: 1635944
packet id 053 delay: 640504
packet id 054 loss!!!
packet id 055 delay: 835064
packet id 056 delay: 702104
packet id 057 delay: 1132344
packet id 058 delay: 978672
packet id 059 delay: 1202440
packet id 060 delay: 629984
packet id 061 delay: 459384
packet id 062 delay: 629344
packet id 063 delay: 579904
packet id 064 delay: 540824
packet id 065 delay: 728544
packet id 066 delay: 613584
packet id 067 delay: 520944
packet id 068 delay: 3551064
packet id 069 delay: 570864
packet id 070 delay: 710544
packet id 071 delay: 980024
packet id 072 delay: 668944
packet id 073 delay: 501904
packet id 074 delay: 654304
packet id 075 delay: 481504
packet id 076 delay: 626504
packet id 077 delay: 639184
packet id 078 delay: 493064
packet id 079 delay: 697944
packet id 080 delay: 831824
packet id 081 delay: 839784
packet id 082 loss!!!
packet id 083 delay: 530824
packet id 084 delay: 1135184
packet id 085 delay: 631184
packet id 086 delay: 922944
packet id 087 delay: 618504
packet id 088 delay: 701584
packet id 089 delay: 632544
packet id 090 loss!!!
packet id 091 delay: 796504
packet id 092 delay: 592104
packet id 093 delay: 663624
packet id 094 delay: 899224
packet id 095 delay: 656864
packet id 096 delay: 1214904
packet id 097 loss!!!
packet id 098 delay: 1020760
packet id 099 delay: 835624
packet id 100 delay: 712584
packet id 101 delay: 1135904
packet id 102 delay: 784624
packet id 103 delay: 4631504
packet id 104 delay: 1096104
packet id 105 delay: 1384184
packet id 106 delay: 3173984
packet id 107 delay: 932584
packet id 108 delay: 954064
packet id 109 delay: 987464
packet id 110 delay: 616024
packet id 111 delay: 601624
packet id 112 delay: 738904
packet id 113 delay: 617304
packet id 114 delay: 640024
packet id 115 delay: 627344
packet id 116 delay: 564824
packet id 117 delay: 550744
packet id 118 delay: 756304
packet id 119 delay: 618464
packet id 120 delay: 733384
packet id 121 delay: 849544
packet id 122 delay: 598944
packet id 123 delay: 635984
packet id 124 loss!!!
packet id 125 delay: 2430944
packet id 126 delay: 632344
packet id 127 delay: 707584
packet id 128 loss!!!
packet id 129 delay: 631184
packet id 130 delay: 2126592
packet id 131 delay: 1683224
packet id 132 delay: 722624
packet id 133 loss!!!
packet id 134 delay: 772304
packet id 135 delay: 613824
packet id 136 delay: 1749864
