MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 3.23% | TX: 0.04% | RX: 0.04% | INT: 0.00% | ONL: 34.29% | TXL: 2.64% | RXL: 11.37% | INTL: 3.88% | Energy: 202582960
MONITORED: % | ON: 1.78% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 27.52% | TXL: 1.55% | RXL: 9.19% | INTL: 2.70% | Energy: 568546160
MONITORED: % | ON: 1.58% | TX: 0.02% | RX: 0.04% | INT: 0.00% | ONL: 27.70% | TXL: 1.10% | RXL: 9.57% | INTL: 3.02% | Energy: 1112973520
MONITORED: % | ON: 1.44% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.32% | TXL: 1.32% | RXL: 9.42% | INTL: 2.92% | Energy: 1628026080
MONITORED: % | ON: 1.40% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 27.56% | TXL: 1.49% | RXL: 9.50% | INTL: 2.87% | Energy: 2175756400
MONITORED: % | ON: 1.47% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 26.55% | TXL: 1.34% | RXL: 9.24% | INTL: 2.73% | Energy: 2620289680
MONITORED: % | ON: 2.72% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 22.56% | TXL: 1.19% | RXL: 7.82% | INTL: 2.31% | Energy: 2794872800
MONITORED: % | ON: 3.62% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 19.68% | TXL: 1.07% | RXL: 6.80% | INTL: 2.01% | Energy: 2959989760
MONITORED: % | ON: 4.36% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 17.28% | TXL: 0.97% | RXL: 5.95% | INTL: 1.75% | Energy: 3141776800
MONITORED: % | ON: 4.92% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 15.54% | TXL: 0.93% | RXL: 5.31% | INTL: 1.56% | Energy: 3340949600
MONITORED: % | ON: 5.41% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.97% | TXL: 0.86% | RXL: 4.76% | INTL: 1.40% | Energy: 3530602480
MONITORED: % | ON: 5.79% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 12.75% | TXL: 0.81% | RXL: 4.32% | INTL: 1.27% | Energy: 3722434720
MONITORED: % | ON: 6.10% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 11.79% | TXL: 0.78% | RXL: 3.97% | INTL: 1.17% | Energy: 3911651520
MONITORED: % | ON: 6.37% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.93% | TXL: 0.75% | RXL: 3.66% | INTL: 1.08% | Energy: 4111491680
MONITORED: % | ON: 6.61% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.18% | TXL: 0.72% | RXL: 3.39% | INTL: 1.00% | Energy: 4307898160
MONITORED: % | ON: 6.81% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 9.52% | TXL: 0.69% | RXL: 3.17% | INTL: 0.93% | Energy: 4489593040
MONITORED: % | ON: 6.99% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 8.95% | TXL: 0.66% | RXL: 2.97% | INTL: 0.87% | Energy: 4679865040
MONITORED: % | ON: 7.12% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 8.53% | TXL: 0.64% | RXL: 2.82% | INTL: 0.83% | Energy: 4843751440
MONITORED: % | ON: 7.16% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 8.37% | TXL: 0.63% | RXL: 2.76% | INTL: 0.81% | Energy: 4903981040
