NODE2	<AVG delay: 2221998 us>	<Energy 49.500 %>	<PRR: 97.200 %>	<Collision ratio: 392.100 %>
NODE3	<AVG delay: 1047793 us>	<Energy 46.100 %>	<PRR: 90.700 %>	<Collision ratio: 287.900 %>
NODE4	<AVG delay: 5991354 us>	<Energy 45.100 %>	<PRR: 83.700 %>	<Collision ratio: 355.800 %>
NODE5	<AVG delay: 704553 us>	<Energy 45.000 %>	<PRR: 97.600 %>	<Collision ratio: 155.400 %>
NODE6	<AVG delay: 14853852 us>	<Energy 46.600 %>	<PRR: 3.000 %>	<Collision ratio: 483.200 %>
NODE7	<AVG delay: 42118337 us>	<Energy 69.000 %>	<PRR: 3.200 %>	<Collision ratio: 800.000 %>
NODE8	<AVG delay: 5191716 us>	<Energy 49.100 %>	<PRR: 9.500 %>	<Collision ratio: 354.100 %>
NODE9	<AVG delay: 8843599 us>	<Energy 48.000 %>	<PRR: 6.700 %>	<Collision ratio: 545.900 %>
NODE10	<AVG delay: 2258798 us>	<Energy 46.000 %>	<PRR: 96.200 %>	<Collision ratio: 413.500 %>
NODE11	<AVG delay: 267436 us>	<Energy 42.300 %>	<PRR: 94.400 %>	<Collision ratio: 63.700 %>
NODE12	<AVG delay: 1227899 us>	<Energy 46.000 %>	<PRR: 92.100 %>	<Collision ratio: 273.100 %>
NODE13	<AVG delay: 96950 us>	<Energy 43.800 %>	<PRR: 98.300 %>	<Collision ratio: 15.100 %>
NODE14	<AVG delay: 5212468 us>	<Energy 47.600 %>	<PRR: 22.900 %>	<Collision ratio: 551.300 %>
NODE15	<AVG delay: 625026 us>	<Energy 44.500 %>	<PRR: 92.800 %>	<Collision ratio: 192.300 %>
NODE16	<AVG delay: 1575747 us>	<Energy 47.500 %>	<PRR: 92.100 %>	<Collision ratio: 430.700 %>
NODE17	<AVG delay: 20066023 us>	<Energy 83.500 %>	<PRR: 7.100 %>	<Collision ratio: 3251.300 %>
NODE18	<AVG delay: 272052 us>	<Energy 42.700 %>	<PRR: 96.000 %>	<Collision ratio: 66.700 %>
NODE19	<AVG delay: 382500 us>	<Energy 43.800 %>	<PRR: 95.100 %>	<Collision ratio: 148.700 %>
NODE20	<AVG delay: 30985445 us>	<Energy 69.500 %>	<PRR: 2.500 %>	<Collision ratio: 883.300 %>
NODE21	<AVG delay: 5481864 us>	<Energy 59.300 %>	<PRR: 93.900 %>	<Collision ratio: 762.600 %>
NODE22	<AVG delay: 5470106 us>	<Energy 51.300 %>	<PRR: 80.200 %>	<Collision ratio: 452.900 %>
NODE23	<AVG delay: 814072 us>	<Energy 47.700 %>	<PRR: 98.600 %>	<Collision ratio: 142.800 %>
NODE24	<AVG delay: 12818405 us>	<Energy 100.000 %>	<PRR: 9.500 %>	<Collision ratio: 4896.700 %>
NODE25	<AVG delay: 456682 us>	<Energy 43.500 %>	<PRR: 95.100 %>	<Collision ratio: 132.800 %>
NODE26	<AVG delay: 10320486 us>	<Energy 48.500 %>	<PRR: 9.500 %>	<Collision ratio: 353.100 %>
NODE27	<AVG delay: 13990568 us>	<Energy 99.500 %>	<PRR: 6.400 %>	<Collision ratio: 3521.100 %>
NODE28	<AVG delay: 615141 us>	<Energy 45.600 %>	<PRR: 94.100 %>	<Collision ratio: 154.900 %>
