packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 5420480
packet id 004 delay: 10954120
packet id 005 delay: 11094920
packet id 006 delay: 625464
packet id 007 delay: 350704
packet id 008 delay: 930160
packet id 009 delay: 553688
packet id 010 delay: 613320
packet id 011 delay: 661680
packet id 012 delay: 1033520
packet id 013 loss!!!
packet id 014 delay: 504240
packet id 015 delay: 430360
packet id 016 delay: 543120
packet id 017 delay: 1513160
packet id 018 loss!!!
packet id 019 delay: 583600
packet id 020 delay: 684360
packet id 021 loss!!!
packet id 022 delay: 407320
packet id 023 loss!!!
packet id 024 delay: 697680
packet id 025 delay: 490800
packet id 026 delay: 517600
packet id 027 delay: 622880
packet id 028 loss!!!
packet id 029 delay: 467240
packet id 030 delay: 583960
packet id 031 delay: 588960
packet id 032 delay: 450400
packet id 033 delay: 1919560
packet id 034 delay: 1843472
packet id 035 delay: 633240
packet id 036 delay: 578920
packet id 037 delay: 567200
packet id 038 delay: 474400
packet id 039 delay: 496080
packet id 040 delay: 448600
packet id 041 delay: 536080
packet id 042 delay: 460760
packet id 043 delay: 563600
packet id 044 delay: 519840
packet id 045 delay: 593016
packet id 046 delay: 395960
packet id 047 delay: 453160
packet id 048 delay: 535280
packet id 049 delay: 528040
packet id 050 delay: 807504
packet id 051 loss!!!
packet id 052 delay: 505120
packet id 053 delay: 584280
packet id 054 delay: 1790920
packet id 055 delay: 531920
packet id 056 delay: 528440
packet id 057 delay: 578800
packet id 058 delay: 514800
packet id 059 delay: 853480
packet id 060 delay: 456240
packet id 061 delay: 489400
packet id 062 delay: 437040
packet id 063 delay: 689680
packet id 064 delay: 696760
packet id 065 delay: 1333200
packet id 066 delay: 608600
packet id 067 delay: 608520
packet id 068 delay: 2305120
packet id 069 delay: 2000720
packet id 070 delay: 640920
packet id 071 delay: 506320
packet id 072 delay: 560600
packet id 073 delay: 958400
packet id 074 delay: 487800
packet id 075 delay: 500624
packet id 076 delay: 559520
packet id 077 delay: 4862680
packet id 078 delay: 564520
packet id 079 delay: 1167800
packet id 080 delay: 441640
packet id 081 loss!!!
packet id 082 delay: 556200
packet id 083 delay: 491640
packet id 084 delay: 2830160
packet id 085 delay: 590000
packet id 086 delay: 907800
packet id 087 delay: 2580000
packet id 088 loss!!!
packet id 089 delay: 509000
packet id 090 delay: 571560
packet id 091 delay: 550600
packet id 092 delay: 451120
packet id 093 delay: 454400
packet id 094 delay: 1381520
packet id 095 delay: 3491120
packet id 096 delay: 542880
packet id 097 delay: 2045320
packet id 098 delay: 3900864
packet id 099 delay: 526960
packet id 100 delay: 520840
packet id 101 delay: 543200
packet id 102 delay: 576624
packet id 103 delay: 488440
packet id 104 delay: 533880
packet id 105 delay: 549840
