MONITORED: % | ON: NaN% | TX: NaN% | RX: NaN% | INT: NaN% | ONL: NaN% | TXL: NaN% | RXL: NaN% | INTL: NaN% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 70.31% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 73.16% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 12080000
MONITORED: % | ON: 1.46% | TX: 0.04% | RX: 0.05% | INT: 0.00% | ONL: 25.13% | TXL: 1.65% | RXL: 7.43% | INTL: 1.15% | Energy: 312653120
MONITORED: % | ON: 0.85% | TX: 0.03% | RX: 0.03% | INT: 0.00% | ONL: 21.15% | TXL: 1.27% | RXL: 5.83% | INTL: 0.95% | Energy: 941068400
MONITORED: % | ON: 0.55% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 16.97% | TXL: 0.85% | RXL: 3.89% | INTL: 0.64% | Energy: 1305073200
MONITORED: % | ON: 1.81% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 13.43% | TXL: 0.64% | RXL: 2.81% | INTL: 0.48% | Energy: 1646636400
MONITORED: % | ON: 3.64% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 10.31% | TXL: 0.52% | RXL: 2.15% | INTL: 0.37% | Energy: 1969909760
MONITORED: % | ON: 4.80% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 8.33% | TXL: 0.43% | RXL: 1.73% | INTL: 0.30% | Energy: 2297643360
MONITORED: % | ON: 5.59% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 7.01% | TXL: 0.38% | RXL: 1.45% | INTL: 0.25% | Energy: 2632394960
MONITORED: % | ON: 6.14% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 6.05% | TXL: 0.34% | RXL: 1.25% | INTL: 0.21% | Energy: 2960917840
MONITORED: % | ON: 6.56% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 5.35% | TXL: 0.31% | RXL: 1.10% | INTL: 0.19% | Energy: 3289085040
MONITORED: % | ON: 6.89% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 4.80% | TXL: 0.30% | RXL: 0.98% | INTL: 0.17% | Energy: 3625442080
MONITORED: % | ON: 7.16% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 4.34% | TXL: 0.28% | RXL: 0.88% | INTL: 0.15% | Energy: 3960143680
