packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 3529880
packet id 004 delay: 477784
packet id 005 delay: 2629824
packet id 006 delay: 434064
packet id 007 delay: 482144
packet id 008 delay: 2824896
packet id 009 delay: 456024
packet id 010 delay: 472000
packet id 011 delay: 477104
packet id 012 delay: 520664
packet id 013 delay: 392144
packet id 014 delay: 324304
packet id 015 delay: 414304
packet id 016 delay: 592064
packet id 017 delay: 936224
packet id 018 delay: 521344
packet id 019 delay: 227024
packet id 020 delay: 398328
packet id 021 loss!!!
packet id 022 delay: 680624
packet id 023 delay: 351704
packet id 024 delay: 1713864
packet id 025 delay: 502704
packet id 026 delay: 570544
packet id 027 loss!!!
packet id 028 delay: 460944
packet id 029 delay: 331704
packet id 030 delay: 521144
packet id 031 delay: 280624
packet id 032 delay: 451144
packet id 033 delay: 856584
packet id 034 delay: 424544
packet id 035 delay: 493824
packet id 036 delay: 460384
packet id 037 delay: 536304
packet id 038 delay: 305504
packet id 039 delay: 430984
packet id 040 delay: 427984
packet id 041 delay: 579824
packet id 042 delay: 403504
packet id 043 delay: 447504
packet id 044 delay: 449184
packet id 045 delay: 451120
packet id 046 delay: 400504
packet id 047 delay: 524504
packet id 048 delay: 467504
packet id 049 delay: 574144
packet id 050 delay: 435184
packet id 051 delay: 376304
packet id 052 delay: 426984
packet id 053 delay: 543184
packet id 054 delay: 344704
packet id 055 delay: 402144
packet id 056 delay: 425064
packet id 057 delay: 350304
packet id 058 delay: 415984
packet id 059 delay: 561304
packet id 060 delay: 420304
packet id 061 delay: 405344
packet id 062 delay: 2467384
packet id 063 delay: 421824
packet id 064 delay: 476024
packet id 065 delay: 577744
packet id 066 delay: 385664
packet id 067 loss!!!
packet id 068 delay: 439584
packet id 069 delay: 377984
packet id 070 delay: 506184
packet id 071 delay: 740144
packet id 072 delay: 1509624
packet id 073 delay: 522144
packet id 074 delay: 518144
packet id 075 delay: 578568
packet id 076 delay: 760304
packet id 077 delay: 440864
packet id 078 delay: 1457680
packet id 079 delay: 299224
packet id 080 delay: 408104
packet id 081 delay: 391744
packet id 082 delay: 2530504
packet id 083 loss!!!
packet id 084 delay: 569144
packet id 085 delay: 401424
packet id 086 delay: 435744
packet id 087 delay: 553144
packet id 088 delay: 607664
packet id 089 delay: 397104
packet id 090 loss!!!
packet id 091 delay: 382704
packet id 092 delay: 369344
packet id 093 delay: 469824
packet id 094 delay: 341664
packet id 095 delay: 835520
packet id 096 delay: 525104
packet id 097 delay: 305184
packet id 098 loss!!!
packet id 099 delay: 433384
packet id 100 loss!!!
