MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 100.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 100.00% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 0
MONITORED: % | ON: 42.86% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 48.34% | TXL: 0.00% | RXL: 0.00% | INTL: 0.00% | Energy: 7980000
MONITORED: % | ON: 1.23% | TX: 0.03% | RX: 0.08% | INT: 0.00% | ONL: 18.85% | TXL: 1.95% | RXL: 4.14% | INTL: 0.65% | Energy: 211954240
MONITORED: % | ON: 1.00% | TX: 0.07% | RX: 0.07% | INT: 0.00% | ONL: 20.42% | TXL: 2.60% | RXL: 4.53% | INTL: 0.75% | Energy: 868597680
MONITORED: % | ON: 0.70% | TX: 0.05% | RX: 0.07% | INT: 0.00% | ONL: 16.74% | TXL: 1.71% | RXL: 3.20% | INTL: 0.45% | Energy: 1300166800
MONITORED: % | ON: 1.68% | TX: 0.03% | RX: 0.05% | INT: 0.00% | ONL: 13.63% | TXL: 1.29% | RXL: 2.33% | INTL: 0.33% | Energy: 1636451600
MONITORED: % | ON: 3.60% | TX: 0.03% | RX: 0.04% | INT: 0.00% | ONL: 10.37% | TXL: 1.01% | RXL: 1.77% | INTL: 0.25% | Energy: 1962013120
MONITORED: % | ON: 4.74% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 8.43% | TXL: 0.83% | RXL: 1.43% | INTL: 0.20% | Energy: 2275184560
MONITORED: % | ON: 5.50% | TX: 0.02% | RX: 0.03% | INT: 0.00% | ONL: 7.14% | TXL: 0.72% | RXL: 1.21% | INTL: 0.17% | Energy: 2584254080
MONITORED: % | ON: 6.07% | TX: 0.02% | RX: 0.02% | INT: 0.00% | ONL: 6.18% | TXL: 0.64% | RXL: 1.04% | INTL: 0.14% | Energy: 2909904800
MONITORED: % | ON: 6.48% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 5.51% | TXL: 0.59% | RXL: 0.92% | INTL: 0.13% | Energy: 3214516400
MONITORED: % | ON: 6.82% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 4.92% | TXL: 0.54% | RXL: 0.82% | INTL: 0.11% | Energy: 3533331600
MONITORED: % | ON: 7.09% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 4.46% | TXL: 0.49% | RXL: 0.74% | INTL: 0.10% | Energy: 3844086000
MONITORED: % | ON: 7.31% | TX: 0.01% | RX: 0.02% | INT: 0.00% | ONL: 4.09% | TXL: 0.46% | RXL: 0.67% | INTL: 0.09% | Energy: 4160899520
MONITORED: % | ON: 7.49% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 3.77% | TXL: 0.43% | RXL: 0.62% | INTL: 0.09% | Energy: 4470058240
MONITORED: % | ON: 7.65% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 3.50% | TXL: 0.41% | RXL: 0.57% | INTL: 0.08% | Energy: 4782594640
MONITORED: % | ON: 7.79% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 3.27% | TXL: 0.39% | RXL: 0.53% | INTL: 0.07% | Energy: 5096470560
MONITORED: % | ON: 7.90% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 3.09% | TXL: 0.38% | RXL: 0.50% | INTL: 0.07% | Energy: 5421166560
MONITORED: % | ON: 8.00% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.92% | TXL: 0.36% | RXL: 0.47% | INTL: 0.07% | Energy: 5728563760
MONITORED: % | ON: 8.09% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.76% | TXL: 0.35% | RXL: 0.44% | INTL: 0.06% | Energy: 6036078480
MONITORED: % | ON: 8.18% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.62% | TXL: 0.33% | RXL: 0.42% | INTL: 0.06% | Energy: 6357345280
MONITORED: % | ON: 8.24% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.50% | TXL: 0.32% | RXL: 0.40% | INTL: 0.06% | Energy: 6622004480
MONITORED: % | ON: 8.26% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.47% | TXL: 0.32% | RXL: 0.39% | INTL: 0.05% | Energy: 6732211280
MONITORED: % | ON: 8.33% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.35% | TXL: 0.31% | RXL: 0.37% | INTL: 0.05% | Energy: 7053126400
MONITORED: % | ON: 8.39% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.25% | TXL: 0.30% | RXL: 0.36% | INTL: 0.05% | Energy: 7371698000
MONITORED: % | ON: 8.44% | TX: 0.01% | RX: 0.01% | INT: 0.00% | ONL: 2.16% | TXL: 0.29% | RXL: 0.34% | INTL: 0.05% | Energy: 7679003200
MONITORED: % | ON: 8.49% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 2.10% | TXL: 0.29% | RXL: 0.33% | INTL: 0.05% | Energy: 7994796400
MONITORED: % | ON: 8.53% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 2.02% | TXL: 0.28% | RXL: 0.31% | INTL: 0.04% | Energy: 8314075760
MONITORED: % | ON: 8.57% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.95% | TXL: 0.28% | RXL: 0.30% | INTL: 0.04% | Energy: 8632013360
MONITORED: % | ON: 8.61% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.88% | TXL: 0.27% | RXL: 0.29% | INTL: 0.04% | Energy: 8939317360
MONITORED: % | ON: 8.64% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.84% | TXL: 0.27% | RXL: 0.28% | INTL: 0.04% | Energy: 9269097360
MONITORED: % | ON: 8.67% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.78% | TXL: 0.27% | RXL: 0.27% | INTL: 0.04% | Energy: 9573864160
MONITORED: % | ON: 8.71% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.73% | TXL: 0.26% | RXL: 0.26% | INTL: 0.04% | Energy: 9892598560
MONITORED: % | ON: 8.73% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.68% | TXL: 0.26% | RXL: 0.25% | INTL: 0.03% | Energy: 10202377680
MONITORED: % | ON: 8.76% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.63% | TXL: 0.25% | RXL: 0.25% | INTL: 0.03% | Energy: 10521416080
MONITORED: % | ON: 8.79% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.59% | TXL: 0.25% | RXL: 0.24% | INTL: 0.03% | Energy: 10833134080
MONITORED: % | ON: 8.81% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.54% | TXL: 0.24% | RXL: 0.23% | INTL: 0.03% | Energy: 11151134880
MONITORED: % | ON: 8.83% | TX: 0.00% | RX: 0.01% | INT: 0.00% | ONL: 1.51% | TXL: 0.24% | RXL: 0.23% | INTL: 0.03% | Energy: 11458757200
MONITORED: % | ON: 8.85% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.47% | TXL: 0.23% | RXL: 0.22% | INTL: 0.03% | Energy: 11772326800
MONITORED: % | ON: 8.87% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.43% | TXL: 0.23% | RXL: 0.21% | INTL: 0.03% | Energy: 12082213120
MONITORED: % | ON: 8.89% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.40% | TXL: 0.23% | RXL: 0.21% | INTL: 0.03% | Energy: 12397401920
MONITORED: % | ON: 8.90% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.39% | TXL: 0.22% | RXL: 0.21% | INTL: 0.03% | Energy: 12573645920
MONITORED: % | ON: 8.91% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.37% | TXL: 0.22% | RXL: 0.20% | INTL: 0.03% | Energy: 12775711920
MONITORED: % | ON: 8.93% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.34% | TXL: 0.22% | RXL: 0.20% | INTL: 0.03% | Energy: 13079953520
MONITORED: % | ON: 8.95% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.31% | TXL: 0.22% | RXL: 0.19% | INTL: 0.03% | Energy: 13397662320
MONITORED: % | ON: 8.96% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.28% | TXL: 0.22% | RXL: 0.19% | INTL: 0.03% | Energy: 13703659120
MONITORED: % | ON: 8.98% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.26% | TXL: 0.21% | RXL: 0.18% | INTL: 0.02% | Energy: 14020107840
MONITORED: % | ON: 8.99% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.24% | TXL: 0.21% | RXL: 0.18% | INTL: 0.02% | Energy: 14333234160
MONITORED: % | ON: 9.00% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.21% | TXL: 0.21% | RXL: 0.18% | INTL: 0.02% | Energy: 14634310560
MONITORED: % | ON: 9.02% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.19% | TXL: 0.21% | RXL: 0.17% | INTL: 0.02% | Energy: 14957484160
MONITORED: % | ON: 9.03% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.17% | TXL: 0.20% | RXL: 0.17% | INTL: 0.02% | Energy: 15272590160
MONITORED: % | ON: 9.04% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.15% | TXL: 0.20% | RXL: 0.17% | INTL: 0.02% | Energy: 15579848480
MONITORED: % | ON: 9.05% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.13% | TXL: 0.20% | RXL: 0.16% | INTL: 0.02% | Energy: 15888844640
MONITORED: % | ON: 9.06% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.12% | TXL: 0.20% | RXL: 0.16% | INTL: 0.02% | Energy: 16218345440
MONITORED: % | ON: 9.07% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.10% | TXL: 0.20% | RXL: 0.16% | INTL: 0.02% | Energy: 16523040160
MONITORED: % | ON: 9.08% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.09% | TXL: 0.20% | RXL: 0.15% | INTL: 0.02% | Energy: 16836925360
MONITORED: % | ON: 9.09% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.07% | TXL: 0.20% | RXL: 0.15% | INTL: 0.02% | Energy: 17152458720
MONITORED: % | ON: 9.10% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.06% | TXL: 0.20% | RXL: 0.15% | INTL: 0.02% | Energy: 17470731840
MONITORED: % | ON: 9.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.04% | TXL: 0.19% | RXL: 0.15% | INTL: 0.02% | Energy: 17789042400
MONITORED: % | ON: 9.11% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.03% | TXL: 0.20% | RXL: 0.14% | INTL: 0.02% | Energy: 18107852800
MONITORED: % | ON: 9.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.02% | TXL: 0.19% | RXL: 0.14% | INTL: 0.02% | Energy: 18425847600
MONITORED: % | ON: 9.12% | TX: 0.00% | RX: 0.00% | INT: 0.00% | ONL: 1.01% | TXL: 0.19% | RXL: 0.14% | INTL: 0.02% | Energy: 18539008320
