packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 delay: 6703096
packet id 006 delay: 13832760
packet id 007 loss!!!
packet id 008 delay: 19588072
packet id 009 delay: 1236480
packet id 010 delay: 1032320
packet id 011 delay: 2056440
packet id 012 delay: 391640
packet id 013 delay: 389360
packet id 014 delay: 460520
packet id 015 delay: 1105120
packet id 016 delay: 413400
packet id 017 delay: 384440
packet id 018 delay: 282600
packet id 019 delay: 426400
packet id 020 delay: 381200
packet id 021 delay: 403040
packet id 022 delay: 847200
packet id 023 delay: 308640
packet id 024 delay: 376000
packet id 025 delay: 585040
packet id 026 delay: 374320
packet id 027 delay: 327240
packet id 028 delay: 353280
packet id 029 delay: 419400
packet id 030 delay: 377000
packet id 031 delay: 773400
packet id 032 delay: 302880
packet id 033 delay: 387680
packet id 034 delay: 285640
packet id 035 delay: 394360
packet id 036 delay: 417080
packet id 037 delay: 300880
packet id 038 delay: 326400
packet id 039 delay: 449120
packet id 040 delay: 540280
packet id 041 delay: 357120
packet id 042 delay: 319560
packet id 043 delay: 1078240
packet id 044 delay: 462160
packet id 045 delay: 357960
packet id 046 delay: 716560
packet id 047 delay: 627520
packet id 048 delay: 424696
packet id 049 delay: 459264
packet id 050 delay: 401848
packet id 051 delay: 424624
packet id 052 delay: 1885880
packet id 053 delay: 1313760
packet id 054 delay: 897336
packet id 055 loss!!!
packet id 056 delay: 1052520
packet id 057 delay: 2516600
packet id 058 delay: 362152
packet id 059 delay: 450920
packet id 060 delay: 2558880
packet id 061 delay: 1182416
packet id 062 delay: 564472
packet id 063 delay: 367080
packet id 064 delay: 453720
packet id 065 delay: 477952
packet id 066 delay: 2914480
packet id 067 delay: 303712
packet id 068 delay: 416304
packet id 069 delay: 465944
packet id 070 delay: 3669992
packet id 071 delay: 1322976
packet id 072 delay: 5659392
packet id 073 delay: 323784
packet id 074 delay: 381160
packet id 075 delay: 389328
packet id 076 delay: 2678936
packet id 077 delay: 365632
packet id 078 delay: 363752
packet id 079 delay: 299224
packet id 080 delay: 342056
packet id 081 delay: 3090400
packet id 082 delay: 571304
packet id 083 delay: 1695296
packet id 084 delay: 388792
packet id 085 delay: 3385000
packet id 086 delay: 389376
packet id 087 delay: 754792
packet id 088 delay: 1233984
packet id 089 delay: 1295496
packet id 090 delay: 746552
packet id 091 delay: 1066808
packet id 092 delay: 3871280
packet id 093 delay: 457328
packet id 094 delay: 1241232
packet id 095 delay: 2602400
packet id 096 delay: 2129528
packet id 097 delay: 228504
packet id 098 delay: 933680
packet id 099 delay: 185576
packet id 100 delay: 3167696
packet id 101 delay: 400056
packet id 102 delay: 337544
packet id 103 delay: 2449312
packet id 104 delay: 415368
packet id 105 delay: 1531520
packet id 106 delay: 479216
packet id 107 delay: 2091968
packet id 108 delay: 218104
packet id 109 delay: 381128
packet id 110 delay: 627824
packet id 111 delay: 315744
packet id 112 delay: 868512
packet id 113 delay: 694208
packet id 114 delay: 348200
packet id 115 delay: 396936
packet id 116 delay: 343224
packet id 117 delay: 573992
packet id 118 delay: 374448
packet id 119 delay: 388616
packet id 120 delay: 454448
packet id 121 delay: 4258040
packet id 122 delay: 595520
packet id 123 delay: 3813864
packet id 124 delay: 684840
packet id 125 delay: 960824
packet id 126 delay: 395640
packet id 127 delay: 2575312
packet id 128 delay: 4666568
packet id 129 delay: 379472
packet id 130 delay: 592784
packet id 131 delay: 276256
packet id 132 delay: 400568
packet id 133 delay: 3494040
packet id 134 delay: 1444256
packet id 135 delay: 273184
packet id 136 delay: 988264
packet id 137 delay: 317464
packet id 138 delay: 2937728
packet id 139 loss!!!
packet id 140 delay: 672480
packet id 141 delay: 431632
packet id 142 delay: 593224
packet id 143 loss!!!
packet id 144 delay: 313600
packet id 145 delay: 454576
packet id 146 loss!!!
packet id 147 delay: 2676488
packet id 148 delay: 1838104
packet id 149 delay: 1594344
packet id 150 delay: 755584
packet id 151 loss!!!
packet id 152 delay: 389096
packet id 153 delay: 4144992
packet id 154 delay: 2877424
packet id 155 delay: 1963720
packet id 156 delay: 1217120
packet id 157 delay: 403112
packet id 158 delay: 379000
packet id 159 delay: 223576
packet id 160 delay: 413088
packet id 161 delay: 355504
packet id 162 delay: 1946632
packet id 163 delay: 1055160
packet id 164 delay: 372792
packet id 165 delay: 342896
packet id 166 delay: 3817640
packet id 167 delay: 302392
packet id 168 delay: 1452800
packet id 169 delay: 388016
packet id 170 delay: 491096
packet id 171 delay: 1180104
packet id 172 delay: 3113480
packet id 173 delay: 5989656
packet id 174 delay: 5726912
packet id 175 delay: 334144
packet id 176 delay: 389240
packet id 177 delay: 383104
packet id 178 delay: 1510664
packet id 179 delay: 351392
packet id 180 delay: 898240
packet id 181 delay: 233256
packet id 182 delay: 348880
packet id 183 delay: 431624
packet id 184 delay: 417296
packet id 185 delay: 1237720
packet id 186 delay: 3307600
packet id 187 delay: 4262408
packet id 188 delay: 1633680
packet id 189 delay: 335896
packet id 190 loss!!!
packet id 191 delay: 393792
packet id 192 delay: 410072
packet id 193 delay: 2205496
packet id 194 delay: 402152
packet id 195 delay: 613504
packet id 196 delay: 1946392
packet id 197 delay: 391336
packet id 198 delay: 459944
packet id 199 delay: 346296
