packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 loss!!!
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 loss!!!
packet id 012 loss!!!
packet id 013 loss!!!
packet id 014 loss!!!
packet id 015 loss!!!
packet id 016 loss!!!
packet id 017 loss!!!
packet id 018 loss!!!
packet id 019 loss!!!
packet id 020 loss!!!
packet id 021 loss!!!
packet id 022 loss!!!
packet id 023 loss!!!
packet id 024 loss!!!
packet id 025 delay: 905000
packet id 026 delay: 204200
packet id 027 delay: 275400
packet id 028 delay: 244600
packet id 029 delay: 349680
packet id 030 delay: 344656
packet id 031 delay: 177560
packet id 032 delay: 302600
packet id 033 delay: 330680
packet id 034 delay: 226880
packet id 035 delay: 342360
packet id 036 delay: 428912
packet id 037 delay: 254960
packet id 038 delay: 208880
packet id 039 delay: 253280
packet id 040 delay: 233560
packet id 041 delay: 210600
packet id 042 delay: 293400
packet id 043 delay: 284720
packet id 044 delay: 150920
packet id 045 delay: 240640
packet id 046 delay: 592240
packet id 047 delay: 341400
packet id 048 delay: 952560
packet id 049 delay: 344680
packet id 050 delay: 228000
packet id 051 delay: 176080
packet id 052 delay: 203920
packet id 053 delay: 279600
packet id 054 delay: 182880
packet id 055 delay: 285640
packet id 056 delay: 115880
packet id 057 delay: 293640
packet id 058 delay: 705080
packet id 059 delay: 232200
packet id 060 delay: 264000
packet id 061 delay: 214200
packet id 062 loss!!!
packet id 063 loss!!!
packet id 064 loss!!!
packet id 065 delay: 330680
packet id 066 delay: 324400
packet id 067 delay: 316320
packet id 068 delay: 150200
packet id 069 delay: 491160
packet id 070 delay: 295280
packet id 071 delay: 165200
packet id 072 delay: 445600
packet id 073 delay: 286920
packet id 074 delay: 304960
packet id 075 delay: 547080
packet id 076 delay: 247752
packet id 077 delay: 286880
packet id 078 delay: 228920
packet id 079 delay: 250880
packet id 080 delay: 821552
packet id 081 delay: 1976480
packet id 082 delay: 288360
packet id 083 delay: 246320
packet id 084 delay: 294360
packet id 085 delay: 329680
packet id 086 delay: 260280
packet id 087 delay: 131880
packet id 088 delay: 623096
packet id 089 delay: 300280
packet id 090 delay: 126560
packet id 091 delay: 245320
packet id 092 delay: 304600
packet id 093 delay: 203920
packet id 094 delay: 292960
packet id 095 delay: 186200
packet id 096 delay: 247600
packet id 097 delay: 249960
packet id 098 loss!!!
packet id 099 delay: 297400
packet id 100 delay: 371400
packet id 101 delay: 301280
packet id 102 delay: 270600
packet id 103 delay: 243200
packet id 104 delay: 259680
packet id 105 delay: 236280
packet id 106 delay: 220200
packet id 107 delay: 286280
packet id 108 delay: 220200
packet id 109 delay: 202240
packet id 110 delay: 314000
packet id 111 delay: 302360
packet id 112 delay: 292280
packet id 113 delay: 308600
packet id 114 delay: 289720
packet id 115 delay: 267840
packet id 116 delay: 264200
packet id 117 delay: 245360
packet id 118 delay: 364080
packet id 119 delay: 295400
packet id 120 loss!!!
packet id 121 delay: 222280
packet id 122 delay: 368720
packet id 123 delay: 266200
packet id 124 delay: 231880
packet id 125 delay: 256200
packet id 126 delay: 290400
packet id 127 delay: 207200
packet id 128 delay: 326280
packet id 129 delay: 345680
packet id 130 delay: 281600
packet id 131 delay: 287600
packet id 132 delay: 1085560
packet id 133 delay: 220200
packet id 134 delay: 933040
packet id 135 delay: 267680
packet id 136 delay: 176200
packet id 137 delay: 176200
packet id 138 delay: 246320
packet id 139 delay: 220960
packet id 140 delay: 184200
packet id 141 delay: 253200
packet id 142 delay: 192880
packet id 143 delay: 983240
packet id 144 delay: 190880
packet id 145 delay: 229040
packet id 146 delay: 191320
packet id 147 delay: 254200
packet id 148 delay: 322080
packet id 149 loss!!!
packet id 150 delay: 266720
packet id 151 delay: 121600
packet id 152 delay: 278360
packet id 153 delay: 125200
packet id 154 delay: 206560
packet id 155 delay: 222880
packet id 156 delay: 324720
packet id 157 delay: 340320
packet id 158 delay: 219680
packet id 159 delay: 336720
packet id 160 delay: 208920
packet id 161 delay: 284720
packet id 162 delay: 311680
packet id 163 delay: 284152
packet id 164 delay: 224280
packet id 165 delay: 313680
packet id 166 delay: 285280
packet id 167 delay: 263880
packet id 168 delay: 177200
packet id 169 delay: 213680
packet id 170 delay: 326000
packet id 171 delay: 264200
packet id 172 delay: 224880
packet id 173 delay: 113200
packet id 174 delay: 277320
packet id 175 delay: 253280
packet id 176 delay: 318280
packet id 177 delay: 251960
packet id 178 delay: 247320
packet id 179 delay: 252200
packet id 180 delay: 243200
packet id 181 delay: 267200
packet id 182 delay: 199880
packet id 183 delay: 260880
packet id 184 delay: 246280
packet id 185 delay: 304680
packet id 186 delay: 276600
packet id 187 delay: 224920
packet id 188 delay: 265360
packet id 189 delay: 245200
packet id 190 delay: 199560
packet id 191 loss!!!
packet id 192 delay: 243680
packet id 193 delay: 434520
packet id 194 delay: 284720
packet id 195 delay: 347680
packet id 196 delay: 213600
packet id 197 delay: 311680
packet id 198 delay: 311720
packet id 199 delay: 190200
packet id 200 delay: 179280
packet id 201 delay: 298680
packet id 202 delay: 230960
packet id 203 loss!!!
packet id 204 delay: 210440
packet id 205 delay: 320680
packet id 206 delay: 240200
packet id 207 delay: 342240
packet id 208 delay: 314280
packet id 209 delay: 311040
packet id 210 delay: 255200
packet id 211 delay: 319280
packet id 212 delay: 329720
packet id 213 delay: 333320
packet id 214 delay: 278280
packet id 215 delay: 210600
packet id 216 delay: 279880
packet id 217 delay: 299360
packet id 218 delay: 254280
packet id 219 loss!!!
packet id 220 delay: 299240
packet id 221 delay: 83200
packet id 222 delay: 685920
packet id 223 delay: 226600
packet id 224 delay: 264680
packet id 225 delay: 297720
packet id 226 delay: 201920
packet id 227 loss!!!
packet id 228 delay: 227280
packet id 229 delay: 936600
packet id 230 delay: 226200
packet id 231 delay: 248240
packet id 232 delay: 279000
packet id 233 delay: 300000
