packet id 001 loss!!!
packet id 002 delay: 28336
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 loss!!!
packet id 007 delay: 103592
packet id 008 delay: 64592
packet id 009 delay: 121592
packet id 010 delay: 52592
packet id 011 delay: 41592
packet id 012 delay: 63592
packet id 013 delay: 28592
packet id 014 delay: 87592
packet id 015 delay: 28592
packet id 016 delay: 77592
packet id 017 delay: 46592
packet id 018 delay: 80592
packet id 019 delay: 76592
packet id 020 delay: 158496
packet id 021 delay: 112272
packet id 022 delay: 84592
packet id 023 delay: 385328
packet id 024 delay: 578912
packet id 025 delay: 100592
packet id 026 delay: 55592
packet id 027 delay: 35592
packet id 028 delay: 69592
packet id 029 delay: 116072
packet id 030 delay: 121592
packet id 031 delay: 47592
packet id 032 delay: 100592
packet id 033 delay: 79592
packet id 034 delay: 28336
packet id 035 delay: 79592
packet id 036 delay: 43592
packet id 037 delay: 107592
packet id 038 delay: 90592
packet id 039 delay: 86336
packet id 040 delay: 67592
packet id 041 delay: 37592
packet id 042 delay: 83592
packet id 043 delay: 65592
packet id 044 delay: 55592
packet id 045 loss!!!
packet id 046 delay: 61592
packet id 047 delay: 28592
packet id 048 delay: 54592
packet id 049 delay: 65592
packet id 050 delay: 53336
packet id 051 delay: 53592
packet id 052 delay: 70336
packet id 053 delay: 60336
packet id 054 delay: 118592
packet id 055 delay: 28592
packet id 056 delay: 89592
packet id 057 delay: 28592
packet id 058 delay: 66592
packet id 059 delay: 133952
packet id 060 delay: 39592
packet id 061 delay: 80592
packet id 062 delay: 28592
packet id 063 delay: 79592
packet id 064 delay: 44592
packet id 065 delay: 407592
packet id 066 delay: 106336
packet id 067 delay: 122336
packet id 068 delay: 74592
packet id 069 delay: 106592
packet id 070 delay: 49592
packet id 071 delay: 101336
packet id 072 delay: 49592
packet id 073 delay: 119592
packet id 074 delay: 112592
packet id 075 delay: 43592
packet id 076 delay: 81336
packet id 077 delay: 55336
packet id 078 delay: 28592
packet id 079 delay: 28592
packet id 080 delay: 121592
packet id 081 delay: 28592
packet id 082 delay: 61592
packet id 083 delay: 28592
packet id 084 delay: 166512
packet id 085 delay: 28336
packet id 086 delay: 94592
packet id 087 delay: 67592
packet id 088 delay: 64592
packet id 089 delay: 441112
packet id 090 delay: 180592
packet id 091 delay: 28592
packet id 092 delay: 28592
packet id 093 delay: 108336
packet id 094 delay: 120336
packet id 095 delay: 33592
packet id 096 delay: 403192
packet id 097 delay: 62336
packet id 098 delay: 119336
packet id 099 delay: 56592
packet id 100 delay: 88336
packet id 101 delay: 93592
packet id 102 delay: 50592
packet id 103 delay: 38592
packet id 104 delay: 389808
packet id 105 delay: 43592
packet id 106 delay: 112336
packet id 107 delay: 81592
packet id 108 delay: 48592
packet id 109 delay: 100912
packet id 110 delay: 28592
packet id 111 delay: 28592
packet id 112 delay: 70592
packet id 113 delay: 80592
packet id 114 delay: 28592
packet id 115 delay: 109592
packet id 116 delay: 57592
packet id 117 delay: 94592
packet id 118 delay: 34592
packet id 119 delay: 102592
packet id 120 delay: 28336
packet id 121 delay: 57592
packet id 122 delay: 66592
packet id 123 delay: 57592
packet id 124 delay: 28592
packet id 125 delay: 84592
packet id 126 delay: 74336
packet id 127 delay: 95336
packet id 128 delay: 28592
packet id 129 delay: 70336
packet id 130 delay: 122336
packet id 131 delay: 75592
packet id 132 delay: 30592
packet id 133 delay: 45592
packet id 134 delay: 57592
packet id 135 delay: 59336
packet id 136 delay: 111592
packet id 137 delay: 127592
packet id 138 delay: 28592
packet id 139 delay: 88592
packet id 140 delay: 28592
packet id 141 delay: 61592
packet id 142 delay: 50592
packet id 143 delay: 120592
packet id 144 delay: 56592
packet id 145 delay: 121592
packet id 146 delay: 28592
packet id 147 delay: 60592
packet id 148 delay: 117592
packet id 149 delay: 28592
packet id 150 delay: 124592
packet id 151 delay: 73592
packet id 152 delay: 36592
packet id 153 delay: 51592
packet id 154 delay: 87592
packet id 155 delay: 28592
packet id 156 delay: 111592
packet id 157 delay: 439592
packet id 158 delay: 113336
packet id 159 delay: 98592
packet id 160 delay: 60592
packet id 161 delay: 47592
packet id 162 delay: 83592
packet id 163 delay: 186312
packet id 164 delay: 169592
packet id 165 delay: 75592
