packet id 001 loss!!!
packet id 002 delay: 1613104
packet id 003 loss!!!
packet id 004 delay: 984336
packet id 005 delay: 1152280
packet id 006 delay: 1420424
packet id 007 delay: 1182168
packet id 008 delay: 1285040
packet id 009 loss!!!
packet id 010 delay: 1185320
packet id 011 delay: 1231376
packet id 012 delay: 1205264
packet id 013 delay: 1322848
packet id 014 delay: 1331960
packet id 015 loss!!!
packet id 016 delay: 1228472
packet id 017 delay: 3721984
packet id 018 delay: 1326208
packet id 019 delay: 1424040
packet id 020 delay: 1332680
packet id 021 delay: 1281832
packet id 022 delay: 1285056
packet id 023 delay: 1888968
packet id 024 delay: 1636568
packet id 025 delay: 1105112
packet id 026 delay: 1268016
packet id 027 delay: 1249112
packet id 028 delay: 1275624
packet id 029 delay: 1578376
packet id 030 delay: 1270056
packet id 031 delay: 1263152
packet id 032 delay: 1474040
packet id 033 delay: 1173528
packet id 034 delay: 1240736
packet id 035 delay: 1564568
packet id 036 delay: 1393944
packet id 037 delay: 1446984
packet id 038 delay: 1307096
packet id 039 delay: 1221032
packet id 040 delay: 1325864
packet id 041 delay: 1286264
packet id 042 loss!!!
packet id 043 delay: 1423304
packet id 044 delay: 1496888
packet id 045 delay: 1542984
packet id 046 delay: 1628512
packet id 047 delay: 1311832
packet id 048 delay: 1301248
packet id 049 delay: 1440984
packet id 050 delay: 1539624
packet id 051 delay: 1317000
packet id 052 delay: 1315152
packet id 053 delay: 1442648
packet id 054 delay: 1166336
packet id 055 loss!!!
packet id 056 delay: 1631736
packet id 057 delay: 6146032
packet id 058 delay: 1552776
packet id 059 delay: 1189944
packet id 060 delay: 1524040
packet id 061 delay: 1414360
packet id 062 delay: 2638232
packet id 063 delay: 1284208
packet id 064 delay: 2292352
packet id 065 delay: 2211320
packet id 066 delay: 1415184
packet id 067 delay: 1448040
packet id 068 delay: 2064040
packet id 069 delay: 1355264
packet id 070 delay: 1189680
packet id 071 delay: 1248680
packet id 072 delay: 1320096
packet id 073 delay: 1546072
packet id 074 delay: 1395624
packet id 075 delay: 1339888
packet id 076 delay: 1282944
packet id 077 delay: 1280624
packet id 078 delay: 1282512
packet id 079 loss!!!
packet id 080 delay: 1612872
packet id 081 delay: 1311040
packet id 082 delay: 1284416
packet id 083 delay: 1494976
packet id 084 delay: 1351152
packet id 085 delay: 1175320
packet id 086 delay: 1460984
packet id 087 delay: 4044944
packet id 088 delay: 1315152
packet id 089 delay: 1304112
packet id 090 delay: 1338944
packet id 091 delay: 1147640
packet id 092 delay: 1113072
packet id 093 delay: 1234624
packet id 094 delay: 1245640
packet id 095 delay: 4820376
packet id 096 delay: 1270680
packet id 097 delay: 1431888
packet id 098 delay: 1358888
packet id 099 delay: 1284264
packet id 100 delay: 1215208
packet id 101 delay: 1496832
packet id 102 delay: 1406984
packet id 103 delay: 1298192
packet id 104 delay: 1213208
packet id 105 delay: 1201584
packet id 106 delay: 1276624
packet id 107 delay: 1139432
packet id 108 delay: 1383944
packet id 109 delay: 1293888
packet id 110 delay: 1396152
packet id 111 loss!!!
packet id 112 delay: 1176056
packet id 113 delay: 1380512
packet id 114 delay: 1364536
packet id 115 delay: 1126224
packet id 116 loss!!!
packet id 117 delay: 1257112
packet id 118 delay: 1206648
packet id 119 delay: 1293320
packet id 120 delay: 1306416
packet id 121 delay: 3864528
packet id 122 delay: 1341944
packet id 123 delay: 1243208
packet id 124 delay: 1328360
packet id 125 delay: 1472096
packet id 126 delay: 1194128
packet id 127 delay: 3333120
