packet id 001 loss!!!
packet id 002 delay: 12997624
packet id 003 delay: 6514672
packet id 004 delay: 1089296
packet id 005 delay: 349856
packet id 006 delay: 1048376
packet id 007 delay: 399536
packet id 008 delay: 572096
packet id 009 delay: 1026096
packet id 010 delay: 575168
packet id 011 delay: 509056
packet id 012 loss!!!
packet id 013 delay: 544776
packet id 014 delay: 440976
packet id 015 delay: 480176
packet id 016 loss!!!
packet id 017 delay: 699056
packet id 018 delay: 488976
packet id 019 delay: 468936
packet id 020 delay: 2492056
packet id 021 delay: 757296
packet id 022 delay: 607928
packet id 023 delay: 559336
packet id 024 delay: 534016
packet id 025 delay: 484976
packet id 026 delay: 3236016
packet id 027 delay: 298776
packet id 028 delay: 438176
packet id 029 delay: 486016
packet id 030 delay: 553816
packet id 031 delay: 496736
packet id 032 delay: 465936
packet id 033 delay: 511376
packet id 034 delay: 398736
packet id 035 delay: 1087456
packet id 036 delay: 587776
packet id 037 delay: 342416
packet id 038 delay: 426576
packet id 039 delay: 454616
packet id 040 delay: 1268176
packet id 041 delay: 400376
packet id 042 delay: 575616
packet id 043 delay: 819336
packet id 044 delay: 374816
packet id 045 delay: 480056
packet id 046 delay: 605056
packet id 047 delay: 1435528
packet id 048 delay: 481096
packet id 049 delay: 429160
packet id 050 delay: 579336
packet id 051 delay: 502056
packet id 052 delay: 426216
packet id 053 delay: 513056
packet id 054 delay: 463616
packet id 055 delay: 383656
packet id 056 delay: 370136
packet id 057 delay: 517536
packet id 058 delay: 406976
packet id 059 delay: 573096
packet id 060 delay: 274416
packet id 061 delay: 435256
packet id 062 delay: 370256
packet id 063 delay: 582040
packet id 064 delay: 386256
packet id 065 delay: 581696
packet id 066 delay: 483456
packet id 067 delay: 454616
packet id 068 delay: 339136
packet id 069 delay: 490656
packet id 070 delay: 456576
packet id 071 delay: 498296
packet id 072 delay: 817512
packet id 073 delay: 479416
packet id 074 delay: 309696
packet id 075 delay: 584416
packet id 076 delay: 507656
packet id 077 delay: 498536
packet id 078 delay: 492656
packet id 079 delay: 407736
packet id 080 delay: 526536
packet id 081 delay: 462984
packet id 082 delay: 585776
packet id 083 delay: 434936
packet id 084 delay: 636336
packet id 085 delay: 582376
packet id 086 delay: 485016
packet id 087 delay: 401696
packet id 088 delay: 1508920
packet id 089 delay: 455936
packet id 090 delay: 885336
packet id 091 delay: 512656
packet id 092 delay: 527856
packet id 093 delay: 924016
packet id 094 delay: 858496
packet id 095 delay: 490696
packet id 096 delay: 921296
packet id 097 delay: 1426376
packet id 098 delay: 422136
packet id 099 delay: 320696
packet id 100 delay: 737272
packet id 101 delay: 577336
packet id 102 delay: 976096
packet id 103 loss!!!
packet id 104 delay: 592736
packet id 105 delay: 508656
packet id 106 delay: 486376
packet id 107 delay: 572336
packet id 108 delay: 623096
packet id 109 delay: 448736
packet id 110 delay: 455896
packet id 111 delay: 617696
packet id 112 delay: 479616
packet id 113 delay: 521296
packet id 114 delay: 1177776
packet id 115 delay: 334776
packet id 116 delay: 240416
packet id 117 delay: 433256
packet id 118 delay: 496976
packet id 119 delay: 665296
packet id 120 delay: 525256
packet id 121 delay: 460296
packet id 122 delay: 550296
packet id 123 delay: 522616
packet id 124 delay: 341736
packet id 125 delay: 337392
packet id 126 delay: 473336
packet id 127 delay: 470176
packet id 128 delay: 513016
packet id 129 delay: 334696
packet id 130 delay: 616056
packet id 131 delay: 179296
packet id 132 delay: 436576
packet id 133 delay: 423896
packet id 134 delay: 493696
packet id 135 delay: 471656
packet id 136 delay: 561256
packet id 137 delay: 1830928
packet id 138 delay: 466536
packet id 139 delay: 309136
packet id 140 delay: 494856
packet id 141 delay: 412256
packet id 142 delay: 1301584
packet id 143 delay: 587216
packet id 144 delay: 550456
packet id 145 delay: 498360
packet id 146 delay: 1387136
packet id 147 delay: 447976
packet id 148 delay: 537976
packet id 149 delay: 382736
packet id 150 delay: 2694624
packet id 151 delay: 687400
packet id 152 delay: 493936
packet id 153 delay: 535056
packet id 154 delay: 609752
packet id 155 delay: 1365728
packet id 156 delay: 856976
packet id 157 delay: 508296
packet id 158 delay: 484256
packet id 159 delay: 429936
packet id 160 delay: 351056
packet id 161 delay: 569376
packet id 162 delay: 392816
packet id 163 delay: 475496
packet id 164 delay: 346176
packet id 165 delay: 487184
packet id 166 delay: 439616
packet id 167 delay: 507336
packet id 168 delay: 543296
packet id 169 delay: 397216
packet id 170 delay: 698456
packet id 171 delay: 1919576
packet id 172 delay: 1296256
packet id 173 delay: 528296
packet id 174 delay: 441936
packet id 175 delay: 454696
packet id 176 delay: 490616
packet id 177 delay: 546496
packet id 178 delay: 396856
packet id 179 delay: 466856
packet id 180 delay: 354136
packet id 181 delay: 521656
packet id 182 delay: 526056
packet id 183 delay: 599056
packet id 184 delay: 440176
packet id 185 delay: 601856
packet id 186 delay: 892776
packet id 187 delay: 581416
packet id 188 delay: 400536
packet id 189 delay: 492456
packet id 190 delay: 444376
packet id 191 delay: 347176
packet id 192 delay: 413216
packet id 193 delay: 518576
packet id 194 delay: 502696
packet id 195 delay: 268656
packet id 196 delay: 555696
packet id 197 delay: 429176
packet id 198 delay: 1880816
packet id 199 delay: 340536
packet id 200 delay: 508016
packet id 201 delay: 402576
packet id 202 delay: 440256
packet id 203 delay: 449616
packet id 204 delay: 359176
packet id 205 delay: 394056
packet id 206 delay: 572200
packet id 207 delay: 504616
packet id 208 delay: 801376
packet id 209 delay: 661096
packet id 210 delay: 499016
packet id 211 delay: 644696
packet id 212 delay: 823864
packet id 213 delay: 2264000
packet id 214 delay: 352136
packet id 215 delay: 456496
packet id 216 delay: 496256
packet id 217 delay: 481336
packet id 218 delay: 462976
packet id 219 delay: 499936
