packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 delay: 407440
packet id 005 delay: 1662640
packet id 006 delay: 472760
packet id 007 delay: 972520
packet id 008 delay: 418320
packet id 009 delay: 418560
packet id 010 delay: 509456
packet id 011 delay: 274560
packet id 012 delay: 407880
packet id 013 delay: 394800
packet id 014 delay: 578520
packet id 015 delay: 485520
packet id 016 delay: 541240
packet id 017 delay: 419280
packet id 018 delay: 353120
packet id 019 delay: 544160
packet id 020 delay: 424400
packet id 021 delay: 390560
packet id 022 delay: 374320
packet id 023 delay: 297040
packet id 024 delay: 381280
packet id 025 delay: 367240
packet id 026 delay: 439680
packet id 027 delay: 1755360
packet id 028 delay: 453440
packet id 029 delay: 532480
packet id 030 delay: 524160
packet id 031 delay: 550560
packet id 032 delay: 333040
packet id 033 delay: 386280
packet id 034 delay: 447760
packet id 035 delay: 460360
packet id 036 delay: 344600
packet id 037 delay: 498880
packet id 038 delay: 474720
packet id 039 delay: 606920
packet id 040 delay: 389680
packet id 041 delay: 472360
packet id 042 delay: 371960
packet id 043 delay: 398360
packet id 044 delay: 335880
packet id 045 delay: 416960
packet id 046 delay: 403360
packet id 047 delay: 604840
packet id 048 delay: 497400
packet id 049 delay: 991800
packet id 050 loss!!!
packet id 051 delay: 1431224
packet id 052 delay: 1355304
packet id 053 delay: 540520
packet id 054 delay: 403360
packet id 055 delay: 420640
packet id 056 delay: 431680
packet id 057 delay: 466040
packet id 058 delay: 447320
packet id 059 delay: 437400
packet id 060 delay: 471720
packet id 061 delay: 464424
packet id 062 delay: 562520
packet id 063 delay: 455840
packet id 064 delay: 844200
packet id 065 delay: 414720
packet id 066 delay: 453560
packet id 067 delay: 362280
packet id 068 delay: 329880
packet id 069 delay: 518440
packet id 070 delay: 439824
packet id 071 delay: 352440
packet id 072 delay: 397160
packet id 073 delay: 424400
packet id 074 delay: 457440
packet id 075 delay: 475360
packet id 076 delay: 400960
packet id 077 delay: 415960
packet id 078 delay: 454680
packet id 079 delay: 488480
packet id 080 delay: 422040
packet id 081 delay: 456080
packet id 082 delay: 415824
packet id 083 delay: 378480
packet id 084 delay: 443120
packet id 085 delay: 467480
packet id 086 delay: 1188640
packet id 087 delay: 353960
packet id 088 delay: 395680
packet id 089 delay: 550760
packet id 090 delay: 433200
packet id 091 delay: 359120
packet id 092 delay: 521560
packet id 093 delay: 492360
packet id 094 delay: 348920
packet id 095 delay: 323880
packet id 096 delay: 456960
packet id 097 delay: 829720
packet id 098 delay: 434720
packet id 099 delay: 449360
packet id 100 delay: 428760
packet id 101 delay: 388680
packet id 102 delay: 557160
packet id 103 delay: 419280
packet id 104 delay: 560560
packet id 105 delay: 308880
packet id 106 delay: 505400
packet id 107 delay: 357960
packet id 108 delay: 361960
packet id 109 delay: 489760
packet id 110 delay: 418360
packet id 111 delay: 544440
packet id 112 delay: 382960
packet id 113 delay: 482840
packet id 114 delay: 1341512
packet id 115 delay: 547560
packet id 116 delay: 1233480
packet id 117 delay: 422160
packet id 118 delay: 1420440
packet id 119 delay: 381680
packet id 120 delay: 348880
packet id 121 delay: 518400
packet id 122 delay: 380880
packet id 123 delay: 369960
packet id 124 loss!!!
packet id 125 delay: 476040
packet id 126 delay: 353560
packet id 127 delay: 308880
packet id 128 delay: 484080
packet id 129 delay: 937656
packet id 130 delay: 423280
packet id 131 delay: 505240
packet id 132 delay: 498440
packet id 133 delay: 356960
packet id 134 delay: 375280
packet id 135 delay: 525520
packet id 136 delay: 429840
packet id 137 loss!!!
packet id 138 delay: 310880
packet id 139 delay: 476400
packet id 140 delay: 498040
packet id 141 delay: 495040
packet id 142 delay: 382000
packet id 143 delay: 410800
packet id 144 delay: 691280
packet id 145 loss!!!
packet id 146 delay: 384560
packet id 147 delay: 360560
packet id 148 delay: 444360
packet id 149 delay: 426960
packet id 150 delay: 947744
packet id 151 delay: 336560
packet id 152 delay: 424960
packet id 153 delay: 352280
packet id 154 delay: 452960
packet id 155 loss!!!
packet id 156 delay: 479200
packet id 157 delay: 449800
packet id 158 delay: 461800
packet id 159 delay: 491520
packet id 160 delay: 476800
packet id 161 delay: 904560
packet id 162 delay: 505160
packet id 163 delay: 408880
packet id 164 delay: 481840
packet id 165 delay: 520880
packet id 166 delay: 1500360
packet id 167 delay: 404000
packet id 168 delay: 494360
packet id 169 delay: 432360
packet id 170 delay: 1479576
packet id 171 delay: 433960
packet id 172 delay: 405480
packet id 173 delay: 399120
packet id 174 delay: 443360
packet id 175 delay: 635000
packet id 176 delay: 431960
packet id 177 delay: 421760
packet id 178 delay: 318880
packet id 179 delay: 413280
packet id 180 delay: 465680
packet id 181 delay: 400040
packet id 182 delay: 387960
packet id 183 delay: 513760
packet id 184 delay: 405040
packet id 185 delay: 1223640
packet id 186 delay: 440040
packet id 187 delay: 693400
packet id 188 delay: 475080
packet id 189 delay: 390680
packet id 190 delay: 389880
packet id 191 delay: 427840
packet id 192 delay: 405040
packet id 193 delay: 497720
packet id 194 delay: 663320
packet id 195 delay: 406960
packet id 196 delay: 708000
packet id 197 delay: 410960
packet id 198 delay: 471760
packet id 199 delay: 456920
packet id 200 delay: 2667840
packet id 201 delay: 845400
packet id 202 delay: 391360
packet id 203 delay: 496440
packet id 204 delay: 332240
packet id 205 delay: 368960
packet id 206 delay: 374320
packet id 207 delay: 426040
packet id 208 delay: 436640
packet id 209 delay: 382000
packet id 210 delay: 439960
packet id 211 delay: 288000
packet id 212 delay: 365640
packet id 213 delay: 465480
packet id 214 delay: 460040
packet id 215 delay: 397360
packet id 216 delay: 435200
packet id 217 delay: 544440
packet id 218 delay: 528080
packet id 219 delay: 391360
packet id 220 delay: 422640
packet id 221 delay: 431600
packet id 222 delay: 475840
packet id 223 delay: 315880
packet id 224 delay: 358280
packet id 225 delay: 420600
packet id 226 delay: 445360
packet id 227 delay: 456360
packet id 228 delay: 514760
packet id 229 delay: 351640
packet id 230 delay: 2426792
packet id 231 delay: 418040
packet id 232 delay: 382880
packet id 233 delay: 361880
packet id 234 delay: 692800
packet id 235 delay: 372440
packet id 236 delay: 1157976
packet id 237 delay: 396960
packet id 238 delay: 317880
packet id 239 delay: 399880
packet id 240 delay: 420640
packet id 241 loss!!!
packet id 242 delay: 413720
packet id 243 delay: 446440
packet id 244 delay: 461440
packet id 245 delay: 517240
packet id 246 delay: 420960
packet id 247 loss!!!
packet id 248 delay: 415360
packet id 249 delay: 733600
packet id 250 delay: 339000
packet id 251 delay: 430920
packet id 252 delay: 299680
packet id 253 delay: 549560
packet id 254 delay: 512104
packet id 255 delay: 416720
packet id 256 delay: 516872
packet id 257 delay: 417360
packet id 258 delay: 432760
packet id 259 delay: 313880
packet id 260 delay: 453200
packet id 261 loss!!!
packet id 262 delay: 439080
packet id 263 delay: 422400
packet id 264 delay: 481440
packet id 265 delay: 520120
packet id 266 delay: 470360
packet id 267 delay: 453040
packet id 268 delay: 451720
packet id 269 delay: 459480
packet id 270 delay: 337600
packet id 271 delay: 476360
packet id 272 delay: 392680
packet id 273 delay: 454360
packet id 274 delay: 399280
packet id 275 delay: 438320
packet id 276 delay: 662920
packet id 277 delay: 545240
packet id 278 delay: 742200
packet id 279 delay: 1752040
packet id 280 delay: 351280
packet id 281 delay: 329560
packet id 282 delay: 945320
packet id 283 delay: 506040
packet id 284 delay: 452840
packet id 285 delay: 424040
packet id 286 delay: 355600
packet id 287 delay: 328880
packet id 288 delay: 468880
packet id 289 loss!!!
packet id 290 delay: 451960
packet id 291 delay: 355960
