packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 delay: 62704776
packet id 006 loss!!!
packet id 007 delay: 654400
packet id 008 loss!!!
packet id 009 loss!!!
packet id 010 loss!!!
packet id 011 delay: 4893000
packet id 012 delay: 25737856
packet id 013 delay: 9667352
packet id 014 loss!!!
packet id 015 loss!!!
packet id 016 delay: 11201888
packet id 017 delay: 3168056
packet id 018 delay: 7520288
packet id 019 loss!!!
packet id 020 delay: 4917384
packet id 021 delay: 249040
packet id 022 delay: 3574400
packet id 023 delay: 413400
packet id 024 delay: 928800
packet id 025 delay: 410200
packet id 026 delay: 439600
packet id 027 delay: 181280
packet id 028 delay: 342880
packet id 029 delay: 552520
packet id 030 delay: 475120
packet id 031 delay: 485840
packet id 032 delay: 485760
packet id 033 delay: 332240
packet id 034 delay: 462560
packet id 035 delay: 385680
packet id 036 delay: 450640
packet id 037 delay: 404320
packet id 038 delay: 469040
packet id 039 delay: 357560
packet id 040 delay: 566480
packet id 041 delay: 557840
packet id 042 delay: 414320
packet id 043 delay: 501720
packet id 044 delay: 516840
packet id 045 delay: 391680
packet id 046 delay: 415280
packet id 047 delay: 378000
packet id 048 delay: 501080
packet id 049 delay: 469080
packet id 050 delay: 463880
packet id 051 delay: 399280
packet id 052 loss!!!
packet id 053 delay: 315720
packet id 054 delay: 1015960
packet id 055 delay: 455960
packet id 056 delay: 503880
packet id 057 delay: 479640
packet id 058 delay: 284640
packet id 059 delay: 324560
packet id 060 delay: 475160
packet id 061 delay: 429400
packet id 062 delay: 298920
packet id 063 delay: 468720
packet id 064 delay: 357440
packet id 065 delay: 493840
packet id 066 delay: 1753224
packet id 067 loss!!!
packet id 068 delay: 259064
packet id 069 delay: 278344
packet id 070 delay: 122864
packet id 071 delay: 184584
packet id 072 delay: 335344
packet id 073 delay: 320624
packet id 074 delay: 241624
packet id 075 delay: 258344
packet id 076 delay: 329624
packet id 077 delay: 308624
packet id 078 delay: 187584
packet id 079 delay: 899256
packet id 080 delay: 187824
packet id 081 delay: 108544
packet id 082 delay: 235664
packet id 083 delay: 169984
packet id 084 delay: 501344
packet id 085 delay: 308624
packet id 086 delay: 236984
packet id 087 delay: 1307104
packet id 088 delay: 2356800
packet id 089 delay: 261984
packet id 090 delay: 361664
packet id 091 delay: 83144
packet id 092 delay: 242624
packet id 093 delay: 106184
packet id 094 delay: 172504
packet id 095 delay: 822936
packet id 096 delay: 643784
packet id 097 delay: 189864
packet id 098 delay: 276664
packet id 099 delay: 263664
packet id 100 delay: 222264
packet id 101 delay: 90824
packet id 102 delay: 223984
packet id 103 delay: 202504
packet id 104 delay: 534304
packet id 105 delay: 199984
packet id 106 delay: 307344
packet id 107 delay: 914144
packet id 108 delay: 317664
packet id 109 delay: 154624
packet id 110 delay: 186864
packet id 111 delay: 263344
packet id 112 delay: 288624
packet id 113 delay: 477424
packet id 114 delay: 278304
packet id 115 delay: 243624
packet id 116 delay: 84144
packet id 117 delay: 248624
packet id 118 delay: 244304
packet id 119 delay: 85144
packet id 120 delay: 223984
packet id 121 delay: 264664
packet id 122 delay: 277624
packet id 123 delay: 306664
packet id 124 delay: 234344
packet id 125 delay: 213904
