packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 loss!!!
packet id 004 loss!!!
packet id 005 loss!!!
packet id 006 delay: 1297992
packet id 007 delay: 735032
packet id 008 delay: 1849512
packet id 009 delay: 879328
packet id 010 delay: 789520
packet id 011 delay: 2126592
packet id 012 delay: 826680
packet id 013 delay: 1432760
packet id 014 loss!!!
packet id 015 delay: 751640
packet id 016 delay: 1238280
packet id 017 delay: 805960
packet id 018 delay: 785480
packet id 019 delay: 2242080
packet id 020 delay: 683800
packet id 021 delay: 667400
packet id 022 delay: 736520
packet id 023 delay: 1229920
packet id 024 delay: 1046160
packet id 025 delay: 686080
packet id 026 delay: 713080
packet id 027 delay: 771280
packet id 028 delay: 804664
packet id 029 delay: 886680
packet id 030 delay: 792240
packet id 031 delay: 1059280
packet id 032 delay: 882040
packet id 033 delay: 930640
packet id 034 delay: 637384
packet id 035 delay: 865544
packet id 036 delay: 625544
packet id 037 delay: 742704
packet id 038 delay: 892464
packet id 039 delay: 692984
packet id 040 delay: 1110008
packet id 041 delay: 634584
packet id 042 loss!!!
packet id 043 delay: 720624
packet id 044 delay: 619064
packet id 045 delay: 1228864
packet id 046 delay: 856504
packet id 047 delay: 924504
packet id 048 delay: 699584
packet id 049 loss!!!
packet id 050 delay: 684984
packet id 051 delay: 846144
packet id 052 delay: 758024
packet id 053 delay: 613664
packet id 054 delay: 802104
packet id 055 delay: 857544
packet id 056 delay: 739944
packet id 057 delay: 641544
packet id 058 delay: 743144
packet id 059 delay: 1193640
packet id 060 delay: 1079664
packet id 061 delay: 762104
packet id 062 delay: 1075704
packet id 063 delay: 644584
packet id 064 delay: 798384
packet id 065 delay: 851784
packet id 066 delay: 831504
packet id 067 delay: 879104
packet id 068 delay: 646904
packet id 069 delay: 727304
packet id 070 delay: 779104
packet id 071 delay: 718304
packet id 072 delay: 784144
packet id 073 delay: 654464
packet id 074 delay: 768584
packet id 075 delay: 882424
packet id 076 delay: 907304
packet id 077 delay: 785744
packet id 078 delay: 612264
packet id 079 delay: 709424
packet id 080 delay: 1016264
packet id 081 delay: 739664
packet id 082 delay: 712584
packet id 083 delay: 858064
packet id 084 delay: 804304
packet id 085 delay: 797064
packet id 086 delay: 727384
packet id 087 delay: 833104
packet id 088 delay: 776704
packet id 089 delay: 1394864
packet id 090 delay: 503064
packet id 091 delay: 2859744
packet id 092 delay: 679864
packet id 093 delay: 755936
packet id 094 delay: 766984
packet id 095 delay: 678944
packet id 096 delay: 813784
packet id 097 delay: 759104
packet id 098 delay: 740704
packet id 099 delay: 1104304
packet id 100 delay: 472224
packet id 101 delay: 790104
packet id 102 delay: 639464
packet id 103 delay: 712424
packet id 104 delay: 632584
packet id 105 delay: 1536144
packet id 106 delay: 785264
packet id 107 delay: 762144
packet id 108 delay: 821504
packet id 109 delay: 753064
packet id 110 delay: 778784
packet id 111 delay: 842744
packet id 112 delay: 704704
packet id 113 delay: 877504
packet id 114 delay: 690696
packet id 115 delay: 682024
packet id 116 delay: 867504
packet id 117 delay: 681664
packet id 118 delay: 815104
packet id 119 delay: 801104
packet id 120 delay: 753344
packet id 121 delay: 738664
packet id 122 delay: 804984
packet id 123 delay: 660344
packet id 124 delay: 1106184
packet id 125 delay: 770864
packet id 126 delay: 664184
packet id 127 delay: 794824
packet id 128 delay: 2824424
packet id 129 delay: 557504
packet id 130 loss!!!
packet id 131 delay: 1291776
packet id 132 delay: 647984
packet id 133 loss!!!
packet id 134 delay: 823664
packet id 135 delay: 842464
packet id 136 delay: 752304
packet id 137 delay: 797944
packet id 138 delay: 813024
packet id 139 delay: 984184
packet id 140 delay: 659944
packet id 141 delay: 769464
packet id 142 delay: 751064
packet id 143 delay: 868784
packet id 144 delay: 722584
packet id 145 delay: 758424
packet id 146 delay: 945504
packet id 147 delay: 687384
packet id 148 delay: 850504
packet id 149 delay: 1230984
packet id 150 delay: 847424
packet id 151 delay: 675264
packet id 152 delay: 699984
packet id 153 delay: 854784
packet id 154 delay: 1838792
packet id 155 delay: 754184
packet id 156 delay: 689944
packet id 157 delay: 566544
packet id 158 delay: 840784
packet id 159 loss!!!
packet id 160 delay: 697264
packet id 161 delay: 657664
packet id 162 delay: 632864
packet id 163 delay: 2250112
packet id 164 delay: 837504
packet id 165 delay: 644464
packet id 166 delay: 944224
packet id 167 delay: 731264
packet id 168 delay: 702144
packet id 169 delay: 762784
packet id 170 delay: 820464
packet id 171 delay: 684904
packet id 172 delay: 804864
packet id 173 delay: 840464
packet id 174 loss!!!
packet id 175 delay: 643064
packet id 176 delay: 925504
packet id 177 delay: 1180784
packet id 178 delay: 795144
packet id 179 delay: 699984
packet id 180 delay: 670384
packet id 181 delay: 715744
packet id 182 delay: 754784
packet id 183 delay: 674264
packet id 184 delay: 723824
packet id 185 delay: 820184
packet id 186 delay: 666464
packet id 187 delay: 921464
packet id 188 delay: 1777296
packet id 189 delay: 550824
packet id 190 delay: 557544
packet id 191 delay: 622584
packet id 192 delay: 599904
packet id 193 delay: 742904
packet id 194 delay: 861904
packet id 195 delay: 769904
packet id 196 delay: 752424
packet id 197 delay: 826464
packet id 198 delay: 707424
packet id 199 delay: 735704
packet id 200 delay: 848864
packet id 201 delay: 667544
packet id 202 delay: 1084424
packet id 203 delay: 633584
packet id 204 delay: 1173624
packet id 205 delay: 741664
packet id 206 delay: 679624
packet id 207 delay: 746344
packet id 208 delay: 601224
packet id 209 delay: 587824
packet id 210 delay: 2197968
packet id 211 delay: 839184
packet id 212 delay: 1184144
packet id 213 delay: 582464
packet id 214 delay: 526104
packet id 215 delay: 641664
packet id 216 delay: 740104
packet id 217 delay: 587824
packet id 218 delay: 636464
packet id 219 delay: 609904
packet id 220 delay: 718704
packet id 221 loss!!!
packet id 222 delay: 457904
packet id 223 delay: 666024
packet id 224 delay: 664424
packet id 225 delay: 1108104
packet id 226 delay: 606744
packet id 227 delay: 730344
packet id 228 delay: 876824
packet id 229 loss!!!
packet id 230 delay: 789464
packet id 231 delay: 593144
packet id 232 delay: 708704
packet id 233 delay: 655864
packet id 234 delay: 815344
packet id 235 delay: 807304
packet id 236 delay: 631624
packet id 237 delay: 679624
packet id 238 delay: 765824
packet id 239 delay: 674624
packet id 240 delay: 672504
packet id 241 delay: 614464
packet id 242 delay: 843864
packet id 243 delay: 685304
packet id 244 delay: 883304
packet id 245 delay: 711624
packet id 246 delay: 867144
packet id 247 delay: 795064
packet id 248 delay: 640824
packet id 249 delay: 542384
packet id 250 delay: 825984
packet id 251 delay: 802384
packet id 252 delay: 788024
packet id 253 delay: 899624
packet id 254 loss!!!
packet id 255 delay: 801344
packet id 256 delay: 676704
packet id 257 delay: 744264
packet id 258 delay: 886144
packet id 259 delay: 849184
packet id 260 delay: 1141264
packet id 261 delay: 993704
packet id 262 delay: 702704
packet id 263 delay: 744584
packet id 264 delay: 726744
packet id 265 delay: 833384
packet id 266 delay: 754704
packet id 267 delay: 1740704
packet id 268 delay: 811184
packet id 269 loss!!!
packet id 270 delay: 784744
packet id 271 delay: 726944
packet id 272 delay: 778344
packet id 273 delay: 792264
packet id 274 delay: 795344
packet id 275 delay: 729904
packet id 276 delay: 821384
packet id 277 delay: 710744
packet id 278 delay: 1193144
packet id 279 delay: 879464
packet id 280 loss!!!
packet id 281 delay: 801064
packet id 282 delay: 822784
packet id 283 delay: 589024
packet id 284 delay: 530744
packet id 285 delay: 719984
packet id 286 delay: 733704
packet id 287 delay: 866104
packet id 288 delay: 648944
packet id 289 delay: 784264
packet id 290 delay: 656664
packet id 291 delay: 776824
packet id 292 delay: 722624
packet id 293 delay: 812024
packet id 294 delay: 559184
packet id 295 delay: 661944
packet id 296 delay: 1053104
packet id 297 delay: 765984
packet id 298 delay: 832744
packet id 299 delay: 697584
packet id 300 delay: 895104
packet id 301 delay: 701264
packet id 302 delay: 808144
packet id 303 delay: 672024
packet id 304 delay: 803424
packet id 305 delay: 784064
packet id 306 delay: 942104
packet id 307 delay: 672304
packet id 308 delay: 678584
packet id 309 delay: 1153864
packet id 310 delay: 641984
packet id 311 delay: 793744
packet id 312 delay: 840104
packet id 313 delay: 910464
packet id 314 delay: 682344
packet id 315 delay: 1005512
packet id 316 delay: 694024
packet id 317 loss!!!
packet id 318 delay: 773024
packet id 319 delay: 777304
packet id 320 delay: 771024
packet id 321 delay: 1125464
packet id 322 delay: 811424
packet id 323 delay: 667624
packet id 324 delay: 1171904
packet id 325 delay: 843144
packet id 326 delay: 801424
packet id 327 delay: 732664
packet id 328 delay: 703024
packet id 329 delay: 685344
packet id 330 delay: 723664
packet id 331 loss!!!
packet id 332 delay: 793504
packet id 333 loss!!!
packet id 334 delay: 704344
packet id 335 delay: 739168
packet id 336 delay: 782344
packet id 337 delay: 848184
packet id 338 delay: 667624
packet id 339 delay: 992904
packet id 340 delay: 678024
packet id 341 delay: 691584
packet id 342 delay: 661944
packet id 343 loss!!!
packet id 344 delay: 593304
packet id 345 delay: 732424
packet id 346 delay: 875104
packet id 347 delay: 646064
packet id 348 delay: 635944
packet id 349 delay: 1588624
packet id 350 delay: 723664
packet id 351 delay: 788064
packet id 352 delay: 890784
packet id 353 delay: 795344
packet id 354 delay: 860784
packet id 355 delay: 812584
packet id 356 delay: 747704
packet id 357 delay: 756464
packet id 358 delay: 657984
packet id 359 delay: 768544
packet id 360 delay: 627584
packet id 361 delay: 1611616
packet id 362 delay: 1107664
packet id 363 delay: 1287984
packet id 364 delay: 827024
packet id 365 delay: 822464
packet id 366 delay: 2237616
packet id 367 delay: 760384
packet id 368 delay: 631224
packet id 369 delay: 1552656
packet id 370 delay: 696464
packet id 371 delay: 785384
packet id 372 delay: 746744
packet id 373 delay: 620264
packet id 374 delay: 681584
packet id 375 delay: 676984
packet id 376 delay: 905104
packet id 377 delay: 870104
packet id 378 delay: 1452184
packet id 379 delay: 700944
packet id 380 delay: 795024
packet id 381 delay: 714984
packet id 382 delay: 839064
packet id 383 loss!!!
