packet id 001 loss!!!
packet id 002 loss!!!
packet id 003 delay: 3389912
packet id 004 loss!!!
packet id 005 delay: 302960
packet id 006 delay: 404360
packet id 007 delay: 448960
packet id 008 delay: 278480
packet id 009 delay: 444200
packet id 010 delay: 2929072
packet id 011 delay: 385240
packet id 012 delay: 781520
packet id 013 delay: 455720
packet id 014 delay: 458720
packet id 015 delay: 532120
packet id 016 delay: 429640
packet id 017 delay: 386880
packet id 018 delay: 491240
packet id 019 delay: 395960
packet id 020 delay: 1062560
packet id 021 delay: 331640
packet id 022 delay: 398240
packet id 023 delay: 513440
packet id 024 delay: 540600
packet id 025 delay: 574160
packet id 026 delay: 499200
packet id 027 delay: 427080
packet id 028 delay: 465160
packet id 029 delay: 459800
packet id 030 delay: 401480
packet id 031 delay: 343600
packet id 032 delay: 437080
packet id 033 delay: 527920
packet id 034 delay: 517120
packet id 035 delay: 468040
packet id 036 delay: 430080
packet id 037 delay: 603520
packet id 038 delay: 434360
packet id 039 delay: 354560
packet id 040 delay: 458040
packet id 041 delay: 454680
packet id 042 delay: 349440
packet id 043 delay: 408360
packet id 044 delay: 732640
packet id 045 delay: 386680
packet id 046 delay: 501120
packet id 047 delay: 434040
packet id 048 delay: 450960
packet id 049 delay: 414960
packet id 050 delay: 379320
packet id 051 delay: 539840
packet id 052 delay: 438640
packet id 053 delay: 601600
packet id 054 delay: 448400
packet id 055 delay: 408240
packet id 056 delay: 427080
packet id 057 delay: 332680
packet id 058 delay: 493120
packet id 059 delay: 386960
packet id 060 delay: 476360
packet id 061 delay: 409240
packet id 062 delay: 406960
packet id 063 delay: 354400
packet id 064 delay: 437000
packet id 065 delay: 325400
packet id 066 delay: 544440
packet id 067 delay: 728360
packet id 068 loss!!!
packet id 069 delay: 380960
packet id 070 delay: 329880
packet id 071 delay: 784440
packet id 072 delay: 395360
packet id 073 delay: 513160
packet id 074 delay: 434000
packet id 075 delay: 465560
packet id 076 loss!!!
packet id 077 delay: 1262720
packet id 078 loss!!!
packet id 079 delay: 443760
