packet id 001 loss!!!
packet id 002 delay: 152864
packet id 003 delay: 278024
packet id 004 delay: 465024
packet id 005 delay: 473840
packet id 006 delay: 600240
packet id 007 delay: 464400
packet id 008 delay: 302664
packet id 009 delay: 445704
packet id 010 delay: 466864
packet id 011 delay: 398824
packet id 012 delay: 436864
packet id 013 delay: 611544
packet id 014 delay: 413464
packet id 015 delay: 139560
packet id 016 delay: 209600
packet id 017 delay: 199000
packet id 018 delay: 295400
packet id 019 delay: 290400
packet id 020 delay: 236200
packet id 021 delay: 285600
packet id 022 delay: 271200
packet id 023 delay: 419680
packet id 024 delay: 295280
packet id 025 delay: 300040
packet id 026 delay: 263040
packet id 027 delay: 208280
packet id 028 delay: 392080
packet id 029 delay: 400680
packet id 030 delay: 288040
packet id 031 delay: 223400
packet id 032 delay: 281680
packet id 033 delay: 303400
packet id 034 delay: 702880
packet id 035 delay: 289680
packet id 036 delay: 190720
packet id 037 delay: 229680
packet id 038 delay: 298400
packet id 039 delay: 249200
packet id 040 delay: 194200
packet id 041 delay: 209200
packet id 042 delay: 344680
packet id 043 delay: 283680
packet id 044 delay: 1705000
packet id 045 delay: 220200
packet id 046 delay: 493040
packet id 047 delay: 238200
packet id 048 delay: 213200
packet id 049 delay: 222200
packet id 050 delay: 276200
packet id 051 delay: 252200
packet id 052 delay: 690960
packet id 053 delay: 189200
packet id 054 delay: 218600
packet id 055 delay: 211320
packet id 056 delay: 289600
packet id 057 delay: 374584
packet id 058 delay: 1338520
packet id 059 delay: 288400
packet id 060 delay: 274040
packet id 061 delay: 268280
packet id 062 delay: 702296
packet id 063 delay: 224200
packet id 064 delay: 231320
packet id 065 delay: 283720
packet id 066 delay: 258200
packet id 067 delay: 177200
packet id 068 delay: 292400
packet id 069 delay: 263200
packet id 070 delay: 217200
packet id 071 delay: 286720
packet id 072 delay: 259200
packet id 073 delay: 249200
packet id 074 delay: 268680
packet id 075 delay: 256880
packet id 076 delay: 292400
packet id 077 delay: 257880
packet id 078 delay: 301680
packet id 079 delay: 1285320
packet id 080 delay: 134920
packet id 081 delay: 291400
packet id 082 delay: 344720
packet id 083 delay: 243680
packet id 084 delay: 304680
packet id 085 delay: 271360
packet id 086 delay: 174200
packet id 087 loss!!!
packet id 088 delay: 226200
packet id 089 delay: 214200
packet id 090 delay: 175200
packet id 091 delay: 114560
packet id 092 delay: 343720
packet id 093 delay: 194560
packet id 094 delay: 189920
packet id 095 delay: 232280
packet id 096 delay: 276680
packet id 097 delay: 288560
packet id 098 delay: 352280
packet id 099 delay: 198560
packet id 100 delay: 120200
packet id 101 delay: 308080
packet id 102 delay: 236280
packet id 103 delay: 152600
packet id 104 delay: 183040
packet id 105 delay: 325680
packet id 106 delay: 229200
packet id 107 delay: 201200
packet id 108 delay: 534120
packet id 109 delay: 1113880
packet id 110 delay: 265200
packet id 111 delay: 543280
packet id 112 delay: 249200
packet id 113 delay: 247600
packet id 114 delay: 278040
packet id 115 delay: 330400
packet id 116 delay: 496720
packet id 117 delay: 243600
packet id 118 delay: 211200
packet id 119 delay: 251880
packet id 120 delay: 171920
packet id 121 delay: 182200
packet id 122 delay: 338400
packet id 123 delay: 374200
packet id 124 delay: 255200
packet id 125 delay: 284720
packet id 126 delay: 203200
packet id 127 delay: 283680
packet id 128 delay: 191880
packet id 129 delay: 256200
packet id 130 delay: 446880
packet id 131 delay: 319400
packet id 132 delay: 416960
packet id 133 delay: 242320
packet id 134 delay: 1053040
packet id 135 delay: 263280
packet id 136 delay: 256600
packet id 137 delay: 240680
packet id 138 delay: 302280
packet id 139 delay: 217600
packet id 140 delay: 190200
packet id 141 delay: 176200
packet id 142 delay: 222280
packet id 143 delay: 252200
packet id 144 delay: 207880
packet id 145 delay: 457480
packet id 146 delay: 203680
packet id 147 delay: 255600
packet id 148 delay: 187280
packet id 149 delay: 288680
packet id 150 delay: 596240
packet id 151 delay: 273360
packet id 152 delay: 288040
packet id 153 delay: 360240
packet id 154 delay: 283600
packet id 155 delay: 2054880
packet id 156 delay: 333400
packet id 157 delay: 281600
packet id 158 delay: 305400
packet id 159 delay: 1610400
packet id 160 delay: 292400
packet id 161 delay: 524520
packet id 162 delay: 207200
packet id 163 delay: 106240
packet id 164 delay: 273360
packet id 165 delay: 333680
packet id 166 delay: 209200
packet id 167 delay: 202200
packet id 168 delay: 211600
packet id 169 delay: 296680
packet id 170 delay: 652080
packet id 171 delay: 258680
packet id 172 delay: 376400
packet id 173 delay: 264680
packet id 174 delay: 175200
packet id 175 delay: 1905680
packet id 176 delay: 324080
packet id 177 delay: 492640
packet id 178 delay: 285640
packet id 179 delay: 269200
packet id 180 delay: 271680
packet id 181 delay: 295400
packet id 182 delay: 324400
packet id 183 delay: 302400
packet id 184 delay: 321280
packet id 185 delay: 174200
packet id 186 delay: 277880
packet id 187 delay: 251200
packet id 188 delay: 271200
packet id 189 delay: 236680
packet id 190 delay: 233200
packet id 191 delay: 409080
packet id 192 delay: 1959360
packet id 193 delay: 432680
packet id 194 delay: 348680
packet id 195 delay: 359400
packet id 196 delay: 210920
packet id 197 delay: 261880
packet id 198 delay: 210200
packet id 199 delay: 313680
packet id 200 delay: 188200
packet id 201 delay: 297600
packet id 202 delay: 294400
packet id 203 delay: 280680
packet id 204 delay: 141200
packet id 205 delay: 425360
packet id 206 delay: 251280
packet id 207 delay: 208440
packet id 208 delay: 590320
packet id 209 delay: 286720
packet id 210 delay: 320400
packet id 211 delay: 280040
packet id 212 delay: 166920
packet id 213 delay: 360400
packet id 214 delay: 263200
packet id 215 delay: 258200
packet id 216 delay: 190560
packet id 217 delay: 611880
packet id 218 delay: 561200
packet id 219 delay: 203000
packet id 220 delay: 240680
packet id 221 delay: 2449080
packet id 222 delay: 216200
packet id 223 delay: 230200
packet id 224 delay: 319080
packet id 225 delay: 400600
packet id 226 delay: 240000
packet id 227 delay: 741712
packet id 228 delay: 387800
packet id 229 delay: 596720
packet id 230 delay: 266200
packet id 231 delay: 203200
packet id 232 delay: 253000
packet id 233 delay: 716920
packet id 234 delay: 287400
packet id 235 delay: 272680
packet id 236 delay: 256200
packet id 237 delay: 203200
packet id 238 delay: 200200
packet id 239 delay: 214240
packet id 240 delay: 266040
packet id 241 delay: 254200
packet id 242 delay: 2510080
packet id 243 delay: 178200
packet id 244 delay: 253240
packet id 245 delay: 309400
packet id 246 delay: 703120
packet id 247 delay: 200280
packet id 248 delay: 236320
packet id 249 delay: 179640
packet id 250 delay: 321400
packet id 251 delay: 219400
packet id 252 delay: 198240
packet id 253 delay: 268480
packet id 254 delay: 1386120
packet id 255 delay: 334760
packet id 256 delay: 242600
packet id 257 delay: 293680
packet id 258 delay: 242280
packet id 259 delay: 227200
packet id 260 delay: 253200
packet id 261 delay: 236200
packet id 262 delay: 247200
packet id 263 delay: 363880
packet id 264 delay: 270600
packet id 265 delay: 316360
packet id 266 delay: 235200
packet id 267 delay: 185640
packet id 268 delay: 470400
packet id 269 delay: 1584240
packet id 270 delay: 318000
packet id 271 delay: 217640
packet id 272 delay: 308720
packet id 273 delay: 274200
packet id 274 delay: 190200
packet id 275 delay: 322720
packet id 276 delay: 294600
packet id 277 delay: 173200
packet id 278 delay: 298400
packet id 279 delay: 299280
packet id 280 delay: 193560
packet id 281 delay: 362440
packet id 282 delay: 256000
packet id 283 delay: 275280
packet id 284 delay: 261680
packet id 285 delay: 256200
packet id 286 delay: 218200
packet id 287 delay: 177200
packet id 288 delay: 247680
packet id 289 delay: 251200
packet id 290 delay: 320680
packet id 291 delay: 234680
packet id 292 delay: 146200
packet id 293 delay: 349400
packet id 294 delay: 248280
packet id 295 delay: 213600
packet id 296 delay: 271280
packet id 297 delay: 678040
packet id 298 delay: 182200
packet id 299 delay: 245600
packet id 300 delay: 264600
packet id 301 delay: 222200
packet id 302 delay: 188200
packet id 303 delay: 387280
packet id 304 delay: 348680
packet id 305 delay: 196880
packet id 306 delay: 696360
packet id 307 delay: 272680
packet id 308 delay: 348840
packet id 309 delay: 571880
packet id 310 delay: 242200
packet id 311 delay: 256280
packet id 312 delay: 273280
packet id 313 delay: 304280
packet id 314 delay: 108200
packet id 315 delay: 289680
packet id 316 delay: 211880
packet id 317 delay: 198200
packet id 318 delay: 407400
packet id 319 delay: 293280
packet id 320 delay: 207400
packet id 321 delay: 358680
packet id 322 delay: 260200
packet id 323 delay: 178200
packet id 324 delay: 242200
packet id 325 delay: 221200
packet id 326 delay: 2489056
packet id 327 delay: 328680
packet id 328 delay: 264360
packet id 329 delay: 196240
packet id 330 delay: 210200
packet id 331 delay: 942520
packet id 332 delay: 230200
packet id 333 delay: 252200
packet id 334 delay: 251200
packet id 335 delay: 1189600
packet id 336 delay: 208920
packet id 337 delay: 236000
packet id 338 delay: 194200
packet id 339 delay: 258280
packet id 340 delay: 226600
packet id 341 delay: 1205920
packet id 342 delay: 218200
